bucket,description,n,avg_pnl,win_rate,sharpe,max_consec_loss,avg_hold_days,low_n_flag
ivp_double_low,ivp252 < 50 AND ivp63 < 50,5,500.0,0.8,4.13,1,23.8,False
ivp_regime_decay,ivp252 >= 50 AND ivp63 < 50,4,290.0,0.75,1.46,1,23.5,True
ivp_local_spike,ivp63 >= 50 AND ivp252 < 50,5,630.0,0.8,4.25,1,22.6,False
ivp_both_high,ivp63 >= 50 AND ivp252 >= 50,40,481.0,0.85,1.94,1,24.6,False
regime_low_vol,regime == LOW_VOL,0,,,,0,,True
regime_normal,regime == NORMAL,0,,,,0,,True
regime_high_vol,regime == HIGH_VOL,54,483.0,0.833,2.14,2,24.2,False
trend_bullish,trend == BULLISH,0,,,,0,,True
trend_neutral,trend == NEUTRAL,0,,,,0,,True
trend_bearish,trend == BEARISH,54,483.0,0.833,2.14,2,24.2,False
