sleeve_id,signal_date,entry_date,exit_date,ath_at_signal,ddath_at_signal,long_strike,short_strike,contracts,debit_per_share,exit_pnl,account_pct,status
A,2007-02-27,2007-02-28,2007-05-29,1459.68,-0.0415,1400,1470,1.0,32.233,3776.7,0.1172,CLOSED
A,2007-07-26,2007-07-27,2007-10-24,1553.08,-0.0453,1485,1555,1.0,33.3404,-246.04,-0.0074,CLOSED
A,2007-11-05,2007-11-06,2008-02-04,1565.15,-0.0402,1500,1575,1.0,37.9095,-3790.95,-0.1,CLOSED
A,2013-06-20,2013-06-21,2013-09-18,1669.16,-0.0485,1590,1670,1.0,37.7727,4222.73,0.1118,CLOSED
A,2013-10-08,2013-10-09,2014-01-06,1725.52,-0.0406,1655,1740,1.0,40.606,4439.4,0.1093,CLOSED
A,2014-01-29,2014-01-30,2014-04-29,1848.38,-0.0401,1775,1865,1.0,41.711,4828.9,0.1158,CLOSED
A,2014-10-09,2014-10-10,2015-01-07,2011.36,-0.0413,1930,2025,1.0,43.6076,5139.24,0.1179,CLOSED
A,2015-01-15,2015-01-16,2015-04-15,2090.57,-0.0468,1995,2090,1.0,46.0249,4897.51,0.1064,CLOSED
A,2015-08-20,2015-08-21,2015-11-18,2130.82,-0.0446,2035,2140,1.0,48.7233,-14.32,-0.0003,CLOSED
A,2015-12-11,2015-12-14,2016-03-10,2130.82,-0.0556,2010,2115,1.0,52.046,-5204.6,-0.1,CLOSED
A,2016-05-19,2016-05-20,2016-08-17,2130.82,-0.0426,2040,2140,1.0,46.0014,5399.86,0.1174,CLOSED
A,2016-11-02,2016-11-03,2017-01-31,2190.15,-0.0421,2100,2205,1.0,49.1296,5587.04,0.1137,CLOSED
A,2018-02-05,2018-02-06,2018-05-07,2872.87,-0.0779,2650,2780,1.0,66.1456,-4351.57,-0.0658,CLOSED
A,2018-10-10,2018-10-11,2019-01-08,2930.75,-0.0495,2785,2925,1.0,66.7288,-6672.88,-0.1,CLOSED
A,2019-05-13,2019-05-14,2019-08-12,2945.83,-0.0455,2810,2950,1.0,68.7929,390.71,0.0057,CLOSED
A,2019-10-02,2019-10-03,2019-12-31,3025.86,-0.0457,2890,3030,1.0,66.2619,7373.81,0.1113,CLOSED
A,2020-02-24,2020-02-25,2020-05-26,3386.15,-0.0473,3225,3385,1.0,81.7852,-8178.52,-0.1,CLOSED
A,2020-09-04,2020-09-08,2020-12-03,3580.84,-0.043,3425,3600,1.0,82.711,9228.9,0.1116,CLOSED
A,2021-03-04,2021-03-05,2021-06-02,3934.83,-0.0423,3770,3955,1.0,97.8235,8717.65,0.0891,CLOSED
A,2021-09-21,2021-09-22,2021-12-20,4536.95,-0.0403,4355,4570,1.0,108.4356,10458.44,0.0964,CLOSED
A,2022-01-18,2022-01-19,2022-04-18,4796.56,-0.0458,4575,4805,1.0,114.263,-11426.3,-0.1,CLOSED
A,2024-04-17,2024-04-18,2024-07-16,5254.35,-0.0442,5020,5275,1.0,120.5892,13441.08,0.1115,CLOSED
A,2024-07-24,2024-07-25,2024-10-22,5667.2,-0.0424,5425,5700,1.0,127.8467,14715.33,0.1151,CLOSED
A,2025-01-10,2025-01-13,2025-04-10,6090.27,-0.0432,5825,6120,1.0,129.3579,-12935.79,-0.1,CLOSED
A,2025-11-20,2025-11-21,2026-02-18,6890.89,-0.0511,6540,6865,1.0,165.6701,15932.99,0.0962,CLOSED
A,2026-03-12,2026-03-13,2026-05-08,6978.6,-0.0438,6675,7005,1.0,166.7119,13150.08,0.0789,OPEN
B,2008-01-28,2008-01-29,2008-04-28,1565.15,-0.1349,1355,1420,1.0,33.2719,809.81,0.0243,CLOSED
B,2018-12-31,2019-01-02,2019-04-01,2930.75,-0.1446,2505,2630,1.0,57.5928,6740.72,0.117,CLOSED
B,2020-03-25,2020-03-26,2020-06-23,3386.15,-0.2689,2475,2600,1.0,77.0069,4799.31,0.0623,CLOSED
B,2022-05-17,2022-05-18,2022-08-15,4796.56,-0.1475,4090,4295,1.0,96.4071,10859.29,0.1126,CLOSED
B,2025-04-09,2025-04-10,2025-07-08,6144.15,-0.1119,5455,5730,1.0,131.5602,14343.98,0.109,CLOSED
