snapshot_date,vix,dte,expiry,K_long_ATM,K_short,actual_otm_pct,broker_long_mid,broker_short_mid,broker_debit,model_debit,delta_pct,broker_long_iv,broker_short_iv,broker_long_volume,broker_short_volume
2026-05-04,18.290000915527344,88,2026-07-31,7205.0,7450.0,3.4,252.05,119.25,132.8,122.18,8.0,14.008,15.734,2,56
2026-05-05,17.3799991607666,87,2026-07-31,7280.0,7505.0,3.09,247.9,125.45,122.45,112.87,7.83,13.69,15.695,25,2
2026-05-06,17.389999389648438,86,2026-07-31,7375.0,7615.0,3.25,247.15,121.8,125.35,119.27,4.85,13.604,15.714,16,5
2026-05-07,17.079999923706055,85,2026-07-31,7350.0,7585.0,3.2,243.95,120.35,123.6,116.62,5.65,13.493,15.566,18,1
2026-05-08,17.190000534057617,84,2026-07-31,7400.0,7645.0,3.31,246.2,119.1,127.1,120.8,4.96,13.572,15.624,79,1
2026-07-06,15.68,30,2026-08-05,7550.0,7925.0,5.0,117.25,5.85,111.4,130.3,-16.96,11.349,10.89,34,19
2026-07-06,15.68,30,2026-08-05,7550.0,7725.0,2.35,117.25,37.6,79.65,78.48,1.47,11.349,11.941,34,3
2026-07-07,16.21,30,2026-08-06,7500.0,7875.0,4.94,125.0,6.3,118.7,134.48,-13.3,11.929,10.973,23,14
2026-07-07,16.21,30,2026-08-06,7500.0,7700.0,2.61,125.0,33.5,91.5,89.0,2.73,11.929,12.019,23,6
2026-07-08,16.68,30,2026-08-07,7475.0,7810.0,4.49,128.65,10.25,118.4,126.03,-6.45,12.712,11.488,172,58
2026-07-08,16.68,30,2026-08-07,7475.0,7660.0,2.48,128.65,40.55,88.1,83.21,5.56,12.712,12.768,172,38
2026-07-09,15.81,29,2026-08-07,7545.0,7925.0,5.05,118.35,5.3,113.05,130.79,-15.69,11.676,10.924,4,129
2026-07-09,15.81,29,2026-08-07,7545.0,7730.0,2.47,118.35,34.7,83.65,81.94,2.04,11.676,12.0,4,104
2026-07-10,15.05,31,2026-08-10,7580.0,7950.0,4.86,118.1,5.85,112.25,129.9,-15.72,10.885,10.466,144,10
2026-07-10,15.05,31,2026-08-10,7580.0,7775.0,2.56,118.1,31.75,86.35,85.96,0.45,10.885,11.347,144,48
