,j0_bp_pct,j0_n_open,j3_bp_pct,j3_n_open
2023-01-02,0.0,0,0.0,0
2023-01-03,7.0,1,14.0,1
2023-01-04,7.0,1,14.0,1
2023-01-05,7.0,1,14.0,1
2023-01-06,7.0,1,14.0,1
2023-01-09,7.0,1,14.0,1
2023-01-10,7.0,1,14.0,1
2023-01-11,7.0,1,14.0,1
2023-01-12,7.0,1,14.0,1
2023-01-13,7.0,1,14.0,1
2023-01-16,7.0,1,14.0,1
2023-01-17,7.0,1,14.0,1
2023-01-18,7.0,1,14.0,1
2023-01-19,7.0,1,14.0,1
2023-01-20,7.0,1,14.0,1
2023-01-23,7.0,1,14.0,1
2023-01-24,7.0,1,14.0,1
2023-01-25,7.0,1,14.0,1
2023-01-26,7.0,1,14.0,1
2023-01-27,7.0,1,14.0,1
2023-01-30,7.0,1,14.0,1
2023-01-31,7.0,1,14.0,1
2023-02-01,7.0,1,14.0,1
2023-02-02,7.0,1,14.0,1
2023-02-03,7.0,1,14.0,1
2023-02-06,7.0,1,14.0,1
2023-02-07,7.0,1,14.0,1
2023-02-08,0.0,0,0.0,0
2023-02-09,0.0,0,0.0,0
2023-02-10,0.0,0,0.0,0
2023-02-13,0.0,0,0.0,0
2023-02-14,0.0,0,0.0,0
2023-02-15,0.0,0,0.0,0
2023-02-16,0.0,0,0.0,0
2023-02-17,0.0,0,0.0,0
2023-02-20,0.0,0,0.0,0
2023-02-21,7.0,1,14.0,1
2023-02-22,14.0,2,28.0,2
2023-02-23,14.0,2,28.0,2
2023-02-24,14.0,2,28.0,2
2023-02-27,14.0,2,28.0,2
2023-02-28,14.0,2,28.0,2
2023-03-01,14.0,2,28.0,2
2023-03-02,14.0,2,28.0,2
2023-03-03,14.0,2,28.0,2
2023-03-06,14.0,2,28.0,2
2023-03-07,14.0,2,28.0,2
2023-03-08,14.0,2,28.0,2
2023-03-09,14.0,2,28.0,2
2023-03-10,14.0,2,28.0,2
2023-03-13,14.0,2,28.0,2
2023-03-14,14.0,2,28.0,2
2023-03-15,14.0,2,28.0,2
2023-03-16,14.0,2,28.0,2
2023-03-17,14.0,2,28.0,2
2023-03-20,14.0,2,28.0,2
2023-03-21,14.0,2,28.0,2
2023-03-22,7.0,1,14.0,1
2023-03-23,7.0,1,14.0,1
2023-03-24,7.0,1,14.0,1
2023-03-27,7.0,1,14.0,1
2023-03-28,0.0,0,0.0,0
2023-03-29,0.0,0,0.0,0
2023-03-30,0.0,0,0.0,0
2023-03-31,0.0,0,0.0,0
2023-04-03,0.0,0,0.0,0
2023-04-04,0.0,0,0.0,0
2023-04-05,0.0,0,0.0,0
2023-04-06,0.0,0,0.0,0
2023-04-07,0.0,0,0.0,0
2023-04-10,0.0,0,0.0,0
2023-04-11,0.0,0,0.0,0
2023-04-12,0.0,0,0.0,0
2023-04-13,0.0,0,0.0,0
2023-04-14,0.0,0,0.0,0
2023-04-17,0.0,0,0.0,0
2023-04-18,0.0,0,0.0,0
2023-04-19,0.0,0,0.0,0
2023-04-20,0.0,0,0.0,0
2023-04-21,0.0,0,0.0,0
2023-04-24,0.0,0,0.0,0
2023-04-25,0.0,0,0.0,0
