sleeve,variant,structure,long_offset,short_offset,dte,n,win_rate_pct,ann_ROE_pct,max_dd_pct,worst_trade_pct,median_winner_pct,median_loser_pct,sharpe,marginal_dollar_per_bp_day,cvar_5pct,disaster_2008,disaster_2020,disaster_2022
A,S1_2.5pct_D30,vertical,0.0,0.025,30,35,74.3,9.935,-19.0,-10.0,11.153,-10.0,8.907,0.046182,-10.0,0.0,-10.0,-10.0
A,S1_5.0pct_D30,vertical,0.0,0.05,30,35,71.4,9.937,-20.3,-10.0,11.391,-10.0,8.002,0.027033,-10.0,0.0,-10.0,-10.0
A,S1_7.5pct_D30,vertical,0.0,0.075,30,35,68.6,7.206,-21.45,-10.0,8.713,-10.0,5.799,0.015523,-10.0,0.0,-10.0,-10.0
A,S1_10.0pct_D30,vertical,0.0,0.1,30,35,62.9,4.905,-21.82,-10.0,8.266,-10.0,4.137,0.009476,-10.0,0.0,-10.0,-10.0
A,S1_15.0pct_D30,vertical,0.0,0.15,30,35,57.1,3.718,-21.94,-10.0,7.976,-9.421,3.141,0.00674,-10.0,0.0,-10.0,-10.0
A,S2_nakedATM_D30,naked_call,0.0,,30,35,57.1,3.433,-21.95,-10.0,7.879,-9.423,2.875,0.00611,-10.0,0.0,-10.0,-10.0
A,S3_ITM5pct_D30,naked_call,-0.05,,30,35,74.3,4.079,-13.26,-10.0,5.08,-7.273,5.531,0.003495,-10.0,0.0,-10.0,-9.98
A,S1_2.5pct_D45,vertical,0.0,0.025,45,31,58.1,3.881,-19.71,-10.0,9.775,-10.0,3.727,0.012905,-10.0,0.0,-10.0,-10.0
A,S1_5.0pct_D45,vertical,0.0,0.05,45,31,54.8,4.504,-26.9,-10.0,11.62,-9.358,3.581,0.00847,-10.0,0.0,-10.0,-10.0
A,S1_7.5pct_D45,vertical,0.0,0.075,45,31,51.6,3.574,-27.87,-10.0,11.067,-8.998,2.6,0.005131,-10.0,0.0,-10.0,-10.0
A,S1_10.0pct_D45,vertical,0.0,0.1,45,31,51.6,1.744,-30.13,-10.0,9.122,-9.111,1.05,0.002173,-10.0,0.0,-10.0,-10.0
A,S1_15.0pct_D45,vertical,0.0,0.15,45,31,51.6,0.316,-33.83,-10.0,7.418,-9.171,-0.348,0.000356,-10.0,0.0,-10.0,-10.0
A,S2_nakedATM_D45,naked_call,0.0,,45,31,51.6,-0.212,-38.21,-10.0,6.667,-9.185,-0.928,-0.000228,-10.0,0.0,-10.0,-10.0
A,S3_ITM5pct_D45,naked_call,-0.05,,45,31,54.8,1.832,-17.7,-10.0,5.775,-3.901,2.487,0.001064,-10.0,0.0,-10.0,-10.0
A,S1_2.5pct_D60,vertical,0.0,0.025,60,26,69.2,4.904,-20.41,-10.0,9.923,-10.0,5.512,0.015696,-10.0,0.0,-10.0,0.0
A,S1_5.0pct_D60,vertical,0.0,0.05,60,26,69.2,5.687,-19.0,-10.0,12.421,-10.0,5.864,0.010229,-10.0,0.0,-10.0,0.0
A,S1_7.5pct_D60,vertical,0.0,0.075,60,26,65.4,5.286,-19.0,-10.0,11.981,-10.0,5.113,0.007212,-10.0,0.0,-10.0,0.0
A,S1_10.0pct_D60,vertical,0.0,0.1,60,26,61.5,3.705,-20.18,-10.0,10.127,-10.0,3.641,0.004364,-10.0,0.0,-10.0,0.0
A,S1_15.0pct_D60,vertical,0.0,0.15,60,26,53.8,2.349,-22.93,-10.0,8.867,-10.0,2.274,0.002482,-10.0,0.0,-10.0,0.0
A,S2_nakedATM_D60,naked_call,0.0,,60,26,53.8,1.857,-24.45,-10.0,8.502,-10.0,1.715,0.001856,-10.0,0.0,-10.0,0.0
A,S3_ITM5pct_D60,naked_call,-0.05,,60,26,69.2,2.386,-18.07,-10.0,5.95,-6.447,3.833,0.001316,-10.0,0.0,-10.0,0.0
A,S1_2.5pct_D90,vertical,0.0,0.025,90,25,72.0,4.942,-13.0,-10.0,8.957,-10.0,6.915,0.010705,-10.0,0.0,-10.0,-10.0
A,S1_5.0pct_D90,vertical,0.0,0.05,90,25,64.0,5.02,-15.84,-10.0,11.137,-10.0,6.113,0.005961,-10.0,0.0,-10.0,-10.0
A,S1_7.5pct_D90,vertical,0.0,0.075,90,25,60.0,5.215,-18.71,-10.0,12.876,-9.468,5.742,0.004572,-10.0,0.0,-10.0,-10.0
A,S1_10.0pct_D90,vertical,0.0,0.1,90,25,60.0,4.257,-20.09,-10.0,11.167,-9.56,4.571,0.003139,-10.0,0.0,-10.0,-10.0
A,S1_15.0pct_D90,vertical,0.0,0.15,90,25,56.0,2.967,-21.07,-10.0,9.573,-9.247,3.111,0.001899,-10.0,0.0,-10.0,-10.0
A,S2_nakedATM_D90,naked_call,0.0,,90,25,56.0,1.904,-21.7,-10.0,7.833,-9.324,1.909,0.001106,-10.0,0.0,-10.0,-10.0
A,S3_ITM5pct_D90,naked_call,-0.05,,90,25,60.0,2.241,-14.33,-10.0,6.528,-5.596,3.386,0.000783,-10.0,0.0,-10.0,-7.05
A,S1_2.5pct_D120,vertical,0.0,0.025,120,20,70.0,3.532,-10.0,-10.0,8.4,-10.0,6.397,0.006552,-10.0,0.0,-10.0,0.0
A,S1_5.0pct_D120,vertical,0.0,0.05,120,20,70.0,3.813,-12.77,-10.0,10.016,-10.0,6.142,0.00381,-10.0,0.0,-10.0,0.0
A,S1_7.5pct_D120,vertical,0.0,0.075,120,20,65.0,3.758,-14.48,-10.0,11.29,-10.0,5.579,0.002719,-10.0,0.0,-10.0,0.0
A,S1_10.0pct_D120,vertical,0.0,0.1,120,20,60.0,3.46,-15.24,-10.0,11.044,-9.302,4.857,0.002065,-10.0,0.0,-10.0,0.0
A,S1_15.0pct_D120,vertical,0.0,0.15,120,20,60.0,2.517,-15.79,-10.0,8.518,-9.425,3.4,0.001267,-10.0,0.0,-10.0,0.0
A,S2_nakedATM_D120,naked_call,0.0,,120,20,60.0,1.06,-16.15,-10.0,6.788,-9.528,1.27,0.000459,-10.0,0.0,-10.0,0.0
A,S3_ITM5pct_D120,naked_call,-0.05,,120,20,60.0,1.823,-10.0,-10.0,6.018,-4.615,3.797,0.000507,-10.0,0.0,-10.0,0.0
A,S1_2.5pct_D180,vertical,0.0,0.025,180,16,87.5,4.443,-10.0,-10.0,7.635,-10.0,13.652,0.007264,-10.0,0.0,7.14,0.0
A,S1_5.0pct_D180,vertical,0.0,0.05,180,16,81.2,4.434,-10.0,-10.0,8.789,-10.0,12.408,0.00385,-10.0,0.0,8.01,0.0
A,S1_7.5pct_D180,vertical,0.0,0.075,180,16,75.0,4.347,-10.0,-10.0,9.817,-6.852,10.913,0.002691,-10.0,0.0,6.15,0.0
A,S1_10.0pct_D180,vertical,0.0,0.1,180,16,75.0,3.76,-10.0,-10.0,8.756,-7.485,8.9,0.001894,-10.0,0.0,2.87,0.0
A,S1_15.0pct_D180,vertical,0.0,0.15,180,16,68.8,3.207,-10.57,-10.0,7.416,-5.919,6.786,0.001332,-10.0,0.0,0.39,0.0
A,S2_nakedATM_D180,naked_call,0.0,,180,16,56.2,1.566,-14.61,-10.0,4.736,-5.159,3.369,0.000523,-10.0,0.0,-1.93,0.0
A,S3_ITM5pct_D180,naked_call,-0.05,,180,16,68.8,1.889,-10.0,-10.0,4.823,-3.178,5.275,0.000429,-10.0,0.0,0.17,0.0
B,S1_2.5pct_D30,vertical,0.0,0.025,30,5,60.0,1.149,-10.0,-10.0,13.215,-5.931,6.714,0.039093,-10.0,0.0,7.22,-10.0
B,S1_5.0pct_D30,vertical,0.0,0.05,30,5,60.0,1.371,-10.0,-10.0,16.217,-7.699,6.446,0.026214,-10.0,0.0,7.95,-10.0
B,S1_7.5pct_D30,vertical,0.0,0.075,30,5,60.0,1.741,-10.0,-10.0,18.348,-8.24,7.076,0.025178,-10.0,0.0,8.79,-10.0
B,S1_10.0pct_D30,vertical,0.0,0.1,30,5,60.0,1.532,-10.0,-10.0,15.055,-8.471,6.488,0.019122,-10.0,0.0,9.75,-10.0
B,S1_15.0pct_D30,vertical,0.0,0.15,30,5,60.0,1.476,-10.0,-10.0,13.394,-8.604,6.407,0.016208,-10.0,0.0,13.39,-10.0
B,S2_nakedATM_D30,naked_call,0.0,,30,5,60.0,1.131,-10.0,-10.0,11.371,-8.646,5.104,0.010937,-10.0,0.0,8.32,-10.0
B,S3_ITM5pct_D30,naked_call,-0.05,,30,5,60.0,0.946,-10.0,-10.0,9.549,-5.718,6.021,0.005232,-10.0,0.0,7.57,-10.0
B,S1_2.5pct_D45,vertical,0.0,0.025,45,5,60.0,0.522,-10.0,-10.0,11.49,-10.0,2.3,0.011021,-10.0,0.0,6.68,-10.0
B,S1_5.0pct_D45,vertical,0.0,0.05,45,5,60.0,0.805,-10.0,-10.0,13.573,-10.0,3.523,0.009309,-10.0,0.0,7.21,-10.0
B,S1_7.5pct_D45,vertical,0.0,0.075,45,5,60.0,1.153,-10.0,-10.0,16.101,-10.0,4.736,0.009811,-10.0,0.0,7.81,-10.0
B,S1_10.0pct_D45,vertical,0.0,0.1,45,5,60.0,1.41,-10.0,-10.0,15.584,-10.0,5.428,0.010146,-10.0,0.0,8.49,-10.0
B,S1_15.0pct_D45,vertical,0.0,0.15,45,5,60.0,1.36,-10.0,-10.0,12.055,-10.0,5.384,0.00837,-10.0,0.0,11.58,-10.0
B,S2_nakedATM_D45,naked_call,0.0,,45,5,60.0,0.941,-10.0,-10.0,9.832,-10.0,3.803,0.00484,-10.0,0.0,7.02,-10.0
B,S3_ITM5pct_D45,naked_call,-0.05,,45,5,60.0,0.519,-10.0,-10.0,8.778,-9.912,2.263,0.001663,-10.0,0.0,6.64,-10.0
B,S1_2.5pct_D60,vertical,0.0,0.025,60,5,60.0,0.459,-10.0,-10.0,10.992,-10.0,2.217,0.007351,-10.0,0.0,6.51,-10.0
B,S1_5.0pct_D60,vertical,0.0,0.05,60,5,60.0,0.715,-10.0,-10.0,12.873,-10.0,3.382,0.006226,-10.0,0.0,6.99,-10.0
B,S1_7.5pct_D60,vertical,0.0,0.075,60,5,60.0,1.027,-10.0,-10.0,15.144,-10.0,4.545,0.006537,-10.0,0.0,7.54,-10.0
B,S1_10.0pct_D60,vertical,0.0,0.1,60,5,60.0,1.473,-10.0,-10.0,18.788,-10.0,5.841,0.007875,-10.0,0.0,8.16,-10.0
B,S1_15.0pct_D60,vertical,0.0,0.15,60,5,60.0,1.448,-10.0,-10.0,14.723,-10.0,5.897,0.006567,-10.0,0.0,11.13,-10.0
B,S2_nakedATM_D60,naked_call,0.0,,60,5,60.0,1.071,-10.0,-10.0,11.826,-10.0,4.614,0.003978,-10.0,0.0,8.35,-10.0
B,S3_ITM5pct_D60,naked_call,-0.05,,60,5,60.0,0.784,-10.0,-10.0,9.983,-8.347,4.37,0.001857,-10.0,0.0,7.68,-10.0
B,S1_2.5pct_D90,vertical,0.0,0.025,90,5,100.0,2.242,0.0,5.89,9.559,0.0,94.238,0.022879,5.89,0.0,5.89,9.56
B,S1_5.0pct_D90,vertical,0.0,0.05,90,5,100.0,2.195,0.0,2.26,10.919,0.0,37.163,0.011939,2.26,0.0,6.23,11.21
B,S1_7.5pct_D90,vertical,0.0,0.075,90,5,80.0,1.979,-1.19,-1.19,9.534,-1.185,22.765,0.007698,-1.19,0.0,6.61,6.38
