report_date,noncomm_long,noncomm_short,open_interest,net_spec
2000-01-04,1181,3100,13007,-1919
2000-01-11,4287,2446,16982,1841
2000-01-18,4056,1583,16859,2473
2000-01-25,6185,2763,18788,3422
2000-02-01,4315,2521,20033,1794
2000-02-08,5734,2910,23329,2824
2000-02-15,5963,4348,26341,1615
2000-02-22,7496,6866,26896,630
2000-02-29,10668,4615,28309,6053
2000-03-07,14397,6432,32279,7965
2000-03-14,16004,2390,37191,13614
2000-03-21,6631,4769,20284,1862
2000-03-28,2766,2553,23252,213
2000-04-04,1976,5236,23919,-3260
2000-04-11,4277,5614,27607,-1337
2000-04-18,4791,5015,29125,-224
2000-04-25,8616,5016,34456,3600
2000-05-02,4874,4241,34727,633
2000-05-09,5730,5257,35473,473
2000-05-16,13044,6711,41743,6333
2000-05-23,8682,7968,37471,714
2000-05-30,11498,6776,38910,4722
2000-06-06,13500,7191,42739,6309
2000-06-13,7969,5843,54140,2126
2000-06-20,3346,881,20682,2465
2000-06-27,4834,586,26717,4248
2000-07-05,7187,0,32351,7187
2000-07-11,6562,1205,31495,5357
2000-07-18,6343,2826,32560,3517
2000-07-25,9587,4836,33666,4751
2000-08-01,9177,10393,40685,-1216
2000-08-08,7801,7157,42899,644
2000-08-15,8426,7108,45497,1318
2000-08-22,9267,9513,49066,-246
2000-08-29,11441,8806,50852,2635
2000-09-05,13223,9000,45938,4223
2000-09-12,17141,10933,60333,6208
2000-09-19,8329,5563,28670,2766
2000-09-26,8217,4583,31350,3634
2000-10-03,11381,6693,38661,4688
2000-10-10,12929,7582,50739,5347
2000-10-17,14597,6030,53424,8567
2000-10-24,16035,2761,52165,13274
2000-10-31,16127,3146,53505,12981
2000-11-07,15662,3847,53714,11815
2000-11-14,27551,7491,69611,20060
2000-11-21,27047,6285,73002,20762
2000-11-28,22892,4232,68996,18660
2000-12-05,30829,6285,79360,24544
2000-12-12,28874,5781,83163,23093
2000-12-19,15252,1838,36592,13414
2000-12-26,26834,2100,49138,24734
2001-01-02,15885,4880,44740,11005
2001-01-09,21845,3383,55152,18462
2001-01-16,19696,7180,58599,12516
2001-01-23,13212,9900,57190,3312
2001-01-30,13884,10898,55021,2986
2001-02-06,15750,15461,61474,289
2001-02-13,18601,15142,66170,3459
2001-02-20,14220,19798,68787,-5578
2001-02-27,18979,23433,79859,-4454
2001-03-06,26186,27547,88454,-1361
2001-03-13,23550,31038,102236,-7488
2001-03-20,8432,14171,45488,-5739
2001-03-27,14245,18379,65874,-4134
2001-04-03,16424,17596,67377,-1172
2001-04-10,20788,15158,85731,5630
2001-04-17,24827,16618,87821,8209
2001-04-24,22506,30145,110678,-7639
2001-05-01,22993,33613,107794,-10620
2001-05-08,26095,30369,101619,-4274
2001-05-15,32385,25154,111389,7231
2001-05-22,35141,31661,113800,3480
2001-05-29,39335,35844,123759,3491
2001-06-05,34942,31286,96112,3656
2001-06-12,37073,41759,119470,-4686
2001-06-19,18243,19327,56435,-1084
2001-06-26,24915,21992,74995,2923
2001-07-03,25499,25167,79119,332
2001-07-10,27322,36634,86077,-9312
2001-07-17,31231,32086,96995,-855
2001-07-24,35125,41995,107112,-6870
2001-07-31,41108,41702,112930,-594
2001-08-07,31698,43934,109117,-12236
2001-08-14,48021,51187,121915,-3166
2001-08-21,53960,53983,136800,-23
2001-08-28,51484,49546,138399,1938
2001-09-04,63237,56749,155927,6488
2001-09-10,71630,53046,174488,18584
2001-09-18,69293,48704,177547,20589
2001-09-25,22154,15733,96129,6421
2001-10-02,39427,23077,110025,16350
2001-10-09,41407,21867,117524,19540
2001-10-16,56541,29182,143482,27359
2001-10-23,69874,31301,154304,38573
2001-10-30,67299,31270,157790,36029
2001-11-06,55548,35885,201405,19663
2001-11-13,56724,32121,225806,24603
2001-11-20,61169,38290,242846,22879
2001-11-27,66944,43987,246588,22957
2001-12-04,65278,43503,237889,21775
2001-12-11,70148,44996,237729,25152
2001-12-18,76962,41160,199634,35802
2001-12-21,77435,37989,209793,39446
2001-12-28,12560,18042,53715,-5482
2002-01-08,8713,28939,75322,-20226
2002-01-15,30780,15186,92599,15594
2002-01-22,24642,20091,99650,4551
2002-01-29,28405,30922,99184,-2517
2002-02-05,35172,23302,105369,11870
2002-02-12,36745,30908,105947,5837
2002-02-19,46238,33309,123776,12929
2002-02-26,58348,27143,138395,31205
2002-03-05,49660,25899,150610,23761
2002-03-12,53747,22486,175061,31261
2002-03-19,16617,20023,85815,-3406
2002-03-26,33215,14943,110806,18272
2002-04-02,39004,27244,132004,11760
2002-04-09,44996,20801,146862,24195
2002-04-16,62511,15520,155251,46991
2002-04-23,54678,17915,161361,36763
2002-04-30,80935,19458,194103,61477
2002-05-07,77862,29820,203403,48042
2002-05-14,75143,31303,222358,43840
2002-05-21,80556,31838,238656,48718
2002-05-28,83877,40162,252308,43715
2002-06-04,95401,39505,246885,55896
2002-06-11,106568,39921,255618,66647
2002-06-18,119104,46088,308996,73016
2002-06-25,36240,23070,146731,13170
2002-07-02,48601,31572,203411,17029
2002-07-09,50716,36457,215071,14259
2002-07-16,79439,42376,317910,37063
2002-07-23,100682,30793,366398,69889
2002-07-30,94697,49147,359746,45550
2002-08-06,103513,38160,365486,65353
2002-08-13,86859,49848,341613,37011
2002-08-20,89901,54787,346486,35114
2002-08-27,80759,56059,337469,24700
2002-09-03,74999,68570,350769,6429
2002-09-10,79300,61494,342651,17806
2002-09-17,81527,95711,394416,-14184
2002-09-24,39291,73479,199443,-34188
2002-10-01,53003,62927,222951,-9924
2002-10-08,68352,46296,291462,22056
2002-10-15,77830,65084,317305,12746
2002-10-22,86777,66478,299438,20299
2002-10-29,86632,82192,367151,4440
2002-11-05,95807,77612,397698,18195
2002-11-12,95804,78453,391036,17351
2002-11-19,87032,85202,403474,1830
2002-11-26,96112,109748,443826,-13636
2002-12-03,96398,114971,433625,-18573
2002-12-10,106429,121480,449877,-15051
2002-12-17,100192,100281,497826,-89
2002-12-23,28487,39244,166561,-10757
2002-12-31,27867,46084,183575,-18217
2003-01-07,32747,54093,238299,-21346
2003-01-14,41981,51502,283834,-9521
2003-01-21,37573,74422,283776,-36849
2003-01-28,43001,81271,265233,-38270
2003-02-04,43523,118701,307922,-75178
2003-02-11,45031,125296,364896,-80265
2003-02-18,57426,112725,356365,-55299
2003-02-25,62151,128470,374375,-66319
2003-03-04,45396,156324,408053,-110928
2003-03-11,70357,143239,439776,-72882
2003-03-18,86282,129639,591879,-43357
2003-03-25,67845,73818,443520,-5973
2003-04-01,46162,78890,451132,-32728
2003-04-08,62930,116010,505274,-53080
2003-04-15,75719,126219,565475,-50500
2003-04-22,94709,136428,621666,-41719
2003-04-29,91416,163577,690544,-72161
2003-05-06,90611,180655,690439,-90044
2003-05-13,102033,192042,710034,-90009
2003-05-20,107558,231711,771751,-124153
2003-05-27,132993,261067,820774,-128074
2003-06-03,115954,283221,865872,-167267
2003-06-10,132451,308899,912950,-176448
2003-06-17,135429,176822,945203,-41393
2003-06-24,81707,69925,319068,11782
2003-07-01,107791,56881,349825,50910
2003-07-08,115364,68359,373731,47005
2003-07-15,97925,84152,367699,13773
2003-07-22,102723,72603,415539,30120
2003-07-29,103041,110827,437300,-7786
2003-08-05,106200,128602,488634,-22402
2003-08-12,74829,119741,459342,-44912
2003-08-19,93017,118711,492122,-25694
2003-08-26,87404,122607,499097,-35203
2003-09-02,90810,137138,517692,-46328
2003-09-09,88958,151679,544703,-62721
2003-09-16,100835,201862,717422,-101027
2003-09-23,77099,95682,368099,-18583
2003-09-30,79790,91066,385940,-11276
2003-10-07,75974,134300,428958,-58326
2003-10-14,85045,175871,476687,-90826
2003-10-21,83756,185507,489857,-101751
2003-10-28,115010,138364,467792,-23354
2003-11-04,85438,129581,476199,-44143
2003-11-11,83288,117483,439859,-34195
2003-11-18,119534,137881,475177,-18347
2003-11-25,118757,165802,491088,-47045
2003-12-02,118308,178620,542506,-60312
2003-12-09,129996,201619,596723,-71623
2003-12-16,146974,219430,711954,-72456
2003-12-22,76390,73936,337557,2454
2003-12-30,82377,92065,368060,-9688
2004-01-06,86921,109069,415010,-22148
2004-01-13,90078,151621,497785,-61543
2004-01-20,101513,158332,542414,-56819
2004-01-27,94122,144599,562460,-50477
2004-02-03,115384,127678,550820,-12294
2004-02-10,124046,117069,545037,6977
2004-02-17,128623,132856,589336,-4233
2004-02-24,138211,137751,600774,460
2004-03-02,135540,137172,619596,-1632
2004-03-09,143788,148808,732001,-5020
2004-03-16,163439,157452,883625,5987
2004-03-23,67912,114298,476180,-46386
2004-03-30,69253,92892,466090,-23639
2004-04-06,66948,111492,499796,-44544
2004-04-12,70760,111685,518263,-40925
2004-04-20,96697,134789,570449,-38092
2004-04-27,89180,116171,567817,-26991
2004-05-04,108650,99610,552354,9040
2004-05-11,120893,143493,615722,-22600
2004-05-18,116781,125055,580649,-8274
2004-05-25,120932,129004,582413,-8072
2004-06-01,108879,130746,564625,-21867
2004-06-08,135341,148828,669469,-13487
2004-06-15,144891,132724,843751,12167
2004-06-22,85936,53307,563835,32629
2004-06-29,88582,58232,590422,30350
2004-07-06,69091,93704,584344,-24613
2004-07-13,61466,67302,563397,-5836
2004-07-20,65800,97194,599491,-31394
2004-07-27,85728,111147,632008,-25419
2004-08-03,82714,120419,637529,-37705
2004-08-10,97377,116570,666046,-19193
2004-08-17,90905,138176,705105,-47271
2004-08-24,79620,133585,704475,-53965
2004-08-31,94638,105197,747473,-10559
2004-09-07,125954,102591,812200,23363
2004-09-14,109047,108392,849628,655
2004-09-21,87942,99152,562248,-11210
2004-09-28,101247,100799,600287,448
2004-10-05,104511,103741,668321,770
2004-10-12,112903,100773,688342,12130
2004-10-19,106464,127659,733692,-21195
2004-10-26,109956,158379,744015,-48423
2004-11-02,121156,179411,832960,-58255
2004-11-09,156310,153825,899433,2485
2004-11-16,205054,155625,1032546,49429
2004-11-23,246804,149352,1072750,97452
2004-11-30,248540,150913,1092145,97627
2004-12-07,262970,173631,1074893,89339
2004-12-14,267356,186037,1282604,81319
2004-12-21,201763,87546,714194,114217
2004-12-28,188587,78516,727822,110071
2005-01-04,205452,95155,800333,110297
2005-01-11,207777,112588,819971,95189
2005-01-18,188401,123760,843323,64641
2005-01-25,171832,113841,849678,57991
2005-02-01,158466,161886,812013,-3420
2005-02-08,176235,186446,868919,-10211
2005-02-15,187441,189388,933078,-1947
2005-02-22,207211,240226,905095,-33015
2005-03-01,207057,261570,1001414,-54513
2005-03-08,226570,263815,1059985,-37245
2005-03-15,276083,227548,1226408,48535
2005-03-22,151451,165491,843641,-14040
2005-03-29,145794,165678,864119,-19884
2005-04-05,134445,187695,879805,-53250
2005-04-12,170798,191324,882185,-20526
2005-04-19,205580,220045,974879,-14465
2005-04-26,209318,211009,960079,-1691
2005-05-03,183053,206319,972551,-23266
2005-05-10,196557,251601,1019983,-55044
2005-05-17,174830,209352,1000568,-34522
2005-05-24,180992,241162,1049050,-60170
2005-05-31,188598,223213,1064782,-34615
2005-06-07,199117,213842,1089415,-14725
2005-06-14,202817,211222,1211683,-8405
2005-06-21,90858,188181,799506,-97323
2005-06-28,133534,167394,836123,-33860
2005-07-05,147498,200271,858167,-52773
2005-07-12,117034,250359,950006,-133325
2005-07-19,136355,238163,948367,-101808
2005-07-26,153712,249431,949969,-95719
2005-08-02,186822,294936,1005704,-108114
2005-08-09,192289,284588,1022076,-92299
2005-08-16,199629,337612,1045387,-137983
2005-08-23,193366,324516,1091327,-131150
2005-08-30,182576,323436,1103644,-140860
2005-09-06,208544,362085,1201748,-153541
2005-09-13,214262,389040,1428315,-174778
2005-09-20,152951,259300,902479,-106349
2005-09-27,180570,236800,948507,-56230
2005-10-04,187216,245858,956849,-58642
2005-10-11,196817,256012,983451,-59195
2005-10-18,152417,302426,1050108,-150009
2005-10-25,140596,362717,1119100,-222121
2005-11-01,161135,307586,1107973,-146451
2005-11-08,164015,331866,1136772,-167851
2005-11-15,163546,309364,1144708,-145818
2005-11-22,209791,316772,1210541,-106981
2005-11-29,232185,269327,1246705,-37142
2005-12-06,271142,243577,1277369,27565
2005-12-13,294630,255096,1502276,39534
2005-12-20,195126,262901,1013365,-67775
2005-12-27,155209,248706,1039230,-93497
2006-01-03,202214,281600,1066114,-79386
2006-01-10,191126,318972,1140746,-127846
2006-01-17,184738,325812,1151070,-141074
2006-01-24,198593,355078,1151254,-156485
2006-01-31,237561,361937,1216719,-124376
2006-02-07,239465,434355,1183852,-194890
2006-02-14,224169,413121,1156131,-188952
2006-02-21,222747,431755,1203221,-209008
2006-02-28,252103,434187,1220242,-182084
2006-03-07,247771,397818,1351728,-150047
2006-03-14,257022,388229,1703932,-131207
2006-03-21,219294,282984,1181330,-63690
2006-03-28,162646,301486,1141244,-138840
2006-04-04,202834,315377,1151679,-112543
2006-04-11,173993,372905,1179131,-198912
2006-04-18,189188,378535,1201932,-189347
2006-04-25,198252,438196,1265060,-239944
2006-05-02,213579,425888,1307160,-212309
2006-05-09,247863,432321,1361264,-184458
2006-05-16,207357,423150,1369005,-215793
2006-05-23,196500,453312,1475797,-256812
2006-05-30,217857,438229,1493600,-220372
2006-06-06,229749,479507,1578088,-249758
2006-06-13,235392,470466,2042655,-235074
2006-06-20,192329,380103,1293970,-187774
2006-06-27,208915,388717,1298945,-179802
2006-07-03,226286,304824,1332529,-78538
2006-07-11,207068,324822,1344585,-117754
2006-07-18,189559,393530,1403408,-203971
2006-07-25,192380,353505,1378698,-161125
2006-08-01,168150,362796,1386714,-194646
2006-08-08,194010,394246,1465662,-200236
2006-08-15,230513,400259,1503215,-169746
2006-08-22,232641,424305,1547766,-191664
2006-08-29,250158,400641,1581886,-150483
2006-09-05,282833,492001,1672748,-209168
2006-09-12,262291,468912,1998218,-206621
2006-09-19,206163,279636,1303906,-73473
2006-09-26,276678,343784,1428199,-67106
2006-10-03,306657,330398,1453775,-23741
2006-10-10,297772,341739,1499138,-43967
2006-10-17,353595,327439,1557473,26156
2006-10-24,387262,344273,1610999,42989
2006-10-31,420368,323552,1649310,96816
2006-11-07,424597,340753,1697597,83844
2006-11-14,457652,356472,1738166,101180
2006-11-21,453399,341088,1785579,112311
2006-11-28,459413,342765,1808800,116648
2006-12-05,479055,393720,1961863,85335
2006-12-12,511473,408126,2361730,103347
2006-12-19,348753,237951,1504936,110802
2006-12-26,298877,216573,1489606,82304
2007-01-03,312818,221793,1518364,91025
2007-01-09,330127,232355,1584567,97772
2007-01-16,373591,232598,1647575,140993
2007-01-23,356626,282212,1664762,74414
2007-01-30,350983,310695,1669513,40288
2007-02-06,396781,333617,1726207,63164
2007-02-13,405234,347024,1783100,58210
2007-02-20,421264,411111,1869638,10153
2007-02-27,420637,449696,2006422,-29059
2007-03-06,341698,465385,2101358,-123687
2007-03-13,383393,586524,2700111,-203131
2007-03-20,279486,528759,1696188,-249273
2007-03-27,293299,585715,1741510,-292416
2007-04-03,299690,646898,1873931,-347208
2007-04-10,301481,626479,1887175,-324998
2007-04-17,301911,633203,1945192,-331292
2007-04-24,360840,648115,2035415,-287275
2007-05-01,376405,560286,1993806,-183881
2007-05-08,407570,592589,2008221,-185019
2007-05-15,425206,599999,2010006,-174793
2007-05-22,454487,688565,2160963,-234078
2007-05-29,455830,721765,2200527,-265935
2007-06-05,494616,759244,2405114,-264628
2007-06-12,478837,745970,2861518,-267133
2007-06-19,388811,431915,1577585,-43104
2007-06-26,390155,475032,1642944,-84877
2007-07-03,358140,502690,1619924,-144550
2007-07-10,350879,544207,1682680,-193328
2007-07-17,355023,591822,1702051,-236799
2007-07-24,342610,640676,1787275,-298066
2007-07-31,347867,685643,1981173,-337776
2007-08-07,341914,687186,2111980,-345272
2007-08-14,370333,700528,2121969,-330195
2007-08-21,329207,707288,2085581,-378081
2007-08-28,332784,697934,2115440,-365150
2007-09-04,302875,670612,2086435,-367737
2007-09-11,294860,703513,2264864,-408653
2007-09-18,297650,693183,2851893,-395533
2007-09-25,292818,444251,1747463,-151433
2007-10-02,308356,509548,1865981,-201192
2007-10-09,326945,542172,1950942,-215227
2007-10-16,328769,517493,2000172,-188724
2007-10-23,307450,528662,1977779,-221212
2007-10-30,325433,544199,2026594,-218766
2007-11-06,291436,568503,2036619,-277067
2007-11-13,278957,531332,2055383,-252375
2007-11-20,302744,528415,2149374,-225671
2007-11-27,314271,504882,2150535,-190611
2007-12-04,263575,541885,2164011,-278310
2007-12-11,286660,570485,2342983,-283825
2007-12-18,352902,523363,2757399,-170461
2007-12-24,324073,408214,1747039,-84141
2007-12-31,354831,431536,1725583,-76705
2008-01-08,415437,533566,1993208,-118129
2008-01-15,434100,521069,2139579,-86969
2008-01-22,522510,483069,2509683,39441
2008-01-29,464934,554033,2389489,-89099
2008-02-05,507868,601538,2490724,-93670
2008-02-12,474714,609852,2473964,-135138
2008-02-19,449747,660020,2371943,-210273
2008-02-26,450532,642564,2358196,-192032
2008-03-04,429137,664022,2402309,-234885
2008-03-11,407935,686814,2494075,-278879
2008-03-18,469012,686798,3089662,-217786
2008-03-25,296219,526122,2083681,-229903
2008-04-01,297212,535946,2112188,-238734
2008-04-08,300138,522129,2098521,-221991
2008-04-15,332966,519647,2040110,-186681
2008-04-22,335252,519101,2042108,-183849
2008-04-29,321853,535114,2070518,-213261
2008-05-06,374189,537225,2117598,-163036
2008-05-13,364919,569583,2129204,-204664
2008-05-20,391253,616037,2225222,-224784
2008-05-27,425620,639482,2290268,-213862
2008-06-03,451378,621535,2348861,-170157
2008-06-10,478175,662406,2452965,-184231
2008-06-17,483418,634446,2862936,-151028
2008-06-24,270626,519604,1945640,-248978
2008-07-01,324205,596685,2128123,-272480
2008-07-08,353265,646519,2305626,-293254
2008-07-15,432921,626986,2551139,-194065
2008-07-22,441917,664265,2435264,-222348
2008-07-29,470543,643569,2488058,-173026
2008-08-05,481194,641628,2492891,-160434
2008-08-12,467345,619438,2464192,-152093
2008-08-19,478913,648547,2480117,-169634
2008-08-26,439539,637193,2444920,-197654
2008-09-02,443143,644189,2459817,-201046
2008-09-09,495857,662056,2584380,-166199
2008-09-16,575434,661459,3205598,-86025
2008-09-23,344298,507101,2266433,-162803
2008-09-30,370547,526524,2565210,-155977
2008-10-07,494983,599213,2894010,-104230
2008-10-14,549198,715689,3189495,-166491
2008-10-21,477816,617638,3023160,-139822
2008-10-28,441298,502415,3062115,-61117
2008-11-04,455053,391231,2896273,63822
2008-11-11,501669,361102,3042768,140567
2008-11-18,483798,358647,3199331,125151
2008-11-25,501849,396872,3253752,104977
2008-12-02,527800,371238,3227862,156562
2008-12-09,479154,326067,3147959,153087
2008-12-16,579394,315518,3814544,263876
2008-12-22,459826,225195,2276969,234631
2008-12-30,460552,217238,2307779,243314
2009-01-06,456394,251627,2411321,204767
2009-01-13,513272,242676,2438899,270596
2009-01-20,572592,308676,2565182,263916
2009-01-27,579249,277973,2620436,301276
2009-02-03,604405,292326,2681609,312079
2009-02-10,609450,322209,2746341,287241
2009-02-17,665581,347783,3047503,317798
2009-02-24,669949,309366,3099079,360583
2009-03-03,721734,326304,3306527,395430
2009-03-10,730733,397462,3582979,333271
2009-03-17,769235,502897,3929370,266338
2009-03-24,469144,394615,2428148,74529
2009-03-31,496882,367228,2439953,129654
2009-04-07,469938,372419,2412590,97519
2009-04-14,483156,395189,2454936,87967
2009-04-21,500761,367220,2511152,133541
2009-04-28,529769,392206,2616834,137563
2009-05-05,501822,449763,2629788,52059
2009-05-12,517888,478817,2645720,39071
2009-05-19,547574,457218,2700135,90356
2009-05-26,568611,426621,2736726,141990
2009-06-02,553101,419809,2757744,133292
2009-06-09,548657,422928,2815342,125729
2009-06-16,567457,388350,3243222,179107
2009-06-23,472126,285662,2303107,186464
2009-06-30,459027,306381,2330177,152646
2009-07-07,475003,373519,2411917,101484
2009-07-14,470513,366019,2401740,104494
2009-07-21,465673,393622,2420483,72051
2009-07-28,481928,378794,2503699,103134
2009-08-04,466986,400655,2547131,66331
2009-08-11,486943,384176,2595818,102767
2009-08-18,513300,395931,2622199,117369
2009-08-25,436934,404771,2651182,32163
2009-09-01,458156,358009,2673739,100147
2009-09-08,456292,376261,2688470,80031
2009-09-15,494556,387914,3084056,106642
2009-09-22,420038,306277,2284722,113761
2009-09-29,439866,290356,2338950,149510
2009-10-06,462070,299497,2334675,162573
2009-10-13,448687,296948,2323932,151739
2009-10-20,436555,359342,2392419,77213
2009-10-27,460894,336658,2472585,124236
2009-11-03,487310,278862,2531749,208448
2009-11-09,475362,342296,2560834,133066
2009-11-17,467806,299995,2606977,167811
2009-11-24,470389,299610,2639563,170779
2009-12-01,473537,312050,2657480,161487
2009-12-08,454000,311602,2770435,142398
2009-12-15,532436,331721,3378983,200715
2009-12-22,377440,304897,2375469,72543
2009-12-29,376329,315818,2400627,60511
2010-01-05,379409,286336,2406829,93073
2010-01-12,383303,334458,2445201,48845
2010-01-19,396022,346720,2479545,49302
2010-01-26,501352,409006,2633024,92346
2010-02-02,554666,455450,2710912,99216
2010-02-09,672728,432358,2835286,240370
2010-02-16,693451,462331,2827987,231120
2010-02-23,707401,468932,2847974,238469
2010-03-02,719461,476567,2870663,242894
2010-03-09,705372,502237,2971944,203135
2010-03-16,701546,532280,3578829,169266
2010-03-23,351567,375215,2348917,-23648
2010-03-30,296557,306195,2419469,-9638
2010-04-06,298248,309286,2408236,-11038
2010-04-13,294221,336297,2426056,-42076
2010-04-20,307929,359109,2496089,-51180
2010-04-27,344195,393715,2575827,-49520
2010-05-04,362531,411097,2566615,-48566
2010-05-11,363732,359302,2659978,4430
2010-05-18,329592,328425,2641156,1167
2010-05-25,358595,338435,2735512,20160
2010-06-01,342021,352724,2820119,-10703
2010-06-08,411950,361212,3046422,50738
2010-06-15,315215,332701,3426436,-17486
2010-06-22,254185,266045,2607245,-11860
2010-06-29,308407,242012,2752345,66395
2010-07-06,336765,308007,2875146,28758
2010-07-13,309841,381383,2812693,-71542
2010-07-20,354454,346145,2814633,8309
2010-07-27,307833,336613,2780454,-28780
2010-08-03,286251,328977,2745286,-42726
2010-08-10,306101,328840,2752036,-22739
2010-08-17,366383,316099,2826725,50284
2010-08-24,444463,359756,2939121,84707
2010-08-31,486929,388787,3042646,98142
