strategy,underlying,entry_date,exit_date,entry_spx,exit_spx,entry_vix,entry_credit,exit_pnl,exit_reason,dte_at_entry,dte_at_exit,spread_width,option_premium,bp_per_contract,contracts,total_bp,bp_pct_account,open_at_end
Bear Call Spread (High Vol),SPX,2023-01-03,2023-02-07,3824.139892578125,4164.0,22.899999618530273,-22.734992111824226,-2166.832661567795,roll_21dte,45,21,183,2273.4992111824226,16026.500788817577,0.6552,10500.0,7.0,False
Iron Condor (High Vol),SPX,2023-02-21,2023-03-21,3997.340087890625,4002.8701171875,22.8700008392334,-37.048213955493054,1666.1345122367027,50pct_profit,45,25,180,3704.8213955493056,14295.178604450695,0.7345,10500.0,7.0,False
Iron Condor (High Vol),SPX,2023-02-22,2023-03-27,3991.050048828125,3977.530029296875,22.290000915527344,-36.06988122860707,1878.1303476336295,50pct_profit,45,22,176,3606.9881228607073,13993.011877139292,0.7504,10500.0,7.0,False
Bull Call Diagonal,SPX,2023-06-02,2023-07-10,4282.3701171875,4409.52978515625,14.600000381469727,200.96713758608644,4513.636347899856,roll_21dte,45,21,0.0,20096.713758608643,20096.713758608643,0.7464,15000.0,10.0,False
Bull Call Diagonal,SPX,2023-07-11,2023-08-14,4439.259765625,4489.72021484375,14.84000015258789,213.14093356751346,1829.7185161806094,roll_21dte,45,21,0.0,21314.093356751346,21314.093356751346,0.7038,15000.0,10.0,False
Bull Call Diagonal,SPX,2023-08-14,2023-08-17,4489.72021484375,4370.35986328125,14.819999694824219,213.70958653661387,-2390.980499580703,trend_flip,45,42,0.0,21370.958653661386,21370.958653661386,0.7019,15000.0,10.0,False
Bull Call Diagonal,SPX,2023-08-29,2023-09-15,4497.6298828125,4450.31982421875,14.449999809265137,211.04408998039048,-1746.6946776904347,trend_flip,45,33,0.0,21104.40899803905,21104.40899803905,0.7108,15000.0,10.0,False
Iron Condor,SPX,2023-10-04,2023-11-01,4263.75,4237.85986328125,18.579999923706055,-32.12057721569278,2509.5010568212933,50pct_profit,45,25,152,3212.0577215692774,11987.942278430723,1.2513,15000.0,10.0,False
Iron Condor,SPX,2023-11-03,2023-12-08,4358.33984375,4604.3701171875,14.90999984741211,-26.294683928134702,-212.09992712057226,roll_21dte,45,21,123,2629.46839281347,9670.531607186529,1.5511,15000.0,10.0,False
Bull Call Diagonal,SPX,2023-11-08,2023-12-13,4382.77978515625,4707.08984375,14.449999809265137,205.6472522259544,8506.481824771103,roll_21dte,45,21,0.0,20564.72522259544,20564.72522259544,0.7294,15000.0,10.0,False
Bull Call Diagonal,SPX,2023-12-13,2024-01-19,4707.08984375,4839.81005859375,12.1899995803833,187.66516126001625,4896.042914816997,roll_21dte,45,21,0.0,18766.516126001625,18766.516126001625,0.7993,15000.0,10.0,False
Bull Call Diagonal,SPX,2024-01-19,2024-02-23,4839.81005859375,5088.7998046875,13.300000190734863,209.04645876154814,7104.12455227318,roll_21dte,45,21,0.0,20904.645876154813,20904.645876154813,0.7175,15000.0,10.0,False
Bull Put Spread,SPX,2024-02-13,2024-02-27,4953.169921875,5078.18017578125,15.850000381469727,-31.988552371814876,3561.1767275798857,roll_21dte,30,21,136,3198.8552371814876,10401.144762818512,1.4421,15000.0,10.0,False
Bull Call Diagonal,SPX,2024-02-23,2024-03-28,5088.7998046875,5254.35009765625,13.75,226.7723178386875,5010.359315489301,roll_21dte,45,21,0.0,22677.231783868752,22677.231783868752,0.6615,15000.0,10.0,False
