entry_date,exit_date,strategy,exit_reason,exit_pnl,open_at_end,dte_at_entry,dte_at_exit,contracts,total_bp,bp_pct_account
2023-06-02,2023-07-10,Bull Call Diagonal,roll_21dte,4513.636347899856,False,45,21,0.7464,15000.0,10.0
2023-07-11,2023-08-14,Bull Call Diagonal,roll_21dte,1829.7185161806094,False,45,21,0.7038,15000.0,10.0
2023-08-14,2023-08-17,Bull Call Diagonal,trend_flip,-2390.980499580703,False,45,42,0.7019,15000.0,10.0
2023-08-29,2023-09-15,Bull Call Diagonal,trend_flip,-1746.6946776904347,False,45,33,0.7108,15000.0,10.0
2023-10-04,2023-11-01,Iron Condor,50pct_profit,2509.5010568212933,False,45,25,1.2513,15000.0,10.0
2023-11-03,2023-12-08,Iron Condor,roll_21dte,-212.09992712057226,False,45,21,1.5511,15000.0,10.0
2023-11-08,2023-12-13,Bull Call Diagonal,roll_21dte,8506.481824771103,False,45,21,0.7294,15000.0,10.0
2023-12-13,2024-01-19,Bull Call Diagonal,roll_21dte,4896.042914816997,False,45,21,0.7993,15000.0,10.0
2024-01-19,2024-02-23,Bull Call Diagonal,roll_21dte,7104.12455227318,False,45,21,0.7175,15000.0,10.0
2024-02-13,2024-02-27,Bull Put Spread,roll_21dte,3561.1767275798857,False,30,21,1.4421,15000.0,10.0
2024-02-23,2024-03-28,Bull Call Diagonal,roll_21dte,5010.359315489301,False,45,21,0.6615,15000.0,10.0
2024-03-28,2024-04-15,Bull Call Diagonal,trend_flip,-2726.8820067624697,False,45,34,0.6734,15000.0,10.0
2024-04-12,2024-05-03,Iron Condor,50pct_profit,2922.8972744384114,False,45,30,1.1204,15000.0,10.0
2024-05-03,2024-06-07,Iron Condor,roll_21dte,690.5765238284702,False,45,21,1.4618,15000.0,10.0
2024-05-06,2024-06-10,Bull Call Diagonal,roll_21dte,5356.232629662622,False,45,21,0.6619,15000.0,10.0
2024-06-10,2024-07-16,Bull Call Diagonal,roll_21dte,7712.544151472237,False,45,21,0.6744,15000.0,10.0
2024-07-16,2024-08-02,Bull Call Diagonal,trend_flip,-3248.0756238841827,False,45,32,0.618,15000.0,10.0
2024-08-06,2024-08-20,Iron Condor (High Vol),50pct_profit,718.6930611835933,False,45,35,0.2693,10500.0,7.0
2024-08-07,2024-08-27,Iron Condor (High Vol),50pct_profit,690.574274889628,False,45,31,0.2786,10500.0,7.0
2024-08-01,2024-08-29,Iron Condor,50pct_profit,2582.70042823669,False,45,25,0.9802,15000.0,10.0
2024-09-03,2024-09-24,Iron Condor,50pct_profit,2386.539365268755,False,45,30,0.8463,15000.0,10.0
2024-11-08,2024-12-13,Bull Call Diagonal,roll_21dte,1255.2287963969954,False,45,21,0.52,15000.0,10.0
2024-12-13,2024-12-18,Bull Call Diagonal,trend_flip,661.9123239734248,False,45,42,0.5552,15000.0,10.0
2024-12-24,2024-12-31,Bull Call Diagonal,trend_flip,-2436.5132162731834,False,45,41,0.5368,15000.0,10.0
2025-01-21,2025-02-03,Bull Put Spread,roll_21dte,-1446.8871887652726,False,30,21,1.2662,15000.0,10.0
2024-12-30,2025-02-05,Iron Condor,50pct_profit,2624.439623236351,False,45,21,0.9554,15000.0,10.0
2025-02-06,2025-02-20,Bull Put Spread,roll_21dte,1224.1041409275074,False,30,21,1.2186,15000.0,10.0
2025-02-14,2025-02-25,Bull Call Diagonal,trend_flip,-1824.2947416728878,False,45,39,0.5161,15000.0,10.0
2025-02-20,2025-03-05,Bull Put Spread,roll_21dte,-6253.231872644994,False,30,21,1.2047,15000.0,10.0
