timestamp,date,bar_hm,vix,ivp252,regime,baseline_strategy,baseline_action,governed_strategy,governed_action,actionable,is_scheduled_bar,hysteresis_prev,hysteresis_new,final_priority_layer
2025-05-27 09:30:00-04:00,2025-05-27,09:30,20.219999313354492,71.7,NORMAL,Reduce / Wait,WAIT,Reduce / Wait,WAIT,False,False,WAIT,WAIT,7
2025-05-27 10:30:00-04:00,2025-05-27,10:30,19.5,68.4,NORMAL,Reduce / Wait,WAIT,Reduce / Wait,WAIT,True,True,WAIT,WAIT,5
2025-05-27 11:30:00-04:00,2025-05-27,11:30,19.389999389648438,67.6,NORMAL,Reduce / Wait,WAIT,Reduce / Wait,WAIT,False,False,WAIT,WAIT,7
2025-05-27 12:30:00-04:00,2025-05-27,12:30,19.309999465942383,67.2,NORMAL,Reduce / Wait,WAIT,Reduce / Wait,WAIT,False,False,WAIT,WAIT,7
2025-05-27 13:30:00-04:00,2025-05-27,13:30,19.1299991607666,65.2,NORMAL,Reduce / Wait,WAIT,Reduce / Wait,WAIT,False,False,WAIT,WAIT,7
2025-05-27 14:30:00-04:00,2025-05-27,14:30,19.1299991607666,65.2,NORMAL,Reduce / Wait,WAIT,Reduce / Wait,WAIT,False,False,WAIT,WAIT,7
2025-05-27 15:30:00-04:00,2025-05-27,15:30,19.030000686645508,63.6,NORMAL,Reduce / Wait,WAIT,Reduce / Wait,WAIT,True,True,WAIT,WAIT,5
2025-05-28 09:30:00-04:00,2025-05-28,09:30,19.06999969482422,63.3,NORMAL,Reduce / Wait,WAIT,Reduce / Wait,WAIT,False,False,WAIT,WAIT,7
2025-05-28 10:30:00-04:00,2025-05-28,10:30,19.309999465942383,66.9,NORMAL,Reduce / Wait,WAIT,Reduce / Wait,WAIT,True,True,WAIT,WAIT,5
2025-05-28 11:30:00-04:00,2025-05-28,11:30,19.43000030517578,67.3,NORMAL,Reduce / Wait,WAIT,Reduce / Wait,WAIT,False,False,WAIT,WAIT,7
2025-05-28 12:30:00-04:00,2025-05-28,12:30,19.059999465942383,63.3,NORMAL,Reduce / Wait,WAIT,Reduce / Wait,WAIT,False,False,WAIT,WAIT,7
2025-05-28 13:30:00-04:00,2025-05-28,13:30,19.0,63.3,NORMAL,Reduce / Wait,WAIT,Reduce / Wait,WAIT,False,False,WAIT,WAIT,7
2025-05-28 14:30:00-04:00,2025-05-28,14:30,18.950000762939453,62.9,NORMAL,Reduce / Wait,WAIT,Reduce / Wait,WAIT,False,False,WAIT,WAIT,7
2025-05-28 15:30:00-04:00,2025-05-28,15:30,19.190000534057617,64.9,NORMAL,Reduce / Wait,WAIT,Reduce / Wait,WAIT,True,True,WAIT,WAIT,5
2025-05-29 09:30:00-04:00,2025-05-29,09:30,19.139999389648438,65.1,NORMAL,Reduce / Wait,WAIT,Reduce / Wait,WAIT,False,False,WAIT,WAIT,7
2025-05-29 10:30:00-04:00,2025-05-29,10:30,18.979999542236328,63.1,NORMAL,Reduce / Wait,WAIT,Reduce / Wait,WAIT,True,True,WAIT,WAIT,5
2025-05-29 11:30:00-04:00,2025-05-29,11:30,19.940000534057617,71.5,NORMAL,Reduce / Wait,WAIT,Reduce / Wait,WAIT,False,False,WAIT,WAIT,7
2025-05-29 12:30:00-04:00,2025-05-29,12:30,19.1299991607666,65.1,NORMAL,Reduce / Wait,WAIT,Reduce / Wait,WAIT,False,False,WAIT,WAIT,7
2025-05-29 13:30:00-04:00,2025-05-29,13:30,19.270000457763672,66.7,NORMAL,Reduce / Wait,WAIT,Reduce / Wait,WAIT,False,False,WAIT,WAIT,7
2025-05-29 14:30:00-04:00,2025-05-29,14:30,19.06999969482422,63.5,NORMAL,Reduce / Wait,WAIT,Reduce / Wait,WAIT,False,False,WAIT,WAIT,7
2025-05-29 15:30:00-04:00,2025-05-29,15:30,19.049999237060547,63.5,NORMAL,Reduce / Wait,WAIT,Reduce / Wait,WAIT,True,True,WAIT,WAIT,5
2025-05-30 09:30:00-04:00,2025-05-30,09:30,19.700000762939453,69.6,NORMAL,Reduce / Wait,WAIT,Reduce / Wait,WAIT,False,False,WAIT,WAIT,7
2025-05-30 10:30:00-04:00,2025-05-30,10:30,19.260000228881836,66.0,NORMAL,Reduce / Wait,WAIT,Reduce / Wait,WAIT,True,True,WAIT,WAIT,5
2025-05-30 11:30:00-04:00,2025-05-30,11:30,19.260000228881836,66.0,NORMAL,Reduce / Wait,WAIT,Reduce / Wait,WAIT,False,False,WAIT,WAIT,7
2025-05-30 12:30:00-04:00,2025-05-30,12:30,20.239999771118164,71.6,NORMAL,Reduce / Wait,WAIT,Reduce / Wait,WAIT,False,False,WAIT,WAIT,7
2025-05-30 13:30:00-04:00,2025-05-30,13:30,19.920000076293945,71.6,NORMAL,Reduce / Wait,WAIT,Reduce / Wait,WAIT,False,False,WAIT,WAIT,7
2025-05-30 14:30:00-04:00,2025-05-30,14:30,19.059999465942383,63.2,NORMAL,Reduce / Wait,WAIT,Reduce / Wait,WAIT,False,False,WAIT,WAIT,7
2025-05-30 15:30:00-04:00,2025-05-30,15:30,18.75,62.0,NORMAL,Reduce / Wait,WAIT,Reduce / Wait,WAIT,True,True,WAIT,WAIT,5
2025-06-02 09:30:00-04:00,2025-06-02,09:30,19.530000686645508,68.5,NORMAL,Reduce / Wait,WAIT,Reduce / Wait,WAIT,False,False,WAIT,WAIT,7
2025-06-02 10:30:00-04:00,2025-06-02,10:30,18.8799991607666,61.8,NORMAL,Reduce / Wait,WAIT,Reduce / Wait,WAIT,True,True,WAIT,WAIT,5
2025-06-02 11:30:00-04:00,2025-06-02,11:30,18.8799991607666,61.8,NORMAL,Reduce / Wait,WAIT,Reduce / Wait,WAIT,False,False,WAIT,WAIT,7
2025-06-02 12:30:00-04:00,2025-06-02,12:30,18.93000030517578,62.2,NORMAL,Reduce / Wait,WAIT,Reduce / Wait,WAIT,False,False,WAIT,WAIT,7
2025-06-02 13:30:00-04:00,2025-06-02,13:30,18.899999618530273,61.8,NORMAL,Reduce / Wait,WAIT,Reduce / Wait,WAIT,False,False,WAIT,WAIT,7
2025-06-02 14:30:00-04:00,2025-06-02,14:30,18.530000686645508,59.8,NORMAL,Reduce / Wait,WAIT,Reduce / Wait,WAIT,False,False,WAIT,WAIT,7
2025-06-02 15:30:00-04:00,2025-06-02,15:30,18.479999542236328,59.8,NORMAL,Reduce / Wait,WAIT,Reduce / Wait,WAIT,True,True,WAIT,WAIT,5
2025-06-03 09:30:00-04:00,2025-06-03,09:30,18.440000534057617,59.0,NORMAL,Reduce / Wait,WAIT,Reduce / Wait,WAIT,False,False,WAIT,WAIT,7
2025-06-03 10:30:00-04:00,2025-06-03,10:30,18.010000228881836,53.8,NORMAL,Bull Put Spread,OPEN,Reduce / Wait,WAIT,True,True,WAIT,WAIT,5
2025-06-03 11:30:00-04:00,2025-06-03,11:30,17.989999771118164,53.8,NORMAL,Bull Put Spread,OPEN,Reduce / Wait,WAIT,False,False,WAIT,WAIT,6
2025-06-03 12:30:00-04:00,2025-06-03,12:30,17.920000076293945,53.4,NORMAL,Bull Put Spread,OPEN,Reduce / Wait,WAIT,False,False,WAIT,WAIT,6
2025-06-03 13:30:00-04:00,2025-06-03,13:30,17.8700008392334,53.0,NORMAL,Bull Put Spread,OPEN,Reduce / Wait,WAIT,False,False,WAIT,Bull Put Spread,7
2025-06-03 14:30:00-04:00,2025-06-03,14:30,17.739999771118164,52.2,NORMAL,Bull Put Spread,OPEN,Reduce / Wait,WAIT,False,False,WAIT,Bull Put Spread,7
2025-06-03 15:30:00-04:00,2025-06-03,15:30,17.649999618530273,51.0,NORMAL,Bull Put Spread,OPEN,Bull Put Spread,OPEN,True,True,WAIT,Bull Put Spread,5
2025-06-04 09:30:00-04:00,2025-06-04,09:30,17.670000076293945,50.6,NORMAL,Bull Put Spread,OPEN,Bull Put Spread,OPEN,False,False,Bull Put Spread,Bull Put Spread,7
2025-06-04 10:30:00-04:00,2025-06-04,10:30,17.65999984741211,50.6,NORMAL,Bull Put Spread,OPEN,Bull Put Spread,OPEN,True,True,Bull Put Spread,Bull Put Spread,5
2025-06-04 11:30:00-04:00,2025-06-04,11:30,17.68000030517578,50.6,NORMAL,Bull Put Spread,OPEN,Bull Put Spread,OPEN,False,False,Bull Put Spread,Bull Put Spread,7
2025-06-04 12:30:00-04:00,2025-06-04,12:30,17.6299991607666,50.6,NORMAL,Bull Put Spread,OPEN,Bull Put Spread,OPEN,False,False,Bull Put Spread,Bull Put Spread,7
2025-06-04 13:30:00-04:00,2025-06-04,13:30,17.579999923706055,50.2,NORMAL,Bull Put Spread,OPEN,Bull Put Spread,OPEN,False,False,Bull Put Spread,Bull Put Spread,7
2025-06-04 14:30:00-04:00,2025-06-04,14:30,17.56999969482422,50.2,NORMAL,Bull Put Spread,OPEN,Bull Put Spread,OPEN,False,False,Bull Put Spread,Bull Put Spread,7
2025-06-04 15:30:00-04:00,2025-06-04,15:30,17.489999771118164,49.8,NORMAL,Bull Put Spread,OPEN,Bull Put Spread,OPEN,True,True,Bull Put Spread,Bull Put Spread,5
2025-06-05 09:30:00-04:00,2025-06-05,09:30,18.09000015258789,54.2,NORMAL,Bull Put Spread,OPEN,Bull Put Spread,OPEN,False,False,Bull Put Spread,Bull Put Spread,7
2025-06-05 10:30:00-04:00,2025-06-05,10:30,17.270000457763672,48.2,NORMAL,Bull Put Spread,OPEN,Bull Put Spread,OPEN,True,True,Bull Put Spread,Bull Put Spread,5
2025-06-05 11:30:00-04:00,2025-06-05,11:30,17.149999618530273,46.6,NORMAL,Bull Put Spread,OPEN,Bull Put Spread,OPEN,False,False,Bull Put Spread,Bull Put Spread,7
2025-06-05 12:30:00-04:00,2025-06-05,12:30,17.65999984741211,50.2,NORMAL,Bull Put Spread,OPEN,Bull Put Spread,OPEN,False,False,Bull Put Spread,Bull Put Spread,7
2025-06-05 13:30:00-04:00,2025-06-05,13:30,17.329999923706055,48.2,NORMAL,Bull Put Spread,OPEN,Bull Put Spread,OPEN,False,False,Bull Put Spread,Bull Put Spread,7
2025-06-05 14:30:00-04:00,2025-06-05,14:30,17.799999237060547,51.8,NORMAL,Bull Put Spread,OPEN,Bull Put Spread,OPEN,False,False,Bull Put Spread,Bull Put Spread,7
2025-06-05 15:30:00-04:00,2025-06-05,15:30,18.6299991607666,61.0,NORMAL,Reduce / Wait,WAIT,Reduce / Wait,WAIT,True,True,Bull Put Spread,WAIT,5
2025-06-06 09:30:00-04:00,2025-06-06,09:30,17.200000762939453,47.0,NORMAL,Bull Put Spread,OPEN,Reduce / Wait,WAIT,False,False,WAIT,Bull Put Spread,7
2025-06-06 10:30:00-04:00,2025-06-06,10:30,17.18000030517578,47.0,NORMAL,Bull Put Spread,OPEN,Bull Put Spread,OPEN,True,True,WAIT,Bull Put Spread,5
2025-06-06 11:30:00-04:00,2025-06-06,11:30,16.899999618530273,44.6,NORMAL,Bull Put Spread,OPEN,Bull Put Spread,OPEN,False,False,Bull Put Spread,Bull Put Spread,7
2025-06-06 12:30:00-04:00,2025-06-06,12:30,17.059999465942383,45.0,NORMAL,Bull Put Spread,OPEN,Bull Put Spread,OPEN,False,False,Bull Put Spread,Bull Put Spread,7
2025-06-06 13:30:00-04:00,2025-06-06,13:30,16.719999313354492,43.4,NORMAL,Bull Put Spread,OPEN,Bull Put Spread,OPEN,False,False,Bull Put Spread,Bull Put Spread,7
2025-06-06 14:30:00-04:00,2025-06-06,14:30,16.860000610351562,44.2,NORMAL,Bull Put Spread,OPEN,Bull Put Spread,OPEN,False,False,Bull Put Spread,Bull Put Spread,7
2025-06-06 15:30:00-04:00,2025-06-06,15:30,16.809999465942383,44.2,NORMAL,Bull Put Spread,OPEN,Bull Put Spread,OPEN,True,True,Bull Put Spread,Bull Put Spread,5
2025-06-09 09:30:00-04:00,2025-06-09,09:30,17.389999389648438,47.8,NORMAL,Bull Put Spread,OPEN,Bull Put Spread,OPEN,False,False,Bull Put Spread,Bull Put Spread,7
2025-06-09 10:30:00-04:00,2025-06-09,10:30,17.270000457763672,47.4,NORMAL,Bull Put Spread,OPEN,Bull Put Spread,OPEN,True,True,Bull Put Spread,Bull Put Spread,5
2025-06-09 11:30:00-04:00,2025-06-09,11:30,17.059999465942383,44.6,NORMAL,Bull Put Spread,OPEN,Bull Put Spread,OPEN,False,False,Bull Put Spread,Bull Put Spread,7
2025-06-09 12:30:00-04:00,2025-06-09,12:30,17.020000457763672,44.6,NORMAL,Bull Put Spread,OPEN,Bull Put Spread,OPEN,False,False,Bull Put Spread,Bull Put Spread,7
2025-06-09 13:30:00-04:00,2025-06-09,13:30,16.8700008392334,43.8,NORMAL,Bull Put Spread,OPEN,Bull Put Spread,OPEN,False,False,Bull Put Spread,Bull Put Spread,7
2025-06-09 14:30:00-04:00,2025-06-09,14:30,16.84000015258789,43.8,NORMAL,Bull Put Spread,OPEN,Bull Put Spread,OPEN,False,False,Bull Put Spread,Bull Put Spread,7
2025-06-09 15:30:00-04:00,2025-06-09,15:30,17.110000610351562,45.0,NORMAL,Bull Put Spread,OPEN,Bull Put Spread,OPEN,True,True,Bull Put Spread,Bull Put Spread,5
2025-06-10 09:30:00-04:00,2025-06-10,09:30,17.139999389648438,45.4,NORMAL,Bull Put Spread,OPEN,Bull Put Spread,OPEN,False,False,Bull Put Spread,Bull Put Spread,7
2025-06-10 10:30:00-04:00,2025-06-10,10:30,17.06999969482422,44.6,NORMAL,Bull Put Spread,OPEN,Bull Put Spread,OPEN,True,True,Bull Put Spread,Bull Put Spread,5
2025-06-10 11:30:00-04:00,2025-06-10,11:30,16.989999771118164,44.6,NORMAL,Bull Put Spread,OPEN,Bull Put Spread,OPEN,False,False,Bull Put Spread,Bull Put Spread,7
2025-06-10 12:30:00-04:00,2025-06-10,12:30,16.8799991607666,44.2,NORMAL,Bull Put Spread,OPEN,Bull Put Spread,OPEN,False,False,Bull Put Spread,Bull Put Spread,7
2025-06-10 13:30:00-04:00,2025-06-10,13:30,17.030000686645508,44.6,NORMAL,Bull Put Spread,OPEN,Bull Put Spread,OPEN,False,False,Bull Put Spread,Bull Put Spread,7
2025-06-10 14:30:00-04:00,2025-06-10,14:30,16.719999313354492,42.6,NORMAL,Reduce / Wait,WAIT,Bull Put Spread,OPEN,False,False,Bull Put Spread,Bull Put Spread,6
2025-06-10 15:30:00-04:00,2025-06-10,15:30,16.760000228881836,43.0,NORMAL,Bull Put Spread,OPEN,Bull Put Spread,OPEN,True,True,Bull Put Spread,Bull Put Spread,5
2025-06-11 09:30:00-04:00,2025-06-11,09:30,16.579999923706055,41.4,NORMAL,Reduce / Wait,WAIT,Bull Put Spread,OPEN,False,False,Bull Put Spread,Bull Put Spread,6
2025-06-11 10:30:00-04:00,2025-06-11,10:30,16.399999618530273,39.0,NORMAL,Reduce / Wait,WAIT,Bull Put Spread,WAIT,True,True,Bull Put Spread,Bull Put Spread,5
2025-06-11 11:30:00-04:00,2025-06-11,11:30,16.5,39.8,NORMAL,Reduce / Wait,WAIT,Bull Put Spread,WAIT,False,False,Bull Put Spread,Bull Put Spread,6
2025-06-11 12:30:00-04:00,2025-06-11,12:30,16.469999313354492,39.8,NORMAL,Reduce / Wait,WAIT,Bull Put Spread,WAIT,False,False,Bull Put Spread,Bull Put Spread,6
2025-06-11 13:30:00-04:00,2025-06-11,13:30,16.65999984741211,42.2,NORMAL,Reduce / Wait,WAIT,Bull Put Spread,WAIT,False,False,Bull Put Spread,Bull Put Spread,6
2025-06-11 14:30:00-04:00,2025-06-11,14:30,17.479999542236328,48.2,NORMAL,Bull Put Spread,OPEN,Bull Put Spread,WAIT,False,False,Bull Put Spread,Bull Put Spread,7
2025-06-11 15:30:00-04:00,2025-06-11,15:30,17.360000610351562,47.8,NORMAL,Bull Put Spread,OPEN,Bull Put Spread,OPEN,True,True,Bull Put Spread,Bull Put Spread,5
2025-06-12 09:30:00-04:00,2025-06-12,09:30,17.969999313354492,53.0,NORMAL,Bull Put Spread,OPEN,Bull Put Spread,OPEN,False,False,Bull Put Spread,Bull Put Spread,7
2025-06-12 10:30:00-04:00,2025-06-12,10:30,17.56999969482422,49.0,NORMAL,Bull Put Spread,OPEN,Bull Put Spread,OPEN,True,True,Bull Put Spread,Bull Put Spread,5
2025-06-12 11:30:00-04:00,2025-06-12,11:30,18.059999465942383,53.8,NORMAL,Bull Put Spread,OPEN,Bull Put Spread,OPEN,False,False,Bull Put Spread,Bull Put Spread,7
2025-06-12 12:30:00-04:00,2025-06-12,12:30,17.969999313354492,53.0,NORMAL,Bull Put Spread,OPEN,Bull Put Spread,OPEN,False,False,Bull Put Spread,Bull Put Spread,7
2025-06-12 13:30:00-04:00,2025-06-12,13:30,17.600000381469727,49.0,NORMAL,Bull Put Spread,OPEN,Bull Put Spread,OPEN,False,False,Bull Put Spread,Bull Put Spread,7
2025-06-12 14:30:00-04:00,2025-06-12,14:30,17.770000457763672,51.4,NORMAL,Bull Put Spread,OPEN,Bull Put Spread,OPEN,False,False,Bull Put Spread,Bull Put Spread,7
2025-06-12 15:30:00-04:00,2025-06-12,15:30,17.940000534057617,53.0,NORMAL,Bull Put Spread,OPEN,Bull Put Spread,OPEN,True,True,Bull Put Spread,Bull Put Spread,5
2025-06-13 09:30:00-04:00,2025-06-13,09:30,20.479999542236328,73.7,NORMAL,Reduce / Wait,WAIT,Bull Put Spread,OPEN,False,False,Bull Put Spread,WAIT,7
2025-06-13 10:30:00-04:00,2025-06-13,10:30,19.940000534057617,71.7,NORMAL,Reduce / Wait,WAIT,Reduce / Wait,WAIT,True,True,Bull Put Spread,WAIT,5
2025-06-13 11:30:00-04:00,2025-06-13,11:30,19.059999465942383,62.9,NORMAL,Reduce / Wait,WAIT,Reduce / Wait,WAIT,False,False,WAIT,WAIT,7
