date,n_bars,n_unique_strategies,n_flips,n_wait,first_strategy,last_strategy,vix_open,vix_close,spx_open,spx_close,intraday_change
2026-04-27,7,1,0,7,Reduce / Wait,Reduce / Wait,18.889999389648438,18.170000076293945,7157.5498046875,7174.009765625,False
2026-04-28,7,1,0,7,Reduce / Wait,Reduce / Wait,18.68000030517578,17.809999465942383,7135.1298828125,7139.240234375,False
2026-04-29,7,1,0,7,Reduce / Wait,Reduce / Wait,18.139999389648438,18.360000610351562,7138.31982421875,7137.56005859375,False
2026-04-30,7,2,1,1,Reduce / Wait,Bull Put Spread,18.079999923706055,16.93000030517578,7142.47998046875,7209.6298828125,True
2026-05-01,7,2,4,5,Reduce / Wait,Bull Put Spread,16.579999923706055,17.0,7265.93017578125,7229.31982421875,True
2026-05-04,7,2,1,5,Bull Put Spread,Reduce / Wait,17.43000030517578,18.18000030517578,7234.72998046875,7201.4599609375,True
2026-05-05,7,1,1,0,Bull Put Spread,Bull Put Spread,17.440000534057617,17.43000030517578,7256.1298828125,7259.47021484375,False
2026-05-06,7,1,0,0,Bull Put Spread,Bull Put Spread,17.149999618530273,17.25,7322.580078125,7363.68017578125,False
2026-05-07,7,1,0,0,Bull Put Spread,Bull Put Spread,17.239999771118164,17.059999465942383,7369.60986328125,7337.10986328125,False
2026-05-08,7,1,0,0,Bull Put Spread,Bull Put Spread,17.040000915527344,17.18000030517578,7389.68994140625,7397.43017578125,False
2026-05-11,7,1,1,7,Reduce / Wait,Reduce / Wait,18.190000534057617,18.360000610351562,7405.77978515625,7412.9501953125,False
2026-05-12,7,1,0,7,Reduce / Wait,Reduce / Wait,18.84000015258789,17.940000534057617,7369.330078125,7401.6298828125,False
2026-05-13,7,1,0,7,Reduce / Wait,Reduce / Wait,18.09000015258789,17.8700008392334,7404.39013671875,7444.8798828125,False
2026-05-14,7,2,1,4,Reduce / Wait,Bull Put Spread,17.940000534057617,17.329999923706055,7481.0,7502.0400390625,True
2026-05-15,7,1,1,7,Reduce / Wait,Reduce / Wait,18.700000762939453,18.260000228881836,7430.0400390625,7409.18017578125,False
2026-05-18,7,1,0,7,Reduce / Wait,Reduce / Wait,18.389999389648438,17.700000762939453,7413.85009765625,7403.10009765625,False
2026-05-19,7,1,0,7,Reduce / Wait,Reduce / Wait,17.790000915527344,18.06999969482422,7341.47998046875,7354.9599609375,False
2026-05-20,7,2,1,5,Reduce / Wait,Bull Put Spread,17.829999923706055,17.3799991607666,7396.75,7432.77001953125,True
2026-05-21,7,2,1,1,Bull Put Spread,Reduce / Wait,17.399999618530273,16.68000030517578,7401.759765625,7446.0498046875,True
2026-05-22,7,1,0,7,Reduce / Wait,Reduce / Wait,16.84000015258789,16.809999465942383,7474.41015625,7474.06982421875,False
2026-05-26,7,2,3,1,Bull Put Spread,Bull Put Spread,16.860000610351562,16.940000534057617,7533.509765625,7519.47021484375,False
