timestamp,date,bar_hm,vix,spx,ivp252,baseline_strategy,baseline_position_action,baseline,A2a,A2b,B,A2a_B,A2b_B
2026-04-27 09:30:00-04:00,2026-04-27,09:30,18.889999389648438,7157.5498046875,65.3,Reduce / Wait,WAIT,Reduce / Wait,Reduce / Wait,Reduce / Wait,Reduce / Wait,Reduce / Wait,Reduce / Wait
2026-04-27 10:30:00-04:00,2026-04-27,10:30,18.600000381469727,7152.9599609375,63.3,Reduce / Wait,WAIT,Reduce / Wait,Reduce / Wait,Reduce / Wait,Reduce / Wait,Reduce / Wait,Reduce / Wait
2026-04-27 11:30:00-04:00,2026-04-27,11:30,18.6200008392334,7162.419921875,63.7,Reduce / Wait,WAIT,Reduce / Wait,Reduce / Wait,Reduce / Wait,Reduce / Wait,Reduce / Wait,Reduce / Wait
2026-04-27 12:30:00-04:00,2026-04-27,12:30,18.540000915527344,7169.81005859375,62.5,Reduce / Wait,WAIT,Reduce / Wait,Reduce / Wait,Reduce / Wait,Reduce / Wait,Reduce / Wait,Reduce / Wait
2026-04-27 13:30:00-04:00,2026-04-27,13:30,18.520000457763672,7174.6201171875,62.5,Reduce / Wait,WAIT,Reduce / Wait,Reduce / Wait,Reduce / Wait,Reduce / Wait,Reduce / Wait,Reduce / Wait
2026-04-27 14:30:00-04:00,2026-04-27,14:30,18.520000457763672,7174.7900390625,62.5,Reduce / Wait,WAIT,Reduce / Wait,Reduce / Wait,Reduce / Wait,Reduce / Wait,Reduce / Wait,Reduce / Wait
2026-04-27 15:30:00-04:00,2026-04-27,15:30,18.170000076293945,7174.009765625,59.8,Reduce / Wait,WAIT,Reduce / Wait,Reduce / Wait,Reduce / Wait,Reduce / Wait,Reduce / Wait,Reduce / Wait
2026-04-28 09:30:00-04:00,2026-04-28,09:30,18.68000030517578,7135.1298828125,64.9,Reduce / Wait,WAIT,Reduce / Wait,Reduce / Wait,Reduce / Wait,Reduce / Wait,Reduce / Wait,Reduce / Wait
2026-04-28 10:30:00-04:00,2026-04-28,10:30,18.530000686645508,7122.06982421875,62.5,Reduce / Wait,WAIT,Reduce / Wait,Reduce / Wait,Reduce / Wait,Reduce / Wait,Reduce / Wait,Reduce / Wait
2026-04-28 11:30:00-04:00,2026-04-28,11:30,18.610000610351562,7126.72998046875,63.7,Reduce / Wait,WAIT,Reduce / Wait,Reduce / Wait,Reduce / Wait,Reduce / Wait,Reduce / Wait,Reduce / Wait
