sample,variant,n_bars,n_days,intraday_flips,flips_per_day,switching_days,open_close_mismatch_days,n_bps_episodes,median_hold_hours,episodes_le_3h,bps_opens,bps_closes,round_trips,friction_5contracts_usd,friction_10contracts_usd,eod_agreement_pct
2025Q2,baseline,168,24,10,0.417,5,4,5,9.0,2,5,5,5,125.0,750.0,100.0
2025Q2,A2a,168,24,5,0.208,2,2,3,16.0,0,3,2,2,50.0,300.0,95.8
2025Q2,B,168,24,8,0.333,6,4,4,14.0,0,4,4,4,100.0,600.0,100.0
2025Q2,A2a_B,168,24,5,0.208,5,5,3,14.0,0,3,2,2,50.0,300.0,95.8
2025Q3,baseline,444,64,54,0.844,21,14,14,1.0,12,14,14,14,350.0,2100.0,100.0
2025Q3,A2a,444,64,41,0.641,17,13,8,9.0,3,7,8,7,175.0,1050.0,90.6
2025Q3,B,444,64,24,0.375,20,16,5,5.0,2,5,5,5,125.0,750.0,100.0
2025Q3,A2a_B,444,64,25,0.391,21,17,6,10.5,1,5,6,5,125.0,750.0,92.2
2025Q4,baseline,440,64,64,1.0,28,16,22,2.0,16,21,21,21,525.0,3150.0,100.0
2025Q4,A2a,440,64,40,0.625,20,14,10,9.5,3,9,9,9,225.0,1350.0,85.9
2025Q4,B,440,64,30,0.469,24,19,10,5.0,2,10,9,9,225.0,1350.0,98.4
2025Q4,A2a_B,440,64,22,0.344,20,18,6,14.5,0,6,5,5,125.0,750.0,89.1
2026Q1,baseline,418,61,52,0.852,18,11,5,1.0,5,5,4,4,100.0,600.0,100.0
2026Q1,A2a,418,61,50,0.82,17,10,4,2.0,3,4,3,3,75.0,450.0,100.0
2026Q1,B,418,61,32,0.525,26,21,3,5.0,1,2,3,2,50.0,300.0,100.0
2026Q1,A2a_B,418,61,30,0.492,25,21,3,7.0,1,2,1,1,25.0,150.0,96.7
2026Q2,baseline,266,38,23,0.605,10,9,10,4.0,5,10,9,9,225.0,1350.0,100.0
2026Q2,A2a,266,38,15,0.395,8,8,6,9.5,1,6,5,5,125.0,750.0,97.4
2026Q2,B,266,38,15,0.395,14,13,7,7.0,2,7,6,6,150.0,900.0,100.0
2026Q2,A2a_B,266,38,11,0.289,11,11,5,19.0,1,5,4,4,100.0,600.0,94.7
