n,median_pnl_pct_bp,mean_pnl_pct_bp,win_rate,median_$bp_day,max_consecutive_losses,worst_5_avg,best_5_avg,fwd_ret_at_short_strike_pct,max_loss_pct_trades,max_gain_pct_trades,annualized_account_pct,total_account_pct,trigger,dte
41,105.74075934345811,50.38142837067952,0.7317073170731707,3.5246919781152704,6,-100.0,142.07609540532906,51.21951219512195,21.951219512195124,51.21951219512195,120.69122387821662,2065.638563197861,dd12_ma50_reclaim,30
41,92.50607996891826,43.16959827991024,0.7317073170731707,1.5417679994819709,7,-100.0,120.54315251726466,58.536585365853654,24.390243902439025,58.536585365853654,103.41492528555416,1769.9535294763202,dd12_ma50_reclaim,60
41,87.44609291401932,52.30107925524728,0.8048780487804879,0.9716232546002146,6,-100.0,107.1557287291154,73.17073170731707,19.51219512195122,73.17073170731707,125.289843293545,2144.3442494651385,dd12_ma50_reclaim,90
41,80.36079433061263,43.754190601154264,0.7804878048780488,0.6696732860884386,5,-100.0,94.69806307927203,70.73170731707317,17.073170731707318,70.73170731707317,104.81534534116751,1793.9218146473245,dd12_ma50_reclaim,120
192,83.15731682832791,22.24557938910162,0.59375,2.7719105609442636,29,-100.0,131.9485006048612,50.520833333333336,32.29166666666667,50.520833333333336,247.4948727715893,4271.15124270751,dd15_naive,30
192,78.7279661920297,14.92596357225043,0.5885416666666666,1.3121327698671617,37,-100.0,111.54725803858267,56.770833333333336,35.9375,56.770833333333336,166.05993445678834,2865.785005872082,dd15_naive,60
192,69.8567892859363,10.599543436591233,0.6041666666666666,0.7761865476215145,35,-100.0,96.80264411658256,54.6875,34.89583333333333,55.208333333333336,117.9260206439616,2035.1123398255183,dd15_naive,90
192,64.5716195775901,3.6622657202234024,0.59375,0.5380968298132508,62,-100.0,89.45330313871632,57.8125,38.02083333333333,57.8125,40.74481372809266,703.1550182828923,dd15_naive,120
56,77.97541091513787,39.57719161407913,0.6964285714285714,2.599180363837929,8,-100.0,144.17384841302825,41.07142857142857,25.0,41.07142857142857,127.27466906730291,2216.3227303884314,dd10_ma50_reclaim,30
56,70.5498900040991,21.798144094565487,0.625,1.1758315000683184,10,-100.0,120.54315251726466,44.642857142857146,30.357142857142854,44.642857142857146,70.09975854199475,1220.6960692956675,dd10_ma50_reclaim,60
56,85.66702554905626,40.54190671451085,0.75,0.9518558394339585,9,-100.0,107.1557287291154,64.28571428571429,23.214285714285715,64.28571428571429,130.37705683521114,2270.346776012608,dd10_ma50_reclaim,90
56,76.96504572236496,35.69026214146602,0.7142857142857143,0.641375381019708,8,-100.0,94.69806307927203,60.71428571428571,17.857142857142858,60.71428571428571,114.77485182057355,1998.6546799220973,dd10_ma50_reclaim,120
