label,n,win_rate,median_pnl_pct_bp,max_consec_losses,max_consec_wins,total_account_pct,max_drawdown_account_pct,worst_12m_pct,worst_12m_window,worst_24m_pct,trades_per_year,filter,trigger,dte
dd12_ma50_reclaim DTE30 unfiltered,41,0.7560975609756098,100.54345875848065,6,20,22.24425719106318,-6.0,-4.109326970315192,2008-03-25 → 2009-03-25,-2.139785699819948,2.3955498639346886,unfiltered,dd12_ma50_reclaim,30
dd12_ma50_reclaim DTE30 no-overlap,14,0.6428571428571429,47.04341545020597,3,4,3.5796749744419136,-3.5290330800401883,-2.5290330800401883,2008-08-12 → 2009-03-24,-3.5290330800401883,0.8179926364655035,no_overlap,dd12_ma50_reclaim,30
dd12_ma50_reclaim DTE60 unfiltered,41,0.7317073170731707,90.54567228787096,6,28,16.906039180462002,-6.0,-4.061112113784549,2022-03-21 → 2022-11-11,-4.061112113784549,2.3955498639346886,unfiltered,dd12_ma50_reclaim,60
dd12_ma50_reclaim DTE60 no-overlap,13,0.6153846153846154,13.021624751859282,3,6,1.008874485258143,-3.0,-3.0,2022-03-21 → 2022-10-31,-3.0,0.7595645910036818,no_overlap,dd12_ma50_reclaim,60
dd12_ma50_reclaim DTE90 unfiltered,41,0.8048780487804879,83.40500896035633,6,29,20.20255311208192,-5.0,-3.7433836612234597,2008-03-25 → 2009-03-25,-0.5067954127422427,2.3955498639346886,unfiltered,dd12_ma50_reclaim,90
dd12_ma50_reclaim DTE90 no-overlap,13,0.6153846153846154,82.48236964026965,3,6,1.9349214171808677,-2.0,-2.1751763035973033,2008-03-25 → 2009-03-24,-2.1751763035973033,0.7595645910036818,no_overlap,dd12_ma50_reclaim,90
dd12_ma50_reclaim DTE120 unfiltered,41,0.7560975609756098,77.28506397211162,5,18,17.105999165208363,-4.0,-2.362185586584072,2022-03-21 → 2022-11-11,-2.362185586584072,2.3955498639346886,unfiltered,dd12_ma50_reclaim,120
dd12_ma50_reclaim DTE120 no-overlap,11,0.45454545454545453,-0.6258871941748169,3,2,-0.5231817367426205,-2.0,-3.0,2008-03-25 → 2008-12-17,-3.0,0.6427085000800384,no_overlap,dd12_ma50_reclaim,120
dd15_naive DTE30 unfiltered,192,0.609375,75.31659520826526,28,32,44.32588160207653,-50.1020803373288,-42.620502517317036,2008-01-23 → 2009-01-22,-26.60817886981084,11.125575488172725,unfiltered,dd15_naive,30
dd15_naive DTE30 no-overlap,19,0.5789473684210527,70.58555950939555,5,5,4.305484289710188,-4.704345184027348,-3.787522943999723,2008-09-30 → 2009-03-03,-3.305945123987957,1.1035964353914702,no_overlap,dd15_naive,30
dd15_naive DTE60 unfiltered,192,0.59375,76.14822162846987,36,50,32.04588223186765,-65.21068279338398,-59.72865300748134,2008-01-23 → 2009-01-22,-43.08150242765722,11.125575488172725,unfiltered,dd15_naive,60
dd15_naive DTE60 no-overlap,14,0.6428571428571429,62.05940895704471,3,4,3.1300223318659035,-3.0,-2.139130062352295,2008-09-30 → 2009-03-31,-2.4264990745603487,0.8131763208147675,no_overlap,dd15_naive,60
dd15_naive DTE90 unfiltered,192,0.609375,71.11740060029722,35,99,22.41591616261157,-63.197242810182715,-61.71843727560794,2008-01-23 → 2009-01-22,-41.78563552931802,11.125575488172725,unfiltered,dd15_naive,90
dd15_naive DTE90 no-overlap,11,0.8181818181818182,87.80654876832845,2,8,5.78937390595661,-2.0,-1.2271885127739912,2008-09-30 → 2009-03-31,-0.3223358932486171,0.6389242520687459,no_overlap,dd15_naive,90
dd15_naive DTE120 unfiltered,192,0.5989583333333334,64.02757896471746,35,99,10.103255622254634,-60.05713831568369,-55.808403195633446,2008-01-23 → 2009-01-22,-33.53076626665916,11.125575488172725,unfiltered,dd15_naive,120
dd15_naive DTE120 no-overlap,10,0.9,79.36195894975906,1,8,5.657716745122296,-1.0,-0.23078466860444735,2008-09-30 → 2009-01-28,0.0,0.5808402291534054,no_overlap,dd15_naive,120
