entry_date,exit_date,strategy,regime,exit_pnl,total_bp,bp_pct_account,contracts,dte_at_entry,dte_at_exit
2007-01-03,2007-02-07,Bull Call Diagonal,,6087.07,22500.0,15.0,4.0569,45,21
2007-02-07,2007-02-27,Bull Call Diagonal,,-2975.57,22500.0,15.0,4.5423,45,32
2007-03-13,2007-04-17,Iron Condor,,1041.89,22500.0,15.0,5.8046,45,21
2007-04-17,2007-05-21,Bull Call Diagonal,,8912.44,22500.0,15.0,3.8409,45,21
2007-05-21,2007-06-25,Bull Call Diagonal,,-2548.76,22500.0,15.0,3.4064,45,21
2007-06-22,2007-07-27,Iron Condor,,-2010.08,22500.0,15.0,6.3691,45,21
2007-08-08,2007-09-12,Iron Condor,,1942.02,22500.0,15.0,4.3405,45,21
2007-08-20,2007-09-18,Iron Condor (High Vol),,1444.21,21000.0,14.0,2.0869,45,25
2007-08-21,2007-09-20,Iron Condor (High Vol),,1380.84,21000.0,14.0,2.1874,45,24
2007-11-02,2007-12-06,Iron Condor (High Vol),,3854.7,21000.0,14.0,3.8256,45,22
2007-11-13,2007-12-06,Iron Condor (High Vol),,1480.86,21000.0,14.0,2.3041,45,29
2007-12-11,2007-12-26,Iron Condor (High Vol),,3213.86,21000.0,14.0,3.7637,45,35
2007-12-06,2008-01-11,Iron Condor,,-2704.21,22500.0,15.0,4.5787,45,21
2007-12-12,2008-01-17,Iron Condor (High Vol),,-6052.25,21000.0,14.0,4.0818,45,21
2007-12-31,2008-02-05,Iron Condor (High Vol),,-4503.26,21000.0,14.0,4.1449,45,21
2008-01-24,2008-02-14,Iron Condor (High Vol),,1310.38,21000.0,14.0,2.1051,45,30
2008-02-27,2008-03-17,Bear Call Spread (High Vol),,1866.64,21000.0,14.0,3.7497,45,32
2008-03-11,2008-04-08,Iron Condor (High Vol),,1476.51,21000.0,14.0,2.2962,45,26
2008-03-18,2008-04-09,Iron Condor (High Vol),,1346.53,21000.0,14.0,2.3476,45,30
2008-04-10,2008-04-23,Bull Put Spread,,3330.61,22500.0,15.0,5.9324,30,21
2008-04-11,2008-05-13,Iron Condor (High Vol),,3302.68,21000.0,14.0,4.3407,45,23
2008-04-14,2008-05-16,Bear Call Spread (High Vol),,-1104.45,21000.0,14.0,3.6285,45,21
2008-06-18,2008-07-02,Bear Call Spread (High Vol),,2003.21,21000.0,14.0,3.8046,45,35
2008-06-04,2008-07-09,Iron Condor,,-6518.94,22500.0,15.0,5.1766,45,21
2008-07-16,2008-08-06,Iron Condor (High Vol),,1352.69,21000.0,14.0,2.5786,45,30
2008-07-21,2008-08-21,Bear Call Spread (High Vol),,1838.1,21000.0,14.0,3.9914,45,22
2008-09-02,2008-10-06,Iron Condor,,-11125.95,22500.0,15.0,5.0443,45,21
2009-04-17,2009-05-18,Iron Condor (High Vol),,3101.44,21000.0,14.0,4.1991,45,24
2009-05-04,2009-05-22,Bull Put Spread (High Vol),,663.44,21000.0,14.0,5.6721,35,21
2009-05-22,2009-06-01,Bull Put Spread (High Vol),,3278.76,21000.0,14.0,5.9184,35,30
2009-10-21,2009-11-10,Bull Put Spread (High Vol),,1954.7,21000.0,14.0,6.8058,35,21
2009-11-10,2009-11-25,Bull Put Spread (High Vol),,2594.23,21000.0,14.0,6.6088,35,24
2009-11-27,2009-12-14,Bull Put Spread (High Vol),,3004.64,21000.0,14.0,6.1549,35,24
2009-12-17,2010-01-04,Bull Put Spread (High Vol),,3235.31,21000.0,14.0,6.795,35,25
2010-01-21,2010-02-19,Iron Condor (High Vol),,3467.53,21000.0,14.0,5.3861,45,25
2010-02-16,2010-03-22,Bear Call Spread (High Vol),,-1157.11,21000.0,14.0,4.7007,45,21
2010-05-10,2010-06-14,Iron Condor (High Vol),,1012.57,21000.0,14.0,2.3116,45,21
2010-05-11,2010-06-15,Iron Condor (High Vol),,1565.05,21000.0,14.0,2.3846,45,21
2010-06-17,2010-07-01,Bear Call Spread (High Vol),,1869.22,21000.0,14.0,4.0526,45,35
2010-06-14,2010-07-08,Iron Condor (High Vol),,1458.15,21000.0,14.0,2.5448,45,28
2010-06-15,2010-07-13,Iron Condor (High Vol),,1445.82,21000.0,14.0,2.8324,45,26
2010-08-09,2010-08-27,Bull Put Spread (High Vol),,-5392.19,21000.0,14.0,6.6094,35,21
2010-08-11,2010-09-03,Iron Condor (High Vol),,3578.76,21000.0,14.0,4.6992,45,28
2010-08-10,2010-09-13,Iron Condor (High Vol),,3669.41,21000.0,14.0,5.3985,45,22
2010-08-27,2010-10-01,Bear Call Spread (High Vol),,-2680.01,21000.0,14.0,4.3502,45,21
2010-09-07,2010-10-11,Iron Condor (High Vol),,2309.47,21000.0,14.0,5.1781,45,21
2010-09-21,2010-10-21,Iron Condor (High Vol),,3496.8,21000.0,14.0,5.2962,45,23
2010-11-29,2010-12-10,Bull Put Spread,,6222.57,22500.0,15.0,6.9099,30,21
2011-03-07,2011-03-18,Bull Put Spread,,-3573.55,22500.0,15.0,6.4342,30,21
2011-03-17,2011-03-31,Iron Condor (High Vol),,1521.21,21000.0,14.0,2.3371,45,35
2011-03-18,2011-04-04,Iron Condor (High Vol),,1319.96,21000.0,14.0,2.5754,45,34
2011-04-21,2011-05-24,Bull Call Diagonal,,-1875.37,22500.0,15.0,3.5614,45,23
2011-06-06,2011-07-11,Iron Condor,,3203.08,22500.0,15.0,6.0249,45,21
2011-07-11,2011-08-10,Iron Condor,,-12043.69,22500.0,15.0,6.0668,45,23
2011-08-15,2011-09-15,Iron Condor (High Vol),,1386.73,21000.0,14.0,1.9553,45,23
2011-08-16,2011-09-15,Iron Condor (High Vol),,1396.22,21000.0,14.0,1.9587,45,24
2011-09-15,2011-10-12,Iron Condor (High Vol),,1297.01,21000.0,14.0,1.9732,45,26
2011-09-16,2011-10-13,Iron Condor (High Vol),,1295.59,21000.0,14.0,2.0854,45,26
2011-10-11,2011-10-21,Bull Put Spread (High Vol),,2615.25,21000.0,14.0,4.5491,35,27
2011-10-24,2011-11-11,Bull Put Spread (High Vol),,1754.17,21000.0,14.0,4.6143,35,21
2011-11-11,2011-12-02,Bull Put Spread (High Vol),,1102.87,21000.0,14.0,4.4502,35,21
2011-11-17,2011-12-09,Iron Condor (High Vol),,3577.45,21000.0,14.0,2.957,45,30
2011-11-18,2011-12-09,Iron Condor (High Vol),,1322.66,21000.0,14.0,1.9732,45,31
2011-12-08,2011-12-22,Bull Put Spread (High Vol),,3576.73,21000.0,14.0,4.5342,35,25
2011-12-22,2012-01-06,Bull Put Spread,,3467.1,22500.0,15.0,6.5962,30,21
2011-12-28,2012-02-02,Iron Condor (High Vol),,2966.05,21000.0,14.0,4.4726,45,21
2011-12-29,2012-02-02,Iron Condor (High Vol),,3405.4,21000.0,14.0,4.7392,45,22
2012-02-10,2012-02-24,Bull Put Spread,,4369.72,22500.0,15.0,6.2958,30,21
2012-03-06,2012-03-19,Bull Put Spread,,6772.27,22500.0,15.0,6.3119,30,21
2012-03-23,2012-04-10,Bull Call Diagonal,,-2591.22,22500.0,15.0,3.373,45,34
2012-05-04,2012-06-08,Iron Condor,,1230.22,22500.0,15.0,5.7292,45,21
2012-06-08,2012-06-29,Iron Condor,,3530.28,22500.0,15.0,5.1558,45,30
2012-07-24,2012-08-27,Iron Condor,,2947.2,22500.0,15.0,5.368,45,21
2012-09-07,2012-10-11,Bull Call Diagonal,,-243.57,22500.0,15.0,3.372,45,21
2012-11-02,2012-11-28,Iron Condor,,3681.99,22500.0,15.0,5.9606,45,28
2012-12-19,2013-01-03,Bull Put Spread,,4454.15,22500.0,15.0,7.0142,30,21
2012-12-04,2013-01-08,Iron Condor,,3732.91,22500.0,15.0,6.0399,45,22
2013-01-08,2013-02-12,Bull Call Diagonal,,9404.09,22500.0,15.0,3.5182,45,21
2013-02-12,2013-03-19,Bull Call Diagonal,,5372.13,22500.0,15.0,3.5915,45,21
2013-03-19,2013-04-23,Bull Call Diagonal,,4521.71,22500.0,15.0,3.1422,45,21
2013-04-23,2013-05-28,Bull Call Diagonal,,10559.17,22500.0,15.0,3.2648,45,21
2013-05-28,2013-06-20,Bull Call Diagonal,,-5345.68,22500.0,15.0,2.8979,45,28
2013-06-12,2013-07-05,Iron Condor,,4266.97,22500.0,15.0,5.0133,45,29
2013-07-05,2013-08-08,Iron Condor,,2475.72,22500.0,15.0,6.2099,45,21
2013-08-08,2013-08-19,Bull Call Diagonal,,-5419.26,22500.0,15.0,3.2143,45,38
2013-08-28,2013-10-02,Iron Condor,,2350.54,22500.0,15.0,5.621,45,21
2013-10-16,2013-11-19,Bull Call Diagonal,,8275.67,22500.0,15.0,2.7569,45,21
2013-11-19,2013-12-24,Bull Call Diagonal,,6114.06,22500.0,15.0,2.9074,45,21
