n,win_rate,total_19y_pct,annualized_pct,max_dd_pct,max_consec_losses,variant,thr,raw_triggers
43,0.6976744186046512,166.40464178693128,8.596984324448679,-30.660960771060807,3,A. dd60_rolling (current),0.05,1153
45,0.6666666666666666,154.03294693772472,7.957823868686415,-40.0,5,B. dd252_rolling,0.05,1559
18,0.7222222222222222,79.08311370178137,4.085681033425365,-20.067990262498654,2,C. ddATH_strict,0.05,20
20,0.7,81.36322615044043,4.20347877493429,-20.067990262498654,2,D. ddATH_lenient,0.05,24
17,0.5294117647058824,5.673847509791867,0.2931287106969613,-30.868594985427595,3,A. dd60_rolling (current),0.1,480
24,0.5833333333333334,37.951471738779645,1.960691745881751,-40.0,5,B. dd252_rolling,0.1,932
7,0.5714285714285714,13.786307154103469,0.712243752476683,-13.177640771183171,2,C. ddATH_strict,0.1,7
8,0.625,24.00860235579463,1.240359498919326,-13.177640771183171,2,D. ddATH_lenient,0.1,8
11,0.8181818181818182,57.89373905956609,2.9909716570051836,-20.0,2,A. dd60_rolling (current),0.15,192
17,0.7058823529411765,53.3639589712956,2.756949048057027,-30.0,3,B. dd252_rolling,0.15,552
5,1.0,38.081340235819965,1.9674011586800122,0.0,0,C. ddATH_strict,0.15,5
5,1.0,38.081340235819965,1.9674011586800122,0.0,0,D. ddATH_lenient,0.15,5
