entry,main_bp_at_entry,q042_allowed,main_bp_max_during_hold,combined_max_during_hold
2008-03-24,31.07,20.0,47.19,67.19
2008-08-11,14.31,20.0,15.65,35.65
2008-12-16,0.0,20.0,0.0,20.0
2008-12-17,0.0,20.0,0.0,20.0
2008-12-30,0.0,20.0,0.0,20.0
2009-01-28,0.0,20.0,0.0,20.0
2009-02-09,0.0,20.0,0.0,20.0
2009-03-23,0.0,20.0,32.13,52.13
2009-03-24,0.0,20.0,32.13,52.13
2009-03-25,0.0,20.0,32.13,52.13
2009-03-27,0.0,20.0,32.13,52.13
2009-03-31,0.0,20.0,32.13,52.13
2009-04-01,0.0,20.0,32.13,52.13
2010-07-14,0.0,20.0,36.97,56.97
2010-07-22,0.0,20.0,38.09,58.09
2011-10-10,22.87,20.0,34.28,54.28
2016-02-25,15.47,20.0,15.49,35.49
2019-01-17,3.46,20.0,6.91,26.91
2020-04-17,0.0,20.0,2.8,22.8
2020-04-24,0.0,20.0,2.8,22.8
2020-04-27,2.79,20.0,2.8,22.8
2020-04-28,2.79,20.0,2.8,22.8
2020-04-29,2.79,20.0,2.8,22.8
2020-04-30,2.79,20.0,2.8,22.8
2020-05-01,2.8,20.0,2.8,22.8
2020-05-04,2.8,20.0,2.8,22.8
2020-05-05,2.79,20.0,2.79,22.79
2020-05-06,2.79,20.0,2.79,22.79
2020-05-07,2.79,20.0,2.79,22.79
2020-05-08,2.78,20.0,2.79,22.79
2020-05-11,2.77,20.0,2.79,22.79
2020-05-12,2.78,20.0,2.79,22.79
2020-05-13,2.79,20.0,2.79,22.79
2020-05-14,2.78,20.0,2.78,22.78
2020-05-15,2.78,20.0,5.54,25.54
2022-03-18,4.68,20.0,7.02,27.02
2022-07-19,0.0,20.0,7.36,27.36
2022-10-28,0.0,20.0,2.4,22.4
2022-11-07,0.0,20.0,4.82,24.82
2022-11-10,0.0,20.0,4.82,24.82
2025-05-01,2.11,20.0,4.36,24.36
