structure,sizing_pct,n,win_rate,median_pnl_pct_bp,mean_pnl_pct_bp,best_pnl_pct_bp,worst_pnl_pct_bp,max_consec_losses,max_dd_account_pct,total_account_pct_19y,annualized_account_pct,worst_single_account_pct
A. spread ATM/+5% DTE 90 (Tier 3 baseline),0.01,11,0.8181818181818182,87.80654876832845,52.630671872332805,100.15040590605126,-100.0,2,-2.0,5.789373905956609,0.30470388978718993,-1.0
A. spread ATM/+5% DTE 90 (Tier 3 baseline),0.03,11,0.8181818181818182,87.80654876832845,52.630671872332805,100.15040590605126,-100.0,2,-6.0,17.368121717869826,0.9141116693615697,-3.0
A. spread ATM/+5% DTE 90 (Tier 3 baseline),0.05,11,0.8181818181818182,87.80654876832845,52.630671872332805,100.15040590605126,-100.0,2,-10.0,28.946869529783047,1.52351944893595,-5.0
A. spread ATM/+5% DTE 90 (Tier 3 baseline),0.1,11,0.8181818181818182,87.80654876832845,52.630671872332805,100.15040590605126,-100.0,2,-20.0,57.893739059566094,3.0470388978719,-10.0
B. long ATM call DTE 90,0.01,11,0.6363636363636364,53.09245320861966,31.87066717444877,180.49194273241517,-100.0,3,-2.0,3.5057733891893634,0.18451438890470334,-1.0
B. long ATM call DTE 90,0.03,11,0.6363636363636364,53.09245320861966,31.87066717444877,180.49194273241517,-100.0,3,-6.0,10.51732016756809,0.5535431667141101,-3.0
B. long ATM call DTE 90,0.05,11,0.6363636363636364,53.09245320861966,31.87066717444877,180.49194273241517,-100.0,3,-10.0,17.52886694594682,0.9225719445235169,-5.0
B. long ATM call DTE 90,0.1,11,0.6363636363636364,53.09245320861966,31.87066717444877,180.49194273241517,-100.0,3,-20.0,35.05773389189364,1.8451438890470337,-10.0
C. long ATM call DTE 365 (LEAP),0.01,8,0.75,80.26122949593719,53.39709073016328,143.78527676250727,-100.0,1,-0.619072914193406,4.271767258413063,0.22482985570595068,-1.0
C. long ATM call DTE 365 (LEAP),0.03,8,0.75,80.26122949593719,53.39709073016328,143.78527676250727,-100.0,1,-1.857218742580219,12.815301775239188,0.674489567117852,-3.0
C. long ATM call DTE 365 (LEAP),0.05,8,0.75,80.26122949593719,53.39709073016328,143.78527676250727,-100.0,1,-3.0953645709670323,21.358836292065313,1.1241492785297533,-5.0
C. long ATM call DTE 365 (LEAP),0.1,8,0.75,80.26122949593719,53.39709073016328,143.78527676250727,-100.0,1,-6.190729141934065,42.717672584130625,2.2482985570595067,-10.0
D. spread ATM/+10% DTE 365 (LEAP wide),0.01,8,0.75,60.95801912774773,34.98910026924419,78.41336608892297,-100.0,1,-0.1429438719133192,2.799128021539536,0.14732252744944926,-1.0
D. spread ATM/+10% DTE 365 (LEAP wide),0.03,8,0.75,60.95801912774773,34.98910026924419,78.41336608892297,-100.0,1,-0.428831615739958,8.397384064618606,0.44196758234834765,-3.0
D. spread ATM/+10% DTE 365 (LEAP wide),0.05,8,0.75,60.95801912774773,34.98910026924419,78.41336608892297,-100.0,1,-0.714719359566597,13.995640107697676,0.7366126372472461,-5.0
D. spread ATM/+10% DTE 365 (LEAP wide),0.1,8,0.75,60.95801912774773,34.98910026924419,78.41336608892297,-100.0,1,-1.429438719133194,27.991280215395353,1.4732252744944923,-10.0
E. long ATM call DTE 540 (extra LEAP),0.01,4,0.5,1.128838771920563,-10.821928892996182,54.45460688417415,-100.0,1,-0.32010158755815626,-0.43287715571984725,-0.022783008195781437,-1.0
E. long ATM call DTE 540 (extra LEAP),0.03,4,0.5,1.128838771920563,-10.821928892996182,54.45460688417415,-100.0,1,-0.9603047626744687,-1.2986314671595416,-0.06834902458734429,-3.0
E. long ATM call DTE 540 (extra LEAP),0.05,4,0.5,1.128838771920563,-10.821928892996182,54.45460688417415,-100.0,1,-1.6005079377907814,-2.1643857785992364,-0.11391504097890719,-5.0
E. long ATM call DTE 540 (extra LEAP),0.1,4,0.5,1.128838771920563,-10.821928892996182,54.45460688417415,-100.0,1,-3.2010158755815628,-4.328771557198473,-0.22783008195781437,-10.0
