sleeve,dte,n_raw,n_filtered,win_rate,median_pnl_pct,dollar_per_bp_day,max_consec_losses,worst_12m_drawdown_pct,short_strike_hit_rate_pct,annualized_account_pct,vix_median_at_signal
A,30,26,26,65.4,78.15,2.6051,3,-0.21,30.8,10.67,20.6
A,45,26,26,61.5,88.32,1.9628,2,-0.2,42.3,12.06,20.6
A,60,26,25,64.0,98.23,1.6372,2,-0.2,48.0,13.11,20.6
A,90,26,25,68.0,100.85,1.1205,2,-0.17,56.0,13.46,20.6
A,120,26,19,68.4,90.59,0.7549,2,-0.19,52.6,9.19,20.5
B,30,5,5,60.0,63.85,2.1284,1,-0.1,40.0,1.86,27.8
B,45,5,5,60.0,80.1,1.78,1,-0.1,60.0,2.33,27.8
B,60,5,5,60.0,77.59,1.2931,1,-0.1,60.0,2.26,27.8
B,90,5,5,100.0,92.36,1.0262,0,0.0,80.0,2.69,27.8
B,120,5,5,60.0,62.89,0.5241,1,-0.1,60.0,1.83,27.8
