date,year,spx,vix,cal_dte,K_target_bs,K_market,actual_price,bs_price,bias_pct,market_iv,iv_skew_pp
2022-05-06,2022,4123.34,30.19,70,3752.9,3750.0,78.21,64.01,22.18,32.94,2.75
2022-05-09,2022,3991.24,34.75,67,3589.8,3590.0,70.6,71.35,-1.05,34.59,-0.16
2022-05-10,2022,4001.05,32.99,66,3620.1,3620.0,73.0,67.1,8.79,34.22,1.23
2022-05-11,2022,3935.18,32.56,65,3566.3,3570.0,70.73,65.22,8.44,33.73,1.17
2022-05-12,2022,3930.08,31.77,64,3573.1,3575.0,73.62,62.72,17.37,34.08,2.31
2022-05-13,2022,4023.89,28.87,77,3666.3,3670.0,83.8,64.64,29.65,32.43,3.56
2022-05-16,2022,4008.01,27.47,74,3671.4,3675.0,87.7,59.28,47.95,32.81,5.34
2022-05-17,2022,4088.85,26.1,73,3765.4,3775.0,80.86,58.66,37.85,30.19,4.09
2022-05-18,2022,3923.68,30.96,72,3559.7,3560.0,54.63,64.51,-15.32,28.89,-2.07
2022-05-19,2022,3900.79,29.35,71,3557.9,3555.0,74.74,59.19,26.27,32.5,3.15
2022-05-20,2022,3901.36,29.43,70,3558.5,3560.0,89.25,59.74,49.4,35.3,5.87
2022-05-23,2022,3973.75,28.48,67,3643.9,3650.0,74.3,59.17,25.58,31.52,3.04
2022-05-24,2022,3941.48,29.45,66,3602.8,3600.0,85.19,57.55,48.03,35.1,5.65
2022-05-25,2022,3978.73,28.37,65,3652.3,3650.0,85.89,55.8,53.91,34.46,6.09
2022-05-26,2022,4057.84,27.5,64,3736.9,3740.0,69.37,55.89,24.13,30.24,2.74
2022-06-02,2022,4176.82,24.72,78,3854.6,3850.0,77.2,55.04,40.25,28.68,3.96
2022-06-03,2022,4108.54,24.79,77,3793.6,3790.0,75.89,54.45,39.38,28.7,3.91
2022-06-06,2022,4121.43,25.07,74,3807.5,3805.0,73.57,54.53,34.91,28.61,3.54
2022-06-07,2022,4160.68,24.02,73,3858.0,3860.0,77.8,53.12,46.47,28.51,4.49
2022-06-08,2022,4115.77,23.96,72,3818.3,3820.0,77.8,51.87,49.98,28.76,4.8
2022-06-09,2022,4017.82,26.09,71,3703.9,3705.0,58.8,54.93,7.04,26.86,0.77
2022-06-10,2022,3900.86,27.75,70,3577.1,3575.0,69.8,55.34,26.14,30.71,2.96
2022-06-13,2022,3749.63,34.02,67,3379.8,3380.0,62.85,65.52,-4.07,33.42,-0.6
2022-06-14,2022,3735.48,32.69,66,3381.6,3380.0,68.09,61.38,10.93,34.19,1.5
2022-06-15,2022,3789.99,29.62,65,3466.1,3470.0,59.0,57.15,3.23,30.03,0.41
2022-06-16,2022,3666.77,32.95,76,3297.9,3300.0,79.63,66.62,19.52,35.66,2.71
2022-06-17,2022,3674.84,31.13,75,3326.7,3325.0,69.38,61.63,12.57,32.77,1.64
2022-06-21,2022,3764.79,30.19,71,3426.5,3415.0,62.95,57.26,9.94,31.42,1.23
2022-06-22,2022,3759.89,28.95,70,3436.8,3440.0,72.04,57.51,25.27,31.99,3.04
2022-06-23,2022,3795.73,29.05,69,3469.5,3450.0,66.28,52.42,26.44,32.07,3.02
