entry_date,exit_date,strategy,regime,exit_pnl,total_bp,bp_pct_account,contracts,dte_at_entry,dte_at_exit,vix_at_entry,vix_peak_10d,is_aftermath
2009-05-04,2009-05-22,Bull Put Spread (High Vol),,663.44,21000.0,14.0,5.6721,35,21,34.529998779296875,38.31999969482422,False
2009-05-22,2009-06-01,Bull Put Spread (High Vol),,3278.76,21000.0,14.0,5.9184,35,30,32.630001068115234,33.650001525878906,False
2009-10-21,2009-11-10,Bull Put Spread (High Vol),,1954.7,21000.0,14.0,6.8058,35,21,22.219999313354492,24.18000030517578,False
2009-11-10,2009-11-25,Bull Put Spread (High Vol),,2594.23,21000.0,14.0,6.6088,35,24,22.84000015258789,30.690000534057617,True
2009-11-27,2009-12-14,Bull Put Spread (High Vol),,3004.64,21000.0,14.0,6.1549,35,24,24.739999771118164,24.739999771118164,False
2009-12-17,2010-01-04,Bull Put Spread (High Vol),,3235.31,21000.0,14.0,6.795,35,25,22.510000228881836,23.690000534057617,False
2010-08-09,2010-08-27,Bull Put Spread (High Vol),,-5392.19,21000.0,14.0,6.6094,35,21,22.13999938964844,24.25,False
2011-10-11,2011-10-21,Bull Put Spread (High Vol),,2615.25,21000.0,14.0,4.5491,35,27,32.86000061035156,45.45000076293945,True
2011-10-24,2011-11-11,Bull Put Spread (High Vol),,1754.17,21000.0,14.0,4.6143,35,21,29.260000228881836,34.779998779296875,True
2011-11-11,2011-12-02,Bull Put Spread (High Vol),,1102.87,21000.0,14.0,4.4502,35,21,30.040000915527344,36.15999984741211,True
2011-12-08,2011-12-22,Bull Put Spread (High Vol),,3576.73,21000.0,14.0,4.5342,35,25,30.59000015258789,34.470001220703125,True
2020-04-27,2020-05-11,Bull Put Spread (High Vol),,2917.8,21000.0,14.0,1.834,35,25,33.290000915527344,45.40999984741211,True
2020-05-11,2020-05-27,Bull Put Spread (High Vol),,2767.44,21000.0,14.0,2.1075,35,24,27.56999969482422,37.189998626708984,True
2020-05-27,2020-06-05,Bull Put Spread (High Vol),,3428.46,21000.0,14.0,2.0252,35,28,27.6200008392334,35.279998779296875,True
2020-06-05,2020-06-25,Bull Put Spread (High Vol),,-3162.67,21000.0,14.0,2.1356,35,21,24.520000457763672,28.59000015258789,True
2020-06-25,2020-07-06,Bull Put Spread (High Vol),,2788.27,21000.0,14.0,1.7546,35,29,32.220001220703125,36.09000015258789,True
2020-07-07,2020-07-20,Bull Put Spread (High Vol),,3332.91,21000.0,14.0,1.8793,35,26,29.43000030517578,34.72999954223633,True
2020-11-06,2020-11-23,Bull Put Spread (High Vol),,2654.29,21000.0,14.0,1.9403,35,24,24.86000061035156,40.279998779296875,True
2020-11-23,2020-12-08,Bull Put Spread (High Vol),,3176.24,21000.0,14.0,2.0612,35,25,22.65999984741211,25.350000381469727,False
2020-12-09,2020-12-30,Bull Put Spread (High Vol),,2282.58,21000.0,14.0,2.0629,35,21,22.270000457763672,22.270000457763672,False
2020-12-30,2021-01-20,Bull Put Spread (High Vol),,3194.57,21000.0,14.0,1.9684,35,22,22.770000457763672,25.15999984741211,False
2021-01-25,2021-02-11,Bull Put Spread (High Vol),,2690.31,21000.0,14.0,1.8527,35,22,23.190000534057617,24.34000015258789,False
2021-02-18,2021-03-10,Bull Put Spread (High Vol),,1099.7,21000.0,14.0,1.9069,35,21,22.489999771118164,22.489999771118164,False
2021-03-10,2021-03-26,Bull Put Spread (High Vol),,3129.69,21000.0,14.0,1.862,35,23,22.559999465942383,28.88999938964844,True
2021-05-19,2021-06-03,Bull Put Spread (High Vol),,3086.08,21000.0,14.0,1.81,35,25,22.18000030517578,27.59000015258789,False
2022-03-22,2022-04-11,Bull Put Spread (High Vol),,-858.11,21000.0,14.0,1.6041,35,21,22.940000534057617,32.45000076293945,True
2022-11-28,2022-12-16,Bull Put Spread (High Vol),,-1359.8,21000.0,14.0,1.8781,35,21,22.209999084472656,24.540000915527344,False
2025-05-02,2025-05-13,Bull Put Spread (High Vol),,3455.94,21000.0,14.0,1.2973,35,28,22.68000030517578,33.81999969482422,True
