entry_date,exit_date,exit_reason,hold_days,vix_at_entry,vix_at_exit,S_entry,S_exit,v3a_contracts,v3a_pnl_actual,v3a_bp_actual,v3a_bp_day,ic_put_short_K,ic_put_long_K,ic_call_short_K,ic_call_long_K,ic_entry_credit,ic_pnl_raw,ic_bp_raw,ic_bp_day_raw,ic_scale_eqbp,ic_pnl_eqbp,ic_bp_day_eqbp,pnl_diff_raw,pnl_diff_eqbp,v3a_wins_raw,v3a_wins_eqbp
2010-05-10,2010-06-14,roll_21dte,35,28.84,28.58,1159.73,1089.63,2.3116,1012.57,21000.0,0.5028,1049.7,1002.8,1310.1,1371.4,2870.58,1428.1,14173.22,1.0508,1.4817,2115.98,1.0508,-415.54,-1103.41,False,False
2010-05-11,2010-06-15,50pct_profit,35,28.32,25.87,1155.79,1115.23,2.3846,1565.05,21000.0,0.7772,1048.0,1002.0,1302.7,1362.6,2897.63,2435.35,14270.28,1.7797,1.4716,3583.84,1.7797,-870.31,-2018.79,False,False
2010-06-14,2010-07-08,50pct_profit,24,28.58,25.71,1089.63,1070.25,2.5448,1458.15,21000.0,1.056,987.2,943.4,1229.5,1286.5,2942.27,2053.33,14508.77,2.1523,1.4474,2971.99,2.1523,-595.18,-1513.85,False,False
2010-06-15,2010-07-13,50pct_profit,28,25.87,24.56,1115.23,1095.34,2.8324,1445.82,21000.0,0.8975,1019.8,978.8,1244.0,1296.1,3032.42,2229.31,14757.07,1.9693,1.423,3172.42,1.9693,-783.49,-1726.59,False,False
2011-03-17,2011-03-31,50pct_profit,14,26.37,17.74,1273.72,1325.83,2.3371,1521.21,21000.0,1.8886,1162.7,1115.1,1423.8,1484.6,2913.21,2023.73,14211.48,3.7126,1.4777,2990.42,3.7126,-502.52,-1469.21,False,False
2011-03-18,2011-04-04,50pct_profit,17,24.44,17.5,1279.21,1332.87,2.5754,1319.96,21000.0,1.3495,1175.6,1130.9,1418.4,1474.4,2987.12,1925.21,14435.47,2.8635,1.4548,2800.7,2.8635,-605.25,-1480.73,False,False
2011-08-15,2011-09-15,50pct_profit,31,31.87,31.97,1204.49,1209.11,1.9553,1386.73,21000.0,0.7775,1079.1,1025.9,1378.5,1449.9,2788.39,2351.92,13973.26,1.9818,1.5029,3534.62,1.9818,-965.18,-2147.89,False,False
2011-08-16,2011-09-15,50pct_profit,30,32.85,31.97,1192.76,1209.11,1.9587,1396.22,21000.0,0.8089,1065.1,1011.0,1370.8,1444.2,2851.72,2396.22,14359.29,2.0303,1.4625,3504.39,2.0303,-1000.0,-2108.17,False,False
2011-09-15,2011-10-12,50pct_profit,27,31.97,31.26,1209.11,1207.25,1.9732,1297.01,21000.0,0.8349,1082.9,1029.4,1384.4,1456.4,2833.63,2120.64,14206.94,2.0179,1.4782,3134.63,2.0179,-823.63,-1837.62,False,False
2011-09-16,2011-10-13,50pct_profit,27,30.98,30.7,1216.01,1203.66,2.0854,1295.59,21000.0,0.834,1092.7,1040.3,1386.3,1456.1,2917.98,2080.93,14559.05,1.9322,1.4424,3001.54,1.9322,-785.34,-1705.95,False,False
2011-11-18,2011-12-09,50pct_profit,21,32.0,26.38,1215.65,1255.19,1.9732,1322.66,21000.0,1.0947,1088.7,1034.8,1392.0,1464.5,2851.65,2076.21,14299.39,2.5236,1.4686,3049.11,2.5236,-753.55,-1726.45,False,False
2015-08-26,2015-09-10,50pct_profit,15,30.32,24.37,1940.51,1952.29,1.2955,1398.06,21000.0,1.62,1747.7,1665.6,2206.0,2314.7,2830.8,1954.68,14078.25,3.3785,1.4917,2915.73,3.3785,-556.63,-1517.67,False,False
2015-08-27,2015-09-15,50pct_profit,19,26.1,22.54,1987.66,1978.09,1.5224,1360.66,21000.0,1.2447,1816.2,1742.5,2219.4,2313.2,2930.96,1985.21,14278.91,2.6709,1.4707,2919.65,2.6709,-624.55,-1558.99,False,False
2016-02-16,2016-03-10,50pct_profit,23,24.11,18.05,1895.58,1989.57,1.8042,1381.01,21000.0,1.0436,1744.0,1678.6,2098.9,2180.7,3059.03,1921.58,14759.93,2.066,1.4228,2733.97,2.066,-540.57,-1352.96,False,False
2016-02-17,2016-03-10,50pct_profit,22,22.31,18.05,1926.82,1989.57,1.8726,1372.02,21000.0,1.084,1783.9,1721.9,2117.4,2193.7,2985.57,2052.03,14280.49,2.384,1.4705,3017.58,2.384,-680.01,-1645.56,False,False
2018-02-07,2018-02-22,50pct_profit,15,27.73,18.72,2681.66,2703.96,1.0627,1868.49,21000.0,2.1651,2436.6,2331.7,3015.0,3150.6,2933.48,2511.33,14405.44,4.2421,1.4578,3660.97,4.2421,-642.84,-1792.48,False,False
2018-02-08,2018-02-23,50pct_profit,15,33.46,16.49,2581.0,2747.3,0.8744,1903.03,21000.0,2.2051,2300.1,2181.2,2974.2,3136.3,2806.25,2420.02,14173.35,4.1548,1.4817,3585.64,4.1548,-517.0,-1682.61,False,False
2018-12-26,2019-01-10,50pct_profit,15,30.41,19.5,2467.7,2596.64,1.0229,1554.03,21000.0,1.8007,2221.8,2117.2,2806.4,2945.1,2850.85,2047.71,14184.28,3.5129,1.4805,3031.66,3.5129,-493.68,-1477.62,False,False
2018-12-27,2019-01-11,50pct_profit,15,29.96,18.19,2488.83,2596.26,1.0317,1776.72,21000.0,2.0587,2244.2,2140.1,2825.0,2962.5,2856.82,2339.84,14182.76,4.0145,1.4807,3464.53,4.0145,-563.11,-1687.8,False,False
2020-03-02,2020-04-03,roll_21dte,32,33.42,46.8,3090.23,2488.65,0.7204,-2016.39,21000.0,-1.0952,2754.2,2612.1,3560.4,3754.2,2764.82,-5289.16,13961.39,-4.3212,1.5041,-7955.68,-4.3212,3272.77,5939.29,True,True
2020-03-04,2020-04-07,roll_21dte,34,31.99,46.7,3130.12,2659.41,0.7618,-1297.46,21000.0,-0.6633,2803.2,2664.5,3584.1,3770.6,2833.86,-3828.07,14209.6,-2.8921,1.4779,-5657.4,-2.8921,2530.61,4359.94,True,True
2021-01-29,2021-02-12,50pct_profit,14,33.09,19.97,3714.24,3934.83,0.6117,1613.72,21000.0,2.0034,3314.1,3144.6,4273.2,4503.5,2793.64,2065.96,14083.98,3.8244,1.4911,3080.46,3.8244,-452.24,-1466.74,False,False
2021-12-02,2021-12-16,50pct_profit,14,27.95,20.57,4577.1,4668.67,0.603,1610.47,21000.0,1.9994,4155.7,3975.5,5150.9,5384.4,2863.67,2130.6,14077.72,3.9458,1.4917,3178.25,3.9458,-520.13,-1567.79,False,False
2022-01-28,2022-02-16,50pct_profit,19,27.66,24.29,4431.85,4475.01,0.636,1292.63,21000.0,1.1825,4027.8,3854.9,4981.3,5204.7,2894.06,1932.11,14206.95,2.6126,1.4781,2855.95,2.6126,-639.48,-1563.32,False,False
2022-01-31,2022-03-07,roll_21dte,35,24.83,36.45,4515.55,4201.09,0.712,-309.32,21000.0,-0.1536,4144.1,3984.1,5015.0,5216.4,2961.9,-666.19,14341.19,-0.4844,1.4643,-975.51,-0.4844,356.87,666.19,True,True
2022-02-16,2022-03-18,50pct_profit,30,24.29,23.87,4475.01,4463.12,0.7476,1514.86,21000.0,0.8777,4114.6,3959.1,4958.7,5153.4,3014.83,2482.33,14559.4,2.0744,1.4424,3580.43,2.0744,-967.48,-2065.58,False,False
2022-03-09,2022-03-23,50pct_profit,14,32.45,23.57,4277.88,4456.24,0.5523,1401.4,21000.0,1.7398,3825.2,3633.3,4908.1,5167.3,2848.57,1934.26,14315.76,3.5226,1.4669,2837.39,3.5226,-532.85,-1435.99,False,False
2022-03-18,2022-04-04,50pct_profit,17,23.87,18.57,4463.12,4582.64,0.7629,1428.22,21000.0,1.4602,4109.7,3957.0,4936.8,5127.2,3015.1,2071.48,14531.0,3.0608,1.4452,2993.67,3.0608,-643.26,-1565.45,False,False
2024-08-06,2024-08-20,50pct_profit,14,27.71,15.88,5240.03,5597.12,0.5387,1437.39,21000.0,1.7845,4761.5,4556.7,5891.0,6155.6,2903.58,1659.27,14257.19,3.0342,1.4729,2444.0,3.0342,-221.88,-1006.62,False,False
2024-08-07,2024-08-27,50pct_profit,20,27.85,15.43,5199.5,5625.8,0.5572,1381.15,21000.0,1.2003,4722.4,4518.3,5848.9,6113.0,2995.19,1534.63,14717.08,1.903,1.4269,2189.78,1.903,-153.48,-808.64,False,False
2025-04-09,2025-04-24,50pct_profit,15,33.62,26.47,5456.9,5484.77,0.4156,1464.99,21000.0,1.6975,4860.3,4608.0,6292.6,6637.2,2833.56,2023.47,14322.57,3.4378,1.4662,2966.84,3.4378,-558.47,-1501.85,False,False
2025-04-14,2025-04-29,50pct_profit,15,30.89,24.17,5405.97,5560.83,0.4663,1351.35,21000.0,1.5659,4859.4,4627.0,6160.8,6470.1,2892.2,1945.03,14423.99,3.2813,1.4559,2831.79,3.2813,-593.68,-1480.43,False,False
2025-04-24,2025-05-29,roll_21dte,35,26.47,19.18,5484.77,5912.17,0.5416,1206.54,21000.0,0.5992,5005.1,4799.4,6133.7,6396.7,2918.19,2062.15,14242.63,1.5099,1.4744,3040.53,1.5099,-855.62,-1834.0,False,False
