window_start,vix,is_aftermath,regime,trend,iv_signal,strategy,rationale
2007-08-20,,,,,,,(date not reached in backtest)
2007-11-13,,,,,,,(date not reached in backtest)
2007-11-16,,,,,,,(date not reached in backtest)
2007-11-28,,,,,,,(date not reached in backtest)
2008-01-24,,,,,,,(date not reached in backtest)
2008-01-28,,,,,,,(date not reached in backtest)
2008-02-13,,,,,,,(date not reached in backtest)
2008-03-11,,,,,,,(date not reached in backtest)
2008-03-18,,,,,,,(date not reached in backtest)
2008-03-20,,,,,,,(date not reached in backtest)
2008-07-16,,,,,,,(date not reached in backtest)
2008-09-19,,,,,,,(date not reached in backtest)
2008-09-30,,,,,,,(date not reached in backtest)
2009-01-02,39.19,True,HIGH_VOL,BULLISH,HIGH,Reduce / Wait,EXTREME_VOL (VIX ≥ 35) — tail risk too elevated; hold cash
2009-01-28,39.66,True,HIGH_VOL,NEUTRAL,NEUTRAL,Reduce / Wait,EXTREME_VOL (VIX ≥ 35) — tail risk too elevated; hold cash
2009-04-03,39.7,True,HIGH_VOL,BULLISH,NEUTRAL,Reduce / Wait,EXTREME_VOL (VIX ≥ 35) — tail risk too elevated; hold cash
2009-04-08,38.85,True,HIGH_VOL,BULLISH,NEUTRAL,Reduce / Wait,EXTREME_VOL (VIX ≥ 35) — tail risk too elevated; hold cash
2009-05-05,33.36,True,HIGH_VOL,BULLISH,LOW,Bull Put Spread (High Vol),"HIGH_VOL (22≤VIX<35) — elevated premium offsets risk; tighter params (δ0.2, 35DTE, 50% size)"
2009-05-14,31.37,True,HIGH_VOL,BULLISH,LOW,Bull Put Spread (High Vol),"HIGH_VOL (22≤VIX<35) — elevated premium offsets risk; tighter params (δ0.2, 35DTE, 50% size)"
2009-05-18,30.24,True,HIGH_VOL,BULLISH,LOW,Bull Put Spread (High Vol),"HIGH_VOL (22≤VIX<35) — elevated premium offsets risk; tighter params (δ0.2, 35DTE, 50% size)"
2009-05-29,28.92,True,HIGH_VOL,BULLISH,LOW,Bull Put Spread (High Vol),"HIGH_VOL (22≤VIX<35) — elevated premium offsets risk; tighter params (δ0.2, 35DTE, 50% size)"
2009-06-09,28.27,True,HIGH_VOL,BULLISH,LOW,Bull Put Spread (High Vol),"HIGH_VOL (22≤VIX<35) — elevated premium offsets risk; tighter params (δ0.2, 35DTE, 50% size)"
2009-06-19,27.99,True,HIGH_VOL,BULLISH,LOW,Reduce / Wait,HIGH_VOL + VIX RISING — near-term panic building; wait for VIX to stabilise
2009-06-24,29.05,True,HIGH_VOL,NEUTRAL,LOW,Iron Condor (High Vol),HIGH_VOL + NEUTRAL + VIX stable — inflated premium on both sides; symmetric IC captures vol risk premium without directional bet
2009-07-13,26.31,True,HIGH_VOL,BEARISH,LOW,Reduce / Wait,HIGH_VOL + BEARISH + VIX RISING — panic escalating; wait for VIX to stabilise before selling calls
2009-09-04,25.26,True,HIGH_VOL,BULLISH,LOW,Reduce / Wait,HIGH_VOL + VIX RISING — near-term panic building; wait for VIX to stabilise
