entry_date,exit_date,exit_reason,hold_days,pnl,bp,bp_day,spell_max,config
2010-07-08,2010-08-10,50pct_profit,33,1359.44,21000.0,0.716,3,spell_max=3
2015-09-10,2015-10-02,50pct_profit,22,1588.37,21000.0,1.2549,3,spell_max=3
2022-03-23,2022-04-18,50pct_profit,26,1376.68,21000.0,0.9203,3,spell_max=3
2025-04-29,2025-06-03,roll_21dte,35,1099.7,21000.0,0.5461,3,spell_max=3
2010-07-08,2010-08-10,50pct_profit,33,1359.44,21000.0,0.716,4,spell_max=4
2015-09-10,2015-10-02,50pct_profit,22,1588.37,21000.0,1.2549,4,spell_max=4
2015-09-15,2015-10-05,50pct_profit,20,1507.77,21000.0,1.3103,4,spell_max=4
2022-03-23,2022-04-18,50pct_profit,26,1376.68,21000.0,0.9203,4,spell_max=4
2025-04-29,2025-06-03,roll_21dte,35,1099.7,21000.0,0.5461,4,spell_max=4
2010-07-08,2010-08-10,50pct_profit,33,1359.44,21000.0,0.716,999,spell_max=∞
2015-09-10,2015-10-02,50pct_profit,22,1588.37,21000.0,1.2549,999,spell_max=∞
2015-09-15,2015-10-05,50pct_profit,20,1507.77,21000.0,1.3103,999,spell_max=∞
2022-03-23,2022-04-18,50pct_profit,26,1376.68,21000.0,0.9203,999,spell_max=∞
2025-04-29,2025-06-03,roll_21dte,35,1099.7,21000.0,0.5461,999,spell_max=∞
