label,n,wr_pct,avg_pnl,total_pnl,worst,best,avg_bp
9a/V0_baseline (1d / high_reset / 30d),40,90.0,1344.41,53776.27,-5040.79,3578.76,21000.0
9a/V1_hyst_3d,31,87.1,1067.04,33078.1,-5040.79,3482.77,21000.0
9a/V2_hyst_5d,28,85.7,1020.01,28560.41,-5040.79,3482.77,21000.0
9a/V3_threshold_drop_20,40,90.0,1344.41,53776.27,-5040.79,3578.76,21000.0
9a/V4_no_op,40,90.0,1344.41,53776.27,-5040.79,3578.76,21000.0
9b/V1_no_high_reset,31,87.1,1207.51,37432.67,-5040.79,3578.76,21000.0
9c/V1_age_15d,40,90.0,1344.41,53776.27,-5040.79,3578.76,21000.0
9c/V2_age_60d,40,90.0,1344.41,53776.27,-5040.79,3578.76,21000.0
9c/V3_age_90d,41,90.2,1344.07,55106.72,-5040.79,3578.76,21000.0
9c/V4_age_180d,41,90.2,1344.07,55106.72,-5040.79,3578.76,21000.0
9c/V5_age_inf,41,90.2,1344.07,55106.72,-5040.79,3578.76,21000.0
9d/combo_hyst3+age60,34,88.2,1214.42,41290.38,-5040.79,3577.45,21000.0
9d/combo_hyst3+age90+no_high,27,85.2,1021.54,27581.53,-5040.79,3482.77,21000.0
