variant,entry_date,exit_date,exit_reason,pnl,bp
9a/V0_baseline (1d / high_reset / 30d),2010-05-10,2010-06-14,roll_21dte,1012.5685129675769,21000.0
9a/V0_baseline (1d / high_reset / 30d),2010-05-11,2010-06-15,50pct_profit,1565.04506152851,21000.0
9a/V0_baseline (1d / high_reset / 30d),2010-06-14,2010-07-08,50pct_profit,1458.1491903980645,21000.0
9a/V0_baseline (1d / high_reset / 30d),2010-06-15,2010-07-13,50pct_profit,1445.8224348739725,21000.0
9a/V0_baseline (1d / high_reset / 30d),2010-08-11,2010-09-03,50pct_profit,3578.764344335131,21000.0
9a/V0_baseline (1d / high_reset / 30d),2011-03-17,2011-03-31,50pct_profit,1521.2092755002602,21000.0
9a/V0_baseline (1d / high_reset / 30d),2011-03-18,2011-04-04,50pct_profit,1319.9635021701104,21000.0
9a/V0_baseline (1d / high_reset / 30d),2011-08-15,2011-09-15,50pct_profit,1386.7307521216662,21000.0
9a/V0_baseline (1d / high_reset / 30d),2011-08-16,2011-09-15,50pct_profit,1396.216315182961,21000.0
9a/V0_baseline (1d / high_reset / 30d),2011-09-15,2011-10-12,50pct_profit,1297.0081188199515,21000.0
9a/V0_baseline (1d / high_reset / 30d),2011-09-16,2011-10-13,50pct_profit,1295.5855848245217,21000.0
9a/V0_baseline (1d / high_reset / 30d),2011-11-17,2011-12-09,50pct_profit,3577.4473477163347,21000.0
9a/V0_baseline (1d / high_reset / 30d),2011-11-18,2011-12-09,50pct_profit,1322.6565791545313,21000.0
9a/V0_baseline (1d / high_reset / 30d),2015-08-26,2015-09-10,50pct_profit,1398.0562855075082,21000.0
9a/V0_baseline (1d / high_reset / 30d),2015-08-27,2015-09-15,50pct_profit,1360.6559351786866,21000.0
9a/V0_baseline (1d / high_reset / 30d),2015-09-23,2015-10-15,50pct_profit,3356.1131728568826,21000.0
9a/V0_baseline (1d / high_reset / 30d),2016-02-16,2016-03-10,50pct_profit,1381.011984642844,21000.0
9a/V0_baseline (1d / high_reset / 30d),2016-02-17,2016-03-10,50pct_profit,1372.0219078155687,21000.0
9a/V0_baseline (1d / high_reset / 30d),2018-02-07,2018-02-22,50pct_profit,1868.4927270819624,21000.0
9a/V0_baseline (1d / high_reset / 30d),2018-02-08,2018-02-23,50pct_profit,1903.0296353459469,21000.0
9a/V0_baseline (1d / high_reset / 30d),2018-12-26,2019-01-10,50pct_profit,1554.0307440501492,21000.0
9a/V0_baseline (1d / high_reset / 30d),2018-12-27,2019-01-11,50pct_profit,1776.7245765454902,21000.0
9a/V0_baseline (1d / high_reset / 30d),2020-03-02,2020-04-03,roll_21dte,-2016.390341843295,21000.0
9a/V0_baseline (1d / high_reset / 30d),2020-03-04,2020-04-07,roll_21dte,-1297.4615885770263,21000.0
9a/V0_baseline (1d / high_reset / 30d),2020-06-26,2020-07-24,50pct_profit,3312.1754775179697,21000.0
9a/V0_baseline (1d / high_reset / 30d),2021-01-29,2021-02-12,50pct_profit,1613.717801758492,21000.0
9a/V0_baseline (1d / high_reset / 30d),2021-12-02,2021-12-16,50pct_profit,1610.4665000797415,21000.0
9a/V0_baseline (1d / high_reset / 30d),2021-12-20,2022-01-12,50pct_profit,3482.765941238434,21000.0
9a/V0_baseline (1d / high_reset / 30d),2022-01-28,2022-02-16,50pct_profit,1292.6269988044912,21000.0
9a/V0_baseline (1d / high_reset / 30d),2022-01-31,2022-03-07,roll_21dte,-309.3155808884713,21000.0
9a/V0_baseline (1d / high_reset / 30d),2022-02-16,2022-03-18,50pct_profit,1514.8566254667778,21000.0
9a/V0_baseline (1d / high_reset / 30d),2022-03-09,2022-03-23,50pct_profit,1401.4049577690723,21000.0
9a/V0_baseline (1d / high_reset / 30d),2022-03-18,2022-04-04,50pct_profit,1428.2187777391457,21000.0
9a/V0_baseline (1d / high_reset / 30d),2022-04-21,2022-05-25,roll_21dte,-5040.79481839051,21000.0
9a/V0_baseline (1d / high_reset / 30d),2022-04-22,2022-05-26,roll_21dte,1795.2787332527598,21000.0
9a/V0_baseline (1d / high_reset / 30d),2024-08-06,2024-08-20,50pct_profit,1437.3861223671865,21000.0
9a/V0_baseline (1d / high_reset / 30d),2024-08-07,2024-08-27,50pct_profit,1381.148549779256,21000.0
9a/V0_baseline (1d / high_reset / 30d),2025-04-09,2025-04-24,50pct_profit,1464.9927717252979,21000.0
9a/V0_baseline (1d / high_reset / 30d),2025-04-14,2025-04-29,50pct_profit,1351.3530118581048,21000.0
9a/V0_baseline (1d / high_reset / 30d),2025-04-24,2025-05-29,roll_21dte,1206.5354236747153,21000.0
9a/V1_hyst_3d,2010-05-10,2010-06-14,roll_21dte,1012.5685129675769,21000.0
9a/V1_hyst_3d,2010-05-11,2010-06-15,50pct_profit,1565.04506152851,21000.0
9a/V1_hyst_3d,2010-06-14,2010-07-08,50pct_profit,1458.1491903980645,21000.0
9a/V1_hyst_3d,2010-06-15,2010-07-13,50pct_profit,1445.8224348739725,21000.0
9a/V1_hyst_3d,2011-03-17,2011-03-31,50pct_profit,1521.2092755002602,21000.0
9a/V1_hyst_3d,2011-03-18,2011-04-04,50pct_profit,1319.9635021701104,21000.0
9a/V1_hyst_3d,2011-08-15,2011-09-15,50pct_profit,1386.7307521216662,21000.0
9a/V1_hyst_3d,2011-08-16,2011-09-15,50pct_profit,1396.216315182961,21000.0
9a/V1_hyst_3d,2011-09-15,2011-10-12,50pct_profit,1297.0081188199515,21000.0
9a/V1_hyst_3d,2011-09-16,2011-10-13,50pct_profit,1295.5855848245217,21000.0
9a/V1_hyst_3d,2015-08-26,2015-09-10,50pct_profit,1398.0562855075082,21000.0
9a/V1_hyst_3d,2015-08-27,2015-09-15,50pct_profit,1360.6559351786866,21000.0
9a/V1_hyst_3d,2016-02-16,2016-03-10,50pct_profit,1381.011984642844,21000.0
9a/V1_hyst_3d,2016-02-17,2016-03-10,50pct_profit,1372.0219078155687,21000.0
9a/V1_hyst_3d,2018-02-07,2018-02-22,50pct_profit,1868.4927270819624,21000.0
9a/V1_hyst_3d,2018-02-08,2018-02-23,50pct_profit,1903.0296353459469,21000.0
9a/V1_hyst_3d,2018-12-26,2019-01-10,50pct_profit,1554.0307440501492,21000.0
9a/V1_hyst_3d,2018-12-27,2019-01-11,50pct_profit,1776.7245765454902,21000.0
9a/V1_hyst_3d,2020-03-02,2020-04-03,roll_21dte,-2016.390341843295,21000.0
9a/V1_hyst_3d,2020-03-04,2020-04-07,roll_21dte,-1297.4615885770263,21000.0
9a/V1_hyst_3d,2021-01-29,2021-02-12,50pct_profit,1613.717801758492,21000.0
9a/V1_hyst_3d,2021-12-02,2021-12-16,50pct_profit,1610.4665000797415,21000.0
