date,vix,peak_10d,off_peak_%,status,gap_to_nearest_raw_TD,nearest_raw_date,abs_gap,close_to_raw,year
2008-10-13,54.9900016784668,69.94999694824219,21.386698959893703,blocked_by_extreme,-8,2008-10-01,8,False,2008
2008-10-14,55.130001068115234,69.94999694824219,21.186556864459405,blocked_by_extreme,-9,2008-10-01,9,False,2008
2008-10-20,52.970001220703125,70.33000183105469,24.683634520660767,blocked_by_extreme,-13,2008-10-01,13,False,2008
2008-10-21,53.11000061035156,70.33000183105469,24.484573826784008,blocked_by_extreme,-14,2008-10-01,14,False,2008
2008-10-28,66.95999908447266,80.05999755859375,16.36272654709183,blocked_by_extreme,-19,2008-10-01,19,False,2008
2008-10-29,69.95999908447266,80.05999755859375,12.61553682502823,blocked_by_extreme,-20,2008-10-01,20,False,2008
2008-10-30,62.900001525878906,80.05999755859375,21.433920254813778,blocked_by_extreme,-21,2008-10-01,21,False,2008
2008-10-31,59.88999938964844,80.05999755859375,25.19360327757122,blocked_by_extreme,-22,2008-10-01,22,False,2008
2008-11-03,53.68000030517578,80.05999755859375,32.95028485869133,blocked_by_extreme,-23,2008-10-01,23,False,2008
2008-11-04,47.72999954223633,80.05999755859375,40.38221209374379,blocked_by_extreme,-24,2008-10-01,24,False,2008
2008-11-05,54.560001373291016,80.05999755859375,31.851107872742535,blocked_by_extreme,-25,2008-10-01,25,False,2008
2008-11-06,63.68000030517578,80.05999755859375,20.459652451812648,blocked_by_extreme,-26,2008-10-01,26,False,2008
2008-11-07,56.099998474121094,80.05999755859375,29.92755410332979,blocked_by_extreme,-27,2008-10-01,27,False,2008
2008-11-10,59.97999954223633,69.95999908447266,14.265293986333615,blocked_by_extreme,-28,2008-10-01,28,False,2008
2008-11-11,61.439998626708984,69.95999908447266,12.17838846377951,blocked_by_extreme,-29,2008-10-01,29,False,2008
2008-11-21,72.66999816894531,80.86000061035156,10.128620306191017,blocked_by_extreme,27,2009-01-02,27,False,2008
2008-11-24,64.69999694824219,80.86000061035156,19.985163913096237,blocked_by_extreme,26,2009-01-02,26,False,2008
2008-11-25,60.900001525878906,80.86000061035156,24.68463880016025,blocked_by_extreme,25,2009-01-02,25,False,2008
2008-11-26,54.91999816894531,80.86000061035156,32.08014128815806,blocked_by_extreme,24,2009-01-02,24,False,2008
2008-11-28,55.279998779296875,80.86000061035156,31.634926586656466,blocked_by_extreme,23,2009-01-02,23,False,2008
2008-12-01,68.51000213623047,80.86000061035156,15.273309894756625,blocked_by_extreme,22,2009-01-02,22,False,2008
2008-12-02,62.97999954223633,80.86000061035156,22.11229400587744,blocked_by_extreme,21,2009-01-02,21,False,2008
2008-12-03,60.720001220703125,80.86000061035156,24.907246150911043,blocked_by_extreme,20,2009-01-02,20,False,2008
2008-12-04,63.63999938964844,80.86000061035156,21.296068625676767,blocked_by_extreme,19,2009-01-02,19,False,2008
2008-12-05,59.93000030517578,72.66999816894531,17.531303405500598,blocked_by_extreme,18,2009-01-02,18,False,2008
2008-12-08,58.4900016784668,68.51000213623047,14.625602314008324,blocked_by_extreme,17,2009-01-02,17,False,2008
2008-12-09,58.90999984741211,68.51000213623047,14.01255581590698,blocked_by_extreme,16,2009-01-02,16,False,2008
2008-12-10,55.72999954223633,68.51000213623047,18.65421426871571,blocked_by_extreme,15,2009-01-02,15,False,2008
2008-12-11,55.779998779296875,68.51000213623047,18.581233338192416,blocked_by_extreme,14,2009-01-02,14,False,2008
2008-12-12,54.279998779296875,68.51000213623047,20.77069466241963,blocked_by_extreme,13,2009-01-02,13,False,2008
2008-12-15,56.7599983215332,63.63999938964844,10.81081259286486,blocked_by_extreme,12,2009-01-02,12,False,2008
2008-12-16,52.369998931884766,63.63999938964844,17.708988946968518,blocked_by_extreme,11,2009-01-02,11,False,2008
2008-12-17,49.84000015258789,63.63999938964844,21.684474181980008,blocked_by_extreme,10,2009-01-02,10,False,2008
2008-12-18,47.34000015258789,59.93000030517578,21.007842630530693,blocked_by_extreme,9,2009-01-02,9,False,2008
2008-12-19,44.93000030517578,58.90999984741211,23.731114544979015,blocked_by_extreme,8,2009-01-02,8,False,2008
2008-12-22,44.560001373291016,58.90999984741211,24.35918946068625,blocked_by_extreme,7,2009-01-02,7,False,2008
2008-12-23,45.02000045776367,56.7599983215332,20.68357683392619,blocked_by_extreme,6,2009-01-02,6,False,2008
2008-12-24,44.209999084472656,56.7599983215332,22.110640606378272,blocked_by_extreme,5,2009-01-02,5,False,2008
2008-12-26,43.380001068115234,56.7599983215332,23.572934547360546,blocked_by_extreme,4,2009-01-02,4,False,2008
2008-12-29,43.900001525878906,56.7599983215332,22.656795588338774,blocked_by_extreme,3,2009-01-02,3,True,2008
2008-12-30,41.630001068115234,52.369998931884766,20.507920723348782,blocked_by_extreme,2,2009-01-02,2,True,2008
2008-12-31,40.0,49.84000015258789,19.743178415855123,blocked_by_extreme,1,2009-01-02,1,True,2008
2009-01-21,46.41999816894531,56.650001525878906,18.05825786652506,blocked_by_extreme,5,2009-01-28,5,False,2009
2009-01-22,47.290000915527344,56.650001525878906,16.52250725196489,blocked_by_extreme,4,2009-01-28,4,False,2009
2009-01-23,47.27000045776367,56.650001525878906,16.55781256039376,blocked_by_extreme,3,2009-01-28,3,True,2009
