date,sleeve,spx,vix,ddath_%,nearest_aftermath_dist_TD,cofire_within_5TD
2007-02-27,A,1399.04,18.31,-4.15,121,False
2007-07-26,A,1482.66,20.74,-4.53,17,False
2007-10-19,A,1500.63,22.96,-4.12,17,False
2007-12-04,A,1462.79,23.79,-6.54,0,True
2008-01-28,B,1353.96,27.78,-13.49,0,True
2013-06-20,A,1588.19,20.49,-4.85,-374,False
2013-08-27,A,1630.48,16.77,-4.63,-421,False
2014-01-29,A,1774.2,17.35,-4.01,396,False
2014-10-09,A,1928.21,18.76,-4.13,220,False
2014-12-15,A,1989.63,20.42,-4.13,174,False
2015-01-30,A,1994.99,20.97,-4.57,143,False
2015-08-20,A,2035.73,19.14,-4.46,3,True
2015-11-13,A,2023.04,20.08,-5.06,-43,False
2015-12-31,A,2043.94,18.21,-4.08,30,False
2016-05-19,A,2040.04,16.33,-4.26,-59,False
2016-11-02,A,2097.94,19.32,-4.21,-175,False
2018-02-05,A,2648.94,37.32,-7.79,1,True
2018-10-10,A,2785.68,22.96,-4.95,52,False
2018-12-31,B,2506.85,25.42,-14.46,0,True
2019-05-13,A,2811.87,20.55,-4.55,-83,False
2019-08-05,A,2844.74,24.59,-5.99,-141,False
2019-10-02,A,2887.61,20.56,-4.57,103,False
2020-02-24,A,3225.89,25.03,-4.73,5,True
2020-03-25,B,2475.56,63.95,-26.89,13,False
2020-09-04,A,3426.96,30.75,-4.3,2,True
2020-10-21,A,3435.56,28.65,-4.06,-5,True
2021-03-04,A,3768.47,28.57,-4.23,1,True
2021-05-12,A,4063.04,27.59,-4.01,-39,False
2021-09-21,A,4354.19,24.36,-4.03,48,False
2021-12-01,A,4513.04,31.12,-4.07,1,True
2022-01-18,A,4577.11,22.79,-4.58,8,False
2022-05-17,B,4088.85,26.1,-14.75,0,True
2024-04-17,A,5022.21,18.21,-4.42,76,False
2024-07-24,A,5427.13,18.04,-4.24,9,False
2024-09-06,A,5408.42,22.38,-4.57,-14,False
2025-01-10,A,5827.04,19.54,-4.32,61,False
2025-02-27,A,5861.57,21.13,-4.6,29,False
2025-04-09,B,5456.9,33.62,-11.19,0,True
2025-11-20,A,6538.76,26.42,-5.11,72,False
2026-03-12,A,6672.62,27.29,-4.38,-1,True
