entry,stop,bps_n,wr_%,total,avg,worst,all_total,reasons,all_ann
V0_baseline,S0_no_stop,38,76.3,73327,1929,-9379,505216,"{'roll_21dte': 36, 'roll_up': 1, 'open_at_end': 1}",26104
V0_baseline,S1_vix_rise20,38,71.1,50323,1324,-6785,458588,"{'roll_21dte': 25, 'regime_vix_rise': 11, 'roll_up': 1, 'open_at_end': 1}",23694
V0_baseline,S2_ma10,42,57.1,33262,791,-4519,419258,"{'regime_below_ma10': 28, 'roll_21dte': 12, 'roll_up': 1, 'open_at_end': 1}",21662
V0_baseline,S3_both,42,57.1,33262,791,-4519,419258,"{'regime_below_ma10': 25, 'roll_21dte': 12, 'roll_up': 1, 'regime_vix_rise': 3, 'open_at_end': 1}",21662
P6A_MA10,S0_no_stop,44,75.0,76050,1728,-15713,503367,"{'roll_21dte': 40, 'roll_up': 2, 'stop_loss': 1, 'open_at_end': 1}",26008
P6A_MA10,S1_vix_rise20,44,68.2,52739,1198,-8944,456432,"{'roll_21dte': 27, 'regime_vix_rise': 14, 'roll_up': 2, 'open_at_end': 1}",23583
P6A_MA10,S2_ma10,53,52.8,31054,585,-4519,415381,"{'regime_below_ma10': 38, 'roll_21dte': 12, 'roll_up': 2, 'open_at_end': 1}",21462
P6A_MA10,S3_both,53,52.8,31054,585,-4519,415381,"{'regime_below_ma10': 36, 'roll_21dte': 12, 'roll_up': 2, 'regime_vix_rise': 2, 'open_at_end': 1}",21462
P6B_MA5,S0_no_stop,47,70.2,56760,1207,-15119,486624,"{'roll_21dte': 43, 'stop_loss': 1, 'roll_up': 2, 'open_at_end': 1}",25143
P6B_MA5,S1_vix_rise20,47,63.8,43811,932,-8944,450051,"{'roll_21dte': 28, 'regime_vix_rise': 16, 'roll_up': 2, 'open_at_end': 1}",23253
P6B_MA5,S2_ma10,55,50.9,29316,533,-4519,413642,"{'regime_below_ma10': 40, 'roll_21dte': 12, 'roll_up': 2, 'open_at_end': 1}",21372
P6B_MA5,S3_both,55,50.9,29316,533,-4519,413642,"{'regime_below_ma10': 37, 'roll_21dte': 12, 'roll_up': 2, 'regime_vix_rise': 3, 'open_at_end': 1}",21372
P6C_MA5or10,S0_no_stop,48,70.8,62391,1299,-15119,490021,"{'roll_21dte': 44, 'stop_loss': 1, 'roll_up': 2, 'open_at_end': 1}",25319
P6C_MA5or10,S1_vix_rise20,48,64.6,49442,1030,-8944,453448,"{'roll_21dte': 29, 'regime_vix_rise': 16, 'roll_up': 2, 'open_at_end': 1}",23429
P6C_MA5or10,S2_ma10,56,51.8,29331,523,-4519,413657,"{'regime_below_ma10': 41, 'roll_21dte': 12, 'roll_up': 2, 'open_at_end': 1}",21373
P6C_MA5or10,S3_both,56,51.8,29331,523,-4519,413657,"{'regime_below_ma10': 38, 'roll_21dte': 12, 'roll_up': 2, 'regime_vix_rise': 3, 'open_at_end': 1}",21373
