start_date,end_date,peak_vix,entry_vix,duration_days,threshold
2007-07-30,2007-07-30,24.170000076293945,20.8700008392334,1,22
2007-08-02,2007-08-02,24.170000076293945,21.219999313354492,1,22
2007-08-07,2007-08-08,25.15999984741211,21.559999465942383,2,22
2007-09-18,2007-09-28,27.3799991607666,20.350000381469727,11,22
2007-10-23,2007-10-23,22.959999084472656,20.40999984741211,1,22
2007-10-26,2007-10-29,22.959999084472656,19.559999465942383,4,22
2007-10-31,2007-10-31,22.959999084472656,18.530000686645508,1,22
2007-11-06,2007-11-06,24.309999465942383,21.38999938964844,1,22
2007-12-19,2007-12-28,24.520000457763672,21.68000030517578,10,22
2008-04-16,2008-04-28,23.81999969482422,20.530000686645508,13,22
2008-06-13,2008-06-17,24.1200008392334,21.219999313354492,5,22
2008-06-19,2008-06-19,24.1200008392334,21.579999923706055,1,22
2008-07-08,2008-07-08,25.920000076293945,23.149999618530273,1,22
2008-08-05,2008-08-11,24.229999542236328,21.13999938964844,7,22
2008-08-14,2008-08-15,23.489999771118164,20.34000015258789,2,22
2009-08-20,2009-08-21,27.88999938964844,25.09000015258789,2,22
2009-08-25,2009-08-28,27.88999938964844,24.920000076293945,4,22
2009-10-22,2009-10-22,23.1200008392334,20.690000534057617,1,22
2009-10-29,2009-10-29,27.90999984741211,24.760000228881836,1,22
2009-11-23,2009-11-25,24.239999771118164,21.15999984741211,3,22
2009-12-01,2009-12-02,24.739999771118164,21.920000076293945,2,22
2009-12-04,2009-12-07,24.739999771118164,21.25,4,22
2009-12-11,2009-12-14,24.510000228881836,21.59000015258789,4,22
2009-12-16,2009-12-16,23.690000534057617,20.540000915527344,1,22
2009-12-21,2009-12-30,23.690000534057617,20.489999771118164,10,22
2010-01-26,2010-01-28,27.309999465942383,24.549999237060547,3,22
2010-02-01,2010-02-03,27.309999465942383,22.59000015258789,3,22
2010-02-12,2010-03-01,26.510000228881836,22.729999542236328,18,22
2010-04-29,2010-04-29,22.809999465942383,18.440000534057617,1,22
2010-05-03,2010-05-03,22.809999465942383,20.190000534057617,1,22
2010-07-23,2010-07-27,26.25,23.469999313354492,5,22
2010-08-02,2010-08-03,25.63999938964844,22.010000228881836,2,22
2010-08-06,2010-08-06,24.25,21.739999771118164,1,22
2010-08-27,2010-08-27,27.459999084472656,24.450000762939453,1,22
2010-09-01,2010-09-14,27.459999084472656,23.88999938964844,14,22
2010-10-08,2010-10-15,23.700000762939453,20.709999084472656,8,22
2010-11-18,2010-11-22,22.579999923706055,18.75,5,22
2010-11-24,2010-11-24,22.579999923706055,19.559999465942383,1,22
2010-12-02,2010-12-13,23.540000915527344,19.38999938964844,12,22
2011-02-25,2011-02-28,22.1299991607666,19.219999313354492,4,22
2011-03-03,2011-03-04,22.1299991607666,18.600000381469727,2,22
2011-03-08,2011-03-08,22.1299991607666,19.81999969482422,1,22
2011-06-20,2011-06-23,22.729999542236328,19.989999771118164,4,22
2011-06-28,2011-06-29,22.729999542236328,19.170000076293945,2,22
2012-01-06,2012-01-13,23.520000457763672,20.6299991607666,8,22
2012-01-19,2012-01-30,22.200000762939453,19.8700008392334,12,22
2012-05-21,2012-05-29,25.100000381469727,22.010000228881836,9,22
2012-06-06,2012-06-12,26.65999984741211,22.15999984741211,7,22
2012-06-14,2012-06-26,26.65999984741211,21.68000030517578,13,22
2012-12-31,2013-01-11,22.719999313354492,18.020000457763672,12,22
2014-10-17,2014-10-29,25.270000457763672,21.989999771118164,13,22
2014-12-17,2014-12-30,23.56999969482422,19.440000534057617,14,22
2015-01-20,2015-01-27,22.38999938964844,19.88999938964844,8,22
2015-01-29,2015-01-29,22.38999938964844,18.760000228881836,1,22
2015-09-30,2015-10-14,27.6299991607666,24.5,15,22
2015-12-15,2015-12-28,24.38999938964844,20.950000762939453,14,22
2016-01-11,2016-01-12,27.010000228881836,24.299999237060547,2,22
2016-01-14,2016-01-14,27.010000228881836,23.950000762939453,1,22
2016-01-22,2016-02-03,27.59000015258789,22.34000015258789,13,22
2016-06-28,2016-07-11,25.760000228881836,18.75,14,22
2016-11-07,2016-11-17,22.510000228881836,18.709999084472656,11,22
2018-03-02,2018-03-14,22.469999313354492,19.59000015258789,13,22
2018-03-26,2018-03-26,24.8700008392334,21.030000686645508,1,22
2018-03-29,2018-03-29,24.8700008392334,19.969999313354492,1,22
2018-04-03,2018-04-06,24.8700008392334,21.100000381469727,4,22
2018-04-10,2018-04-13,23.6200008392334,20.469999313354492,4,22
2018-10-12,2018-10-23,24.979999542236328,21.309999465942383,12,22
2018-10-31,2018-11-12,25.229999542236328,21.229999542236328,13,22
2018-11-26,2018-12-03,22.479999542236328,18.899999618530273,8,22
2018-12-13,2018-12-13,23.229999542236328,20.649999618530273,1,22
2019-08-06,2019-08-26,24.59000015258789,20.170000076293945,21,22
2020-08-05,2020-08-10,26.079999923706055,22.989999771118164,6,22
2020-08-12,2020-08-12,24.760000228881836,22.280000686645508,1,22
2020-08-17,2020-08-18,24.030000686645508,21.350000381469727,2,22
2020-11-23,2020-12-04,25.350000381469727,22.65999984741211,12,22
2020-12-17,2020-12-18,24.719999313354492,21.93000030517578,2,22
2020-12-24,2020-12-28,25.15999984741211,21.530000686645508,5,22
2021-01-07,2021-01-14,26.969999313354492,22.3700008392334,8,22
2021-01-20,2021-01-21,25.06999969482422,21.579999923706055,2,22
2021-05-13,2021-06-02,27.59000015258789,23.1299991607666,21,22
2021-07-20,2021-07-30,22.5,19.729999542236328,11,22
2021-09-22,2021-09-27,25.709999084472656,20.8700008392334,6,22
2021-09-29,2021-09-29,25.709999084472656,22.559999465942383,1,22
2021-10-01,2021-10-01,25.709999084472656,21.100000381469727,1,22
2021-10-07,2021-10-15,23.25,19.540000915527344,9,22
2021-12-22,2022-01-03,22.8700008392334,18.6299991607666,13,22
2022-04-13,2022-04-13,24.3700008392334,21.81999969482422,1,22
2022-04-19,2022-04-20,24.3700008392334,21.3700008392334,2,22
2022-07-15,2022-07-15,27.540000915527344,24.229999542236328,1,22
2022-07-19,2022-07-25,27.290000915527344,24.5,7,22
2022-07-27,2022-07-29,26.399999618530273,23.239999771118164,3,22
2022-08-03,2022-08-08,24.690000534057617,21.950000762939453,6,22
2022-08-10,2022-08-15,23.93000030517578,19.739999771118164,6,22
2022-09-08,2022-09-12,26.90999984741211,23.61000061035156,5,22
2022-11-11,2022-11-11,26.09000015258789,22.520000457763672,1,22
2022-11-18,2022-11-25,26.09000015258789,23.1200008392334,8,22
2022-11-29,2022-12-02,24.540000915527344,21.88999938964844,4,22
2022-12-14,2022-12-14,25.0,21.13999938964844,1,22
2022-12-19,2022-12-23,25.0,22.420000076293945,5,22
2023-01-10,2023-01-10,22.899999618530273,20.579999923706055,1,22
2023-01-12,2023-01-17,22.899999618530273,18.829999923706055,6,22
2023-03-01,2023-03-07,22.8700008392334,20.579999923706055,7,22
2023-03-14,2023-03-14,26.520000457763672,23.729999542236328,1,22
2023-03-16,2023-03-16,26.520000457763672,22.989999771118164,1,22
2023-03-21,2023-04-05,26.520000457763672,21.3799991607666,16,22
2024-09-09,2024-09-19,22.3799991607666,19.450000762939453,11,22
2024-10-14,2024-10-14,22.63999938964844,19.700000762939453,1,22
2024-10-16,2024-10-18,22.63999938964844,19.579999923706055,3,22
2024-11-05,2024-11-13,23.15999984741211,20.489999771118164,9,22
