label,desc,n_entries,entry_freq_pct,ann_roe,delta_ann_roe_pp,sharpe,sortino,max_dd,delta_dd_pp,worst_pnl_nlv,delta_worst_pp,v1_pass,avg_slots,peak_slots,peak_bp_pct_nlv,sig_rate_pct,boot_ci_lo_ann
V2f_base,no gate (baseline),725,100.0,1.042,0.0,0.148,0.114,-33.3,0.0,-10.59,0.0,True,2.57,5,70.5,0.0,-0.476
G1,IVP_252 ≤ 55,614,84.7,0.905,-0.137,0.146,0.108,-24.68,8.62,-6.65,3.95,True,2.21,5,69.2,100.0,0.127
G2,IVP_252 ≥ 43,321,44.3,0.558,-0.484,0.107,0.062,-28.77,4.53,-10.2,0.39,True,1.07,5,61.2,0.0,-0.368
G3,"IVP_252 ∈ [43, 55]",189,26.1,0.068,-0.975,0.044,0.023,-27.96,5.34,-10.32,0.27,True,0.66,4,59.2,100.0,0.01
G4,IVP_252 ≤ 70,674,93.0,0.567,-0.476,0.107,0.08,-30.62,2.68,-9.24,1.36,True,2.4,5,73.0,0.0,-0.684
G5,VIX < 30,710,97.9,0.882,-0.161,0.134,0.102,-34.8,-1.5,-10.59,0.0,True,2.53,5,70.5,0.0,-0.748
G6,VIX ≥ 22,146,20.1,1.137,0.095,0.343,0.135,-9.68,23.62,-4.77,5.82,True,0.48,5,39.0,100.0,1.317
G7,"VIX ∈ [15, 25]",397,54.8,0.419,-0.624,0.093,0.058,-36.89,-3.59,-10.18,0.41,True,1.38,5,70.0,0.0,-1.186
G8,exclude IVP 55-70 zone (P1 worst),696,96.0,1.095,0.053,0.156,0.12,-28.57,4.73,-9.39,1.2,True,2.47,5,70.5,0.0,-0.229
G9,exclude IVP55-70 × VIX15-20 pocket,717,98.9,1.07,0.028,0.152,0.116,-32.73,0.57,-9.39,1.2,True,2.55,5,70.5,0.0,-0.377
