gate,mode,desc,n_trades,ann_roe,sharpe,max_dd,worst_pnl_nlv,worst_cluster_3m_nlv,avg_slots,peak_slots,slot_occupancy_pct,peak_bp_pct_nlv,v1_pass,sig_rate_pct,boot_ci_lo_ann
G6,A_hard_skip,VIX ≥ 22,146,1.137,0.343,-9.68,-4.77,-8.43,0.48,5,21.4,39.0,True,100.0,1.317
G6,B_delay_retry,VIX ≥ 22,146,1.137,0.343,-9.68,-4.77,-8.43,0.48,5,21.4,39.0,True,100.0,1.317
G6,C_size_scale,VIX ≥ 22,725,1.007,0.191,-20.43,-5.3,-14.36,2.57,5,86.3,35.2,True,100.0,0.389
G8,A_hard_skip,exclude IVP 55-70,696,1.095,0.156,-28.57,-9.39,-23.08,2.47,5,84.9,70.5,True,0.0,-0.229
G8,B_delay_retry,exclude IVP 55-70,696,1.095,0.156,-28.57,-9.39,-23.08,2.47,5,84.9,70.5,True,0.0,-0.229
G8,C_size_scale,exclude IVP 55-70,725,1.198,0.166,-29.67,-10.59,-22.61,2.57,5,86.3,70.5,True,0.0,-0.214
G1,A_hard_skip,IVP_252 ≤ 55,614,0.905,0.146,-24.68,-6.65,-16.81,2.21,5,76.6,69.2,True,100.0,0.127
G1,B_delay_retry,IVP_252 ≤ 55,614,0.905,0.146,-24.68,-6.65,-16.81,2.21,5,76.6,69.2,True,100.0,0.127
G1,C_size_scale,IVP_252 ≤ 55,725,0.966,0.147,-27.92,-10.59,-22.04,2.57,5,86.3,70.5,True,0.0,-0.258
G3,A_hard_skip,"IVP ∈ [43,55] (Q041 literal)",189,0.068,0.044,-27.96,-10.32,-14.46,0.66,4,38.3,59.2,True,100.0,0.01
G3,B_delay_retry,"IVP ∈ [43,55] (Q041 literal)",189,0.068,0.044,-27.96,-10.32,-14.46,0.66,4,38.3,59.2,True,100.0,0.01
G3,C_size_scale,"IVP ∈ [43,55] (Q041 literal)",725,0.47,0.101,-25.37,-10.59,-19.09,2.57,5,86.3,52.0,True,0.0,-0.663
