gate,gate_desc,stop_variant,stop_mult,n_trades,ann_roe,sharpe,max_dd,worst_pnl_nlv,worst_cluster_3m_nlv,stop_hit_rate_pct,v1_pass,sig_rate_pct
V2f_base,no gate,no_stop,9999.0,725,0.749,0.124,-39.87,-18.75,-41.77,0.0,False,0.0
V2f_base,no gate,stop_10,10.0,725,0.5,0.103,-34.65,-7.27,-24.15,2.34,True,0.0
V2f_base,no gate,stop_15,15.0,725,1.042,0.148,-33.3,-10.59,-27.59,0.55,True,0.0
V2f_base,no gate,stop_20,20.0,725,0.915,0.137,-34.49,-14.89,-32.72,0.28,True,0.0
G6,VIX ≥ 22,no_stop,9999.0,146,1.137,0.343,-9.68,-4.77,-8.43,0.0,True,100.0
G6,VIX ≥ 22,stop_10,10.0,146,1.137,0.343,-9.68,-4.77,-8.43,0.0,True,100.0
G6,VIX ≥ 22,stop_15,15.0,146,1.137,0.343,-9.68,-4.77,-8.43,0.0,True,100.0
G6,VIX ≥ 22,stop_20,20.0,146,1.137,0.343,-9.68,-4.77,-8.43,0.0,True,100.0
G8,exclude IVP 55-70,no_stop,9999.0,696,0.731,0.122,-39.13,-15.51,-41.0,0.0,False,0.0
G8,exclude IVP 55-70,stop_10,10.0,696,0.426,0.095,-30.8,-6.8,-19.43,2.3,True,0.0
G8,exclude IVP 55-70,stop_15,15.0,696,1.095,0.156,-28.57,-9.39,-23.08,0.57,True,0.0
G8,exclude IVP 55-70,stop_20,20.0,696,0.854,0.132,-30.6,-14.53,-32.02,0.29,True,0.0
G1,IVP_252 ≤ 55,no_stop,9999.0,614,0.654,0.116,-26.39,-15.51,-23.59,0.0,False,0.0
G1,IVP_252 ≤ 55,stop_10,10.0,614,0.378,0.088,-29.86,-6.8,-16.98,1.95,True,0.0
G1,IVP_252 ≤ 55,stop_15,15.0,614,0.905,0.146,-24.68,-6.65,-16.81,0.49,True,100.0
G1,IVP_252 ≤ 55,stop_20,20.0,614,0.814,0.135,-25.29,-10.46,-16.81,0.16,True,0.0
