episode_id,start,end,length_days,n_sleeves_total,sleeves_seen,max_concurrent_sleeves,days_2plus_sleeves,days_3plus_sleeves,peak_main_bp,peak_dd_bp,peak_hv_bp,peak_combined_bp,peak_drawdown,peak_vix,definition
0,2007-02-27,2007-04-03,26,3,"main,dd_overlay,hv_ladder",3,26,14,15.0,3.22,14.42,14.71,-0.0586,19.63,tight
1,2007-07-26,2007-09-19,39,4,"main,dd_overlay,aftermath,hv_ladder",4,28,15,43.0,0.0,11.49,21.5,-0.0943,30.83,tight
2,2007-10-19,2008-04-30,133,4,"main,dd_overlay,aftermath,hv_ladder",4,119,59,43.0,2.43,19.17,29.57,-0.1542,32.24,tight
3,2008-06-06,2009-10-19,346,3,"main,aftermath,hv_ladder",3,132,15,29.0,0.0,14.03,19.75,-0.4215,80.86,tight
4,2009-10-21,2009-11-24,25,3,"main,aftermath,hv_ladder",3,25,8,28.0,0.0,13.54,19.38,-0.0562,30.69,tight
5,2009-11-27,2009-12-14,12,2,"main,hv_ladder",2,12,0,14.0,0.0,13.73,13.87,-0.0172,24.74,tight
6,2009-12-17,2009-12-21,3,2,"main,hv_ladder",2,3,0,14.0,0.0,11.07,12.53,-0.0162,22.51,tight
7,2010-01-21,2010-02-19,21,2,"main,hv_ladder",2,21,0,28.0,0.0,8.53,16.85,-0.0813,27.31,tight
8,2010-02-23,2010-03-01,5,2,"main,hv_ladder",2,2,0,14.0,0.0,2.86,8.43,-0.0484,21.37,tight
9,2010-04-27,2010-09-13,97,3,"main,aftermath,hv_ladder",3,63,17,56.0,0.0,14.83,32.16,-0.1599,45.79,tight
10,2010-09-15,2010-10-06,16,2,"main,hv_ladder",2,16,0,42.0,0.0,11.28,26.64,-0.0156,23.87,tight
11,2010-11-16,2010-11-18,3,1,hv_ladder,1,0,0,0.0,0.0,11.92,5.96,-0.0388,22.58,tight
12,2010-11-26,2010-12-02,5,2,"main,hv_ladder",2,4,0,15.0,0.0,15.03,15.02,-0.037,23.54,tight
13,2011-02-23,2011-02-25,3,1,hv_ladder,1,0,0,0.0,0.0,13.17,6.58,-0.0275,22.13,tight
14,2011-03-15,2011-03-31,13,3,"main,aftermath,hv_ladder",3,13,9,43.0,0.0,13.17,26.45,-0.0641,29.4,tight
15,2011-06-03,2011-07-01,21,2,"main,hv_ladder",2,20,0,15.0,0.0,13.46,12.56,-0.072,22.73,tight
16,2011-07-14,2011-07-20,5,2,"main,hv_ladder",2,5,0,15.0,0.0,6.67,10.83,-0.0427,20.95,tight
17,2011-07-27,2011-12-23,106,3,"main,aftermath,hv_ladder",3,92,49,42.0,0.0,12.43,27.21,-0.1827,48.0,tight
18,2011-12-28,2012-01-06,7,2,"main,hv_ladder",2,7,0,43.0,0.0,12.61,27.81,-0.0276,23.52,tight
19,2012-01-17,2012-01-19,3,2,"main,hv_ladder",2,3,0,28.0,0.0,12.68,20.34,-0.0014,22.2,tight
20,2012-04-10,2012-04-12,3,2,"main,hv_ladder",2,1,0,15.0,0.0,14.07,14.53,-0.0426,20.39,tight
21,2012-05-09,2012-07-02,38,2,"main,hv_ladder",2,21,0,30.0,0.0,7.03,15.0,-0.0994,26.66,tight
22,2012-07-10,2012-07-16,5,1,hv_ladder,1,0,0,0.0,0.0,10.17,5.09,-0.0505,18.72,tight
23,2012-07-24,2012-07-27,4,2,"main,hv_ladder",2,4,0,15.0,0.0,13.55,14.27,-0.0483,20.47,tight
24,2012-11-07,2012-11-29,16,2,"main,hv_ladder",2,14,0,15.0,0.0,7.2,11.1,-0.0767,19.08,tight
25,2012-12-04,2012-12-06,3,1,main,1,0,0,15.0,0.0,0.0,7.5,-0.0401,17.12,tight
26,2012-12-28,2013-01-02,3,2,"main,hv_ladder",2,3,0,30.0,0.0,10.75,20.38,-0.0404,22.72,tight
27,2013-06-20,2013-07-24,24,3,"main,dd_overlay,hv_ladder",3,24,21,30.0,11.68,16.43,24.93,-0.0576,20.49,tight
28,2013-08-27,2013-10-01,25,3,"main,dd_overlay,hv_ladder",3,24,22,15.0,12.08,16.95,19.9,-0.0463,17.01,tight
29,2013-10-08,2013-11-12,26,3,"main,dd_overlay,hv_ladder",3,25,18,15.0,10.98,21.37,23.68,-0.0406,20.34,tight
30,2014-01-29,2014-03-05,25,3,"main,dd_overlay,hv_ladder",3,24,15,15.0,11.71,18.42,22.57,-0.0576,21.44,tight
31,2014-10-09,2014-11-12,25,3,"main,dd_overlay,hv_ladder",3,25,22,30.0,12.23,14.97,21.1,-0.074,25.27,tight
32,2014-12-15,2015-02-19,45,3,"main,dd_overlay,hv_ladder",3,45,31,30.0,11.12,20.7,25.75,-0.0495,23.57,tight
33,2015-08-20,2015-10-19,42,4,"main,dd_overlay,aftermath,hv_ladder",3,30,17,30.0,0.0,10.09,20.05,-0.1225,40.74,tight
34,2015-10-21,2015-10-23,3,2,"main,hv_ladder",2,3,0,30.0,0.0,15.22,22.61,-0.0425,16.7,tight
35,2015-11-13,2015-12-23,28,3,"main,dd_overlay,hv_ladder",3,28,16,30.0,11.03,26.01,30.95,-0.0494,24.39,tight
36,2016-01-04,2016-03-14,49,3,"main,aftermath,hv_ladder",2,23,0,43.0,0.0,9.89,23.97,-0.1301,28.14,tight
37,2016-05-20,2016-06-22,23,3,"main,dd_overlay,hv_ladder",3,23,21,15.0,8.94,20.96,22.41,-0.0259,21.17,tight
38,2016-06-24,2016-07-29,25,3,"main,dd_overlay,hv_ladder",3,25,22,30.0,11.2,21.02,31.11,-0.056,25.76,tight
39,2016-11-02,2016-12-07,25,3,"main,dd_overlay,hv_ladder",3,22,18,15.0,11.63,21.84,24.24,-0.0479,22.51,tight
40,2018-02-05,2018-03-12,25,4,"main,dd_overlay,aftermath,hv_ladder",4,25,22,43.0,11.36,28.1,37.75,-0.1016,37.32,tight
41,2018-03-14,2018-05-10,41,2,"main,hv_ladder",2,28,0,30.0,0.0,20.97,21.96,-0.1013,24.87,tight
42,2018-10-10,2019-04-04,121,4,"main,dd_overlay,aftermath,hv_ladder",3,93,77,45.0,11.7,35.08,41.79,-0.1963,36.07,tight
43,2019-05-13,2019-06-17,25,3,"main,dd_overlay,hv_ladder",3,22,12,15.0,10.41,29.13,23.65,-0.0684,20.55,tight
44,2019-08-05,2019-09-09,25,3,"main,dd_overlay,hv_ladder",3,25,14,30.0,9.52,29.93,23.51,-0.0612,24.59,tight
45,2019-10-02,2019-11-06,26,3,"main,dd_overlay,hv_ladder",3,26,16,15.0,11.75,37.4,32.08,-0.0457,20.56,tight
46,2020-02-24,2020-11-25,194,4,"main,dd_overlay,aftermath,hv_ladder",4,176,94,56.0,9.58,42.18,43.44,-0.3392,82.69,tight
47,2020-12-09,2021-01-21,29,2,"main,hv_ladder",2,29,0,28.0,0.0,46.73,37.36,-0.0148,26.97,tight
48,2021-01-25,2021-04-07,51,4,"main,dd_overlay,aftermath,hv_ladder",4,47,30,56.0,9.2,49.05,52.1,-0.0423,37.21,tight
49,2021-05-12,2021-06-16,25,3,"main,dd_overlay,hv_ladder",3,22,11,14.0,9.88,52.53,38.12,-0.0401,27.59,tight
50,2021-07-19,2021-07-21,3,1,hv_ladder,1,0,0,0.0,0.0,43.06,21.53,-0.0288,22.5,tight
51,2021-09-20,2021-10-26,27,3,"main,dd_overlay,hv_ladder",3,25,17,15.0,10.19,44.68,34.93,-0.0521,25.71,tight
52,2021-11-26,2022-01-05,28,4,"main,dd_overlay,aftermath,hv_ladder",4,28,23,44.0,10.33,46.66,50.49,-0.0407,31.12,tight
53,2022-01-18,2022-08-18,148,4,"main,dd_overlay,aftermath,hv_ladder",4,121,48,43.0,11.26,47.14,47.57,-0.2083,36.45,tight
54,2022-08-22,2022-11-23,67,3,"main,aftermath,hv_ladder",3,45,2,42.0,0.0,52.23,41.92,-0.1691,33.63,tight
55,2022-11-28,2022-11-30,3,2,"main,hv_ladder",2,3,0,14.0,0.0,39.58,26.79,-0.0372,22.21,tight
56,2022-12-06,2023-01-11,25,2,"main,hv_ladder",2,25,0,28.0,0.0,40.0,34.0,-0.0728,25.0,tight
57,2023-01-19,2023-01-23,3,2,"main,hv_ladder",2,3,0,14.0,0.0,19.86,16.93,-0.0444,20.52,tight
58,2023-02-21,2023-03-30,28,2,"main,hv_ladder",2,25,0,28.0,0.0,40.86,34.43,-0.0775,26.52,tight
59,2023-08-16,2023-08-28,9,2,"main,hv_ladder",2,2,0,15.0,0.0,45.18,30.09,-0.0478,17.89,tight
60,2023-09-20,2023-11-06,34,2,"main,hv_ladder",2,15,0,15.0,0.0,22.51,18.75,-0.0888,21.71,tight
61,2024-04-17,2024-05-22,26,3,"main,dd_overlay,hv_ladder",3,26,23,30.0,11.27,51.72,39.0,-0.0546,18.71,tight
62,2024-07-24,2024-08-28,26,4,"main,dd_overlay,aftermath,hv_ladder",4,26,23,43.0,11.82,55.36,48.59,-0.0849,38.57,tight
63,2024-09-06,2024-10-11,26,3,"main,dd_overlay,hv_ladder",3,24,12,15.0,9.68,70.95,47.33,-0.0457,22.64,tight
64,2024-10-31,2024-11-04,3,1,hv_ladder,1,0,0,0.0,0.0,72.22,36.11,-0.0271,23.16,tight
65,2024-12-18,2024-12-23,4,2,"main,hv_ladder",2,1,0,15.0,0.0,60.28,37.64,-0.0366,27.62,tight
66,2025-01-10,2025-02-14,25,3,"main,dd_overlay,hv_ladder",3,25,22,30.0,14.28,60.58,44.93,-0.0432,19.54,tight
67,2025-02-27,2025-07-11,93,4,"main,dd_overlay,aftermath,hv_ladder",4,87,65,57.0,10.9,75.19,45.29,-0.189,52.33,tight
68,2025-10-16,2025-10-20,3,1,hv_ladder,1,0,0,0.0,0.0,66.41,33.21,-0.0185,25.31,tight
69,2025-11-17,2025-12-24,27,3,"main,dd_overlay,hv_ladder",3,27,18,30.0,9.98,85.64,62.78,-0.0511,26.42,tight
70,2026-03-03,2026-04-15,31,4,"main,dd_overlay,aftermath,hv_ladder",4,31,24,43.0,10.43,52.04,44.04,-0.091,31.05,tight
0,2007-01-03,2012-11-29,1489,4,"main,dd_overlay,aftermath,hv_ladder",4,945,186,56.0,3.22,19.17,32.16,-0.4215,80.86,broad
1,2012-12-04,2012-12-06,3,1,main,1,0,0,15.0,0.0,0.0,7.5,-0.0401,17.12,broad
2,2012-12-11,2016-10-18,971,4,"main,dd_overlay,aftermath,hv_ladder",3,884,205,43.0,12.23,27.2,31.11,-0.1301,40.74,broad
3,2016-11-02,2023-11-06,1764,4,"main,dd_overlay,aftermath,hv_ladder",4,1427,384,56.0,11.75,57.67,52.1,-0.3392,82.69,broad
