sleeve,entry_date,hv_bp_at_entry,hv_bucket,spx_ret_1d,vix_delta_1d,spx_ret_3d,vix_delta_3d,spx_ret_5d,vix_delta_5d,spx_ret_10d,vix_delta_10d,spx_ret_20d,vix_delta_20d,mae_ret_pct,mfe_ret_pct,max_vix_30d,entry_vix
Aftermath,2007-08-20,3.87,low<20,0.109,-1.08,1.173,-3.71,1.469,-3.61,3.035,-3.55,5.135,-5.98,-0.912,7.021,27.38,26.33
Aftermath,2007-11-13,7.71,low<20,-0.707,1.84,-1.506,1.39,-2.792,0.78,-0.812,0.01,0.374,-1.63,-4.985,2.357,28.91,24.1
Aftermath,2007-11-16,7.71,low<20,-1.746,0.52,-2.877,1.35,-3.532,3.42,0.938,-1.88,-0.88,-0.97,-3.532,3.923,28.91,25.49
Aftermath,2007-11-28,3.8,low<20,0.048,-0.14,0.231,-0.5,1.088,-1.58,1.196,-1.64,0.494,-3.85,-5.366,3.195,25.43,24.11
Aftermath,2008-01-24,3.74,low<20,-1.587,1.3,0.757,-0.46,1.958,-1.58,-1.121,-0.12,0.077,-3.72,-4.341,3.206,29.08,27.78
Aftermath,2008-01-28,3.74,low<20,0.616,-0.46,1.816,-1.58,1.984,-1.79,-1.095,-0.18,2.019,-5.88,-5.952,3.062,29.38,27.78
Aftermath,2008-02-13,0.0,low<20,-1.342,0.66,-1.348,0.71,-1.805,0.24,0.034,-1.35,-3.784,2.41,-6.864,1.03,32.24,24.88
Aftermath,2008-03-11,0.0,low<20,-0.9,0.86,-2.462,4.8,0.764,-0.57,1.551,-0.28,2.562,-3.55,-3.335,5.276,32.24,26.36
Aftermath,2008-03-18,0.0,low<20,-2.429,4.05,1.438,-0.06,0.781,0.29,2.765,-2.36,2.553,-5.26,-2.429,5.042,29.84,25.79
Aftermath,2008-03-20,0.0,low<20,1.532,-0.89,0.874,-0.54,-1.075,-0.91,3.076,-4.17,4.575,-6.49,-1.075,6.347,26.62,26.62
Aftermath,2008-07-16,0.0,low<20,1.201,-0.09,1.176,-2.05,2.957,-3.79,3.124,-3.89,3.25,-3.55,-0.882,4.815,25.1,25.1
Aftermath,2008-09-19,3.25,low<20,-3.824,1.78,-5.514,3.12,-3.331,2.67,-12.418,13.07,-25.061,38.26,-32.361,0.0,80.06,32.07
Aftermath,2008-09-30,3.25,low<20,-0.454,0.42,-5.756,5.75,-14.586,14.29,-14.434,15.74,-19.364,27.57,-27.216,0.0,80.06,39.39
Aftermath,2009-01-02,2.26,low<20,-0.467,-0.11,-2.699,4.2,-4.448,3.63,-8.766,6.92,-11.414,6.33,-15.307,0.311,56.65,39.19
Aftermath,2009-01-28,4.53,low<20,-3.312,2.97,-5.566,5.86,-4.789,4.19,-4.616,4.87,-13.873,5.0,-22.602,0.0,52.65,39.66
Aftermath,2009-04-03,4.08,low<20,-0.833,1.23,-2.058,-0.85,1.926,-1.89,-1.2,-0.52,7.684,-5.17,-3.199,10.294,40.93,39.7
Aftermath,2009-04-08,6.15,low<20,3.805,-2.32,1.98,-1.18,4.865,-3.06,3.243,-1.7,9.965,-5.41,0.0,12.612,39.18,38.85
Aftermath,2009-05-05,4.35,low<20,1.74,-0.91,2.814,-1.31,0.503,-1.56,0.479,-4.56,3.094,-2.34,-2.315,4.692,33.65,33.36
Aftermath,2009-05-14,8.86,low<20,-1.141,1.75,1.686,-2.57,-0.531,-0.02,2.919,-2.45,5.95,-3.22,-1.141,5.95,33.12,31.37
Aftermath,2009-05-18,8.86,low<20,-0.174,-1.44,-2.35,1.11,0.068,0.38,3.851,-0.61,0.248,2.44,-2.496,4.012,32.68,30.24
Aftermath,2009-05-29,11.25,low<20,2.582,1.12,1.373,2.1,2.279,0.7,2.945,-0.77,-0.026,-2.99,-4.353,2.945,32.68,28.92
Aftermath,2009-06-09,11.42,low<20,-0.348,0.19,0.401,-0.12,-3.232,4.41,-5.022,2.31,-6.671,3.03,-6.717,1.289,32.68,28.27
Aftermath,2009-06-19,9.19,low<20,-3.06,3.18,-2.202,1.06,-0.253,-2.06,-2.443,1.01,3.246,-3.59,-4.57,8.836,31.3,27.99
Aftermath,2009-06-24,9.19,low<20,2.144,-2.69,2.918,-3.7,2.485,-2.83,-2.027,0.73,8.363,-5.62,-2.421,11.622,31.3,29.05
Aftermath,2009-07-13,6.93,low<20,0.532,-1.29,4.405,-0.89,5.558,-1.91,9.004,-2.03,11.77,-1.32,0.0,13.882,27.89,26.31
Aftermath,2009-09-04,12.57,low<20,0.884,0.36,2.729,-1.71,3.241,-1.4,4.748,-1.2,2.367,1.58,0.0,8.019,28.68,25.26
Aftermath,2009-10-06,10.4,low<20,0.271,-1.02,1.59,-2.58,1.751,-2.71,3.445,-4.8,-0.883,3.11,-1.757,5.272,30.69,25.7
Aftermath,2009-11-05,10.76,low<20,0.25,-1.24,2.473,-2.59,1.932,-1.19,2.65,-2.8,3.689,-4.18,0.0,4.451,25.43,25.43
Aftermath,2010-05-10,11.89,low<20,-0.34,-0.52,-0.197,-2.16,-1.965,2.0,-7.422,9.48,-8.427,4.86,-9.421,1.03,45.79,28.84
