sleeve,entry_date,exit_date,hv_bp_at_entry,hv_bucket,pnl_1d,pnl_3d,pnl_5d,pnl_10d,pnl_20d,mae_dollar,mfe_dollar,time_to_mae_days,exit_pnl,trade_days
DD_A,2007-02-28,2007-03-30,14.42,low<20,256.77,-40.51,81.47,28.45,391.23,-66.79,731.09,9,508.1,23
DD_A,2007-07-27,2007-08-27,11.49,low<20,126.55,87.03,-179.2,26.5,97.5,-332.46,329.08,13,-1616.3,22
DD_A,2007-10-22,2007-11-21,15.37,low<20,433.09,380.38,638.62,257.54,-510.74,-682.0,739.7,22,-1853.67,23
DD_A,2013-06-21,2013-07-22,16.43,low<20,68.55,365.54,396.67,836.83,1618.23,68.55,1618.23,1,2155.33,21
DD_A,2013-08-28,2013-09-27,12.72,low<20,350.18,356.2,537.89,910.29,1134.6,288.89,1409.75,2,2188.67,22
DD_A,2013-10-09,2013-11-08,16.95,low<20,576.92,763.83,924.44,1247.51,1564.35,208.22,1564.35,0,2093.26,23
DD_A,2014-01-30,2014-03-03,18.29,low<20,346.24,35.4,208.13,942.08,1350.17,-45.69,1350.17,2,2426.99,22
DD_A,2014-10-10,2014-11-10,14.97,low<20,-59.96,-158.59,-49.2,677.44,1575.69,-164.78,1687.32,4,2475.48,22
DD_A,2014-12-16,2015-01-15,20.48,mid20-40,562.91,1171.76,1367.36,998.32,284.16,236.0,1458.0,0,-2013.02,21
DD_A,2015-01-16,2015-02-17,15.53,low<20,485.9,896.13,869.84,451.19,1335.11,219.35,1345.75,9,2369.8,21
DD_A,2015-08-21,2015-09-21,5.31,low<20,-273.14,-259.19,-2.5,-600.7,-662.56,-868.83,-2.5,2,-2299.05,21
DD_A,2015-11-16,2015-12-16,20.66,mid20-40,582.49,907.71,1001.39,1226.75,446.99,179.3,1226.75,18,2521.16,22
DD_A,2016-05-20,2016-06-20,15.59,low<20,379.78,928.12,1065.33,1183.78,740.65,379.78,1282.44,1,2041.84,21
DD_A,2016-06-27,2016-07-27,20.96,mid20-40,258.63,1012.73,892.32,1753.81,2052.94,-0.14,2172.42,0,2906.05,22
