a (worst-5% trigger),b,p_b_loss_uncond,p_b_loss_given_a_worst5,lift_ratio,split
main,aftermath,0.038,0.02,0.53,full
main,dd_overlay,0.041,0.053,1.27,full
main,hv_ladder,0.267,0.623,2.34,full
aftermath,main,0.158,0.187,1.18,full
aftermath,dd_overlay,0.041,0.035,0.85,full
aftermath,hv_ladder,0.267,0.28,1.05,full
dd_overlay,main,0.158,0.18,1.14,full
dd_overlay,aftermath,0.038,0.039,1.01,full
dd_overlay,hv_ladder,0.267,0.282,1.06,full
hv_ladder,main,0.158,0.417,2.63,full
hv_ladder,aftermath,0.038,0.194,5.06,full
hv_ladder,dd_overlay,0.041,0.218,5.29,full
main,aftermath,0.073,0.06,0.83,post2020
main,dd_overlay,0.057,0.048,0.85,post2020
main,hv_ladder,0.248,0.735,2.96,post2020
aftermath,main,0.103,0.0,0.0,post2020
aftermath,dd_overlay,0.057,0.195,3.43,post2020
aftermath,hv_ladder,0.248,0.632,2.55,post2020
dd_overlay,main,0.103,0.22,2.13,post2020
dd_overlay,aftermath,0.073,0.209,2.87,post2020
dd_overlay,hv_ladder,0.248,0.56,2.26,post2020
hv_ladder,main,0.103,0.306,2.96,post2020
hv_ladder,aftermath,0.073,0.459,6.32,post2020
hv_ladder,dd_overlay,0.057,0.141,2.48,post2020
main,aftermath,0.0,0.0,,recent2y
main,dd_overlay,0.037,0.118,3.16,recent2y
main,hv_ladder,0.244,0.765,3.14,recent2y
aftermath,main,0.156,0.162,1.04,recent2y
aftermath,dd_overlay,0.037,0.043,1.17,recent2y
aftermath,hv_ladder,0.244,0.241,0.99,recent2y
dd_overlay,main,0.156,0.154,0.99,recent2y
dd_overlay,aftermath,0.0,0.0,,recent2y
dd_overlay,hv_ladder,0.244,0.254,1.04,recent2y
hv_ladder,main,0.156,0.529,3.4,recent2y
hv_ladder,aftermath,0.0,0.0,,recent2y
hv_ladder,dd_overlay,0.037,0.206,5.53,recent2y
