sleeve_a,sleeve_b,corr,split,condition
main,main,1.0,full,all
main,aftermath,-0.057,full,all
main,dd_overlay,0.095,full,all
main,hv_ladder,0.248,full,all
aftermath,main,-0.057,full,all
aftermath,aftermath,1.0,full,all
aftermath,dd_overlay,0.131,full,all
aftermath,hv_ladder,0.2,full,all
dd_overlay,main,0.095,full,all
dd_overlay,aftermath,0.131,full,all
dd_overlay,dd_overlay,1.0,full,all
dd_overlay,hv_ladder,0.193,full,all
hv_ladder,main,0.248,full,all
hv_ladder,aftermath,0.2,full,all
hv_ladder,dd_overlay,0.193,full,all
hv_ladder,hv_ladder,1.0,full,all
main,main,1.0,full,stress_only
main,aftermath,-0.019,full,stress_only
main,dd_overlay,0.226,full,stress_only
main,hv_ladder,0.235,full,stress_only
aftermath,main,-0.019,full,stress_only
aftermath,aftermath,1.0,full,stress_only
aftermath,dd_overlay,0.07,full,stress_only
aftermath,hv_ladder,0.283,full,stress_only
dd_overlay,main,0.226,full,stress_only
dd_overlay,aftermath,0.07,full,stress_only
dd_overlay,dd_overlay,1.0,full,stress_only
dd_overlay,hv_ladder,0.276,full,stress_only
hv_ladder,main,0.235,full,stress_only
hv_ladder,aftermath,0.283,full,stress_only
hv_ladder,dd_overlay,0.276,full,stress_only
hv_ladder,hv_ladder,1.0,full,stress_only
main,main,1.0,full,worst5pct
main,aftermath,-0.189,full,worst5pct
main,dd_overlay,-0.037,full,worst5pct
main,hv_ladder,-0.193,full,worst5pct
aftermath,main,-0.189,full,worst5pct
aftermath,aftermath,1.0,full,worst5pct
aftermath,dd_overlay,-0.138,full,worst5pct
aftermath,hv_ladder,-0.006,full,worst5pct
dd_overlay,main,-0.037,full,worst5pct
dd_overlay,aftermath,-0.138,full,worst5pct
dd_overlay,dd_overlay,1.0,full,worst5pct
dd_overlay,hv_ladder,0.086,full,worst5pct
hv_ladder,main,-0.193,full,worst5pct
hv_ladder,aftermath,-0.006,full,worst5pct
hv_ladder,dd_overlay,0.086,full,worst5pct
hv_ladder,hv_ladder,1.0,full,worst5pct
main,main,1.0,full,hv_heavy_40
main,aftermath,-0.004,full,hv_heavy_40
main,dd_overlay,0.07,full,hv_heavy_40
main,hv_ladder,0.315,full,hv_heavy_40
aftermath,main,-0.004,full,hv_heavy_40
aftermath,aftermath,1.0,full,hv_heavy_40
aftermath,dd_overlay,0.26,full,hv_heavy_40
aftermath,hv_ladder,0.232,full,hv_heavy_40
dd_overlay,main,0.07,full,hv_heavy_40
dd_overlay,aftermath,0.26,full,hv_heavy_40
