episode_id,start,end,length_days,path_class,peak_vix,peak_drawdown_spx,peak_combined_bp,max_concurrent_sleeves,main_pnl,aftermath_pnl,dd_overlay_pnl,hv_ladder_pnl,combined_pnl,combined_pnl_dd,worst_5d,worst_10d,worst_20d
0,2007-02-27,2007-04-03,26,sideways_crush,19.63,-0.0586,14.71,3,454.0,0.0,508.0,-1112.0,-149.0,875.0,-723.0,-1126.0,-722.0
1,2007-07-26,2007-09-19,39,second_leg_selloff,30.83,-0.0943,21.5,4,1781.0,2762.0,-1616.0,-4652.0,-1724.0,4820.0,-2179.0,-3790.0,-5109.0
2,2007-10-19,2008-04-30,133,second_leg_selloff,32.24,-0.1542,29.57,4,626.0,5430.0,-1044.0,-9666.0,-4654.0,18879.0,-4098.0,-8087.0,-13683.0
3,2008-06-06,2009-10-19,346,second_leg_selloff,80.86,-0.4215,19.75,3,-17123.0,12238.0,0.0,-6271.0,-11157.0,44389.0,-6143.0,-12286.0,-24571.0
4,2009-10-21,2009-11-24,25,unclassified,30.69,-0.0562,19.38,3,0.0,4333.0,0.0,3618.0,7951.0,0.0,1233.0,2543.0,6048.0
5,2009-11-27,2009-12-14,12,unclassified,24.74,-0.0172,13.87,2,0.0,3005.0,0.0,2111.0,5116.0,0.0,2087.0,4205.0,
6,2009-12-17,2009-12-21,3,unclassified,22.51,-0.0162,12.53,2,0.0,882.0,0.0,539.0,1422.0,0.0,,,
7,2010-01-21,2010-02-19,21,second_leg_selloff,27.31,-0.0813,16.85,2,0.0,3282.0,0.0,-1476.0,1806.0,0.0,332.0,665.0,1703.0
8,2010-02-23,2010-03-01,5,unclassified,21.37,-0.0484,8.43,2,0.0,-231.0,0.0,-33.0,-264.0,201.0,-264.0,,
9,2010-04-27,2010-09-13,97,second_leg_selloff,45.79,-0.1599,32.16,3,0.0,8489.0,0.0,-10676.0,-2186.0,10722.0,-3013.0,-5810.0,-10107.0
10,2010-09-15,2010-10-06,16,unclassified,23.87,-0.0156,26.64,2,0.0,1909.0,0.0,2689.0,4598.0,0.0,713.0,2234.0,
11,2010-11-16,2010-11-18,3,unclassified,22.58,-0.0388,5.96,1,0.0,0.0,0.0,443.0,443.0,0.0,,,
12,2010-11-26,2010-12-02,5,unclassified,23.54,-0.037,15.02,2,2489.0,0.0,0.0,876.0,3365.0,0.0,3365.0,,
13,2011-02-23,2011-02-25,3,unclassified,22.13,-0.0275,6.58,1,0.0,0.0,0.0,49.0,49.0,0.0,,,
14,2011-03-15,2011-03-31,13,sideways_crush,29.4,-0.0641,26.45,3,-1429.0,2621.0,0.0,827.0,2019.0,542.0,-571.0,958.0,
15,2011-06-03,2011-07-01,21,sideways_crush,22.73,-0.072,12.56,2,2562.0,0.0,0.0,-1738.0,824.0,496.0,-131.0,272.0,961.0
16,2011-07-14,2011-07-20,5,unclassified,20.95,-0.0427,10.83,2,-2618.0,0.0,0.0,-3639.0,-6257.0,5115.0,-6257.0,,
17,2011-07-27,2011-12-23,106,second_leg_selloff,48.0,-0.1827,27.21,3,-5067.0,19325.0,0.0,-10344.0,3914.0,21658.0,-8421.0,-16223.0,-21359.0
18,2011-12-28,2012-01-06,7,unclassified,23.52,-0.0276,27.81,2,2427.0,1682.0,0.0,1998.0,6107.0,0.0,4298.0,,
19,2012-01-17,2012-01-19,3,unclassified,22.2,-0.0014,20.34,2,0.0,782.0,0.0,914.0,1696.0,0.0,,,
20,2012-04-10,2012-04-12,3,unclassified,20.39,-0.0426,14.53,2,-216.0,0.0,0.0,-332.0,-548.0,222.0,,,
21,2012-05-09,2012-07-02,38,second_leg_selloff,26.66,-0.0994,15.0,2,4613.0,0.0,0.0,-2267.0,2346.0,1226.0,-602.0,-856.0,-1364.0
22,2012-07-10,2012-07-16,5,unclassified,18.72,-0.0505,5.09,1,0.0,0.0,0.0,515.0,515.0,0.0,515.0,,
23,2012-07-24,2012-07-27,4,unclassified,20.47,-0.0483,14.27,2,472.0,0.0,0.0,917.0,1388.0,0.0,,,
24,2012-11-07,2012-11-29,16,unclassified,19.08,-0.0767,11.1,2,3068.0,0.0,0.0,-259.0,2810.0,0.0,792.0,1770.0,
25,2012-12-04,2012-12-06,3,unclassified,17.12,-0.0401,7.5,1,467.0,0.0,0.0,0.0,467.0,0.0,,,
26,2012-12-28,2013-01-02,3,sideways_crush,22.72,-0.0404,20.38,2,1803.0,0.0,0.0,561.0,2364.0,0.0,,,
27,2013-06-20,2013-07-24,24,unclassified,20.49,-0.0576,24.93,3,3850.0,0.0,2155.0,2107.0,8112.0,0.0,954.0,2519.0,6864.0
28,2013-08-27,2013-10-01,25,unclassified,17.01,-0.0463,19.9,3,2256.0,0.0,2189.0,1292.0,5737.0,0.0,545.0,1522.0,4194.0
29,2013-10-08,2013-11-12,26,unclassified,20.34,-0.0406,23.68,3,6621.0,0.0,2093.0,5053.0,13767.0,0.0,1444.0,4923.0,10732.0
30,2014-01-29,2014-03-05,25,unclassified,21.44,-0.0576,22.57,3,1502.0,0.0,2427.0,1898.0,5828.0,0.0,388.0,1506.0,4477.0
31,2014-10-09,2014-11-12,25,fast_recovery,25.27,-0.074,21.1,3,2860.0,0.0,2475.0,-84.0,5252.0,38.0,162.0,1195.0,4194.0
32,2014-12-15,2015-02-19,45,unclassified,23.57,-0.0495,25.75,3,3382.0,0.0,357.0,1143.0,4881.0,4857.0,-2754.0,-4195.0,-4731.0
33,2015-08-20,2015-10-19,42,fast_recovery,40.74,-0.1225,20.05,3,-878.0,6115.0,-2299.0,-1515.0,1422.0,6656.0,-9483.0,-8872.0,-8006.0
34,2015-10-21,2015-10-23,3,unclassified,16.7,-0.0425,22.61,2,1847.0,0.0,0.0,569.0,2416.0,0.0,,,
35,2015-11-13,2015-12-23,28,second_leg_selloff,24.39,-0.0494,30.95,3,-6767.0,0.0,2521.0,-4382.0,-8627.0,10156.0,-4149.0,-6198.0,-10156.0
36,2016-01-04,2016-03-14,49,second_leg_selloff,28.14,-0.1301,23.97,2,3846.0,2753.0,0.0,-387.0,6212.0,2885.0,-2426.0,-3371.0,-2996.0
37,2016-05-20,2016-06-22,23,unclassified,21.17,-0.0259,22.41,3,2102.0,0.0,2042.0,3052.0,7195.0,0.0,1234.0,2685.0,5889.0
38,2016-06-24,2016-07-29,25,fast_recovery,25.76,-0.056,31.11,3,5887.0,0.0,2906.0,5459.0,14252.0,0.0,1519.0,3534.0,10390.0
39,2016-11-02,2016-12-07,25,fast_recovery,22.51,-0.0479,24.24,3,6699.0,0.0,2688.0,3962.0,13350.0,49.0,49.0,2819.0,9528.0
40,2018-02-05,2018-03-12,25,fast_recovery,37.32,-0.1016,37.75,4,3392.0,3772.0,3457.0,-10426.0,195.0,847.0,-603.0,-749.0,138.0
