date,A_main_only,B_main_plus_dd,C_main_plus_aftermath,D_main_plus_dd_plus_aftermath
2007-01-03,243.48,243.48,243.48,243.48
2007-01-04,243.48,243.48,243.48,243.48
2007-01-05,243.48,243.48,243.48,243.48
2007-01-08,243.48,243.48,243.48,243.48
2007-01-09,243.48,243.48,243.48,243.48
2007-01-10,243.48,243.48,243.48,243.48
2007-01-11,243.48,243.48,243.48,243.48
2007-01-12,243.48,243.48,243.48,243.48
2007-01-16,243.48,243.48,243.48,243.48
2007-01-17,243.48,243.48,243.48,243.48
2007-01-18,243.48,243.48,243.48,243.48
2007-01-19,243.48,243.48,243.48,243.48
2007-01-22,243.48,243.48,243.48,243.48
2007-01-23,243.48,243.48,243.48,243.48
2007-01-24,243.48,243.48,243.48,243.48
2007-01-25,243.48,243.48,243.48,243.48
2007-01-26,243.48,243.48,243.48,243.48
2007-01-29,243.48,243.48,243.48,243.48
2007-01-30,243.48,243.48,243.48,243.48
2007-01-31,243.48,243.48,243.48,243.48
2007-02-01,243.48,243.48,243.48,243.48
2007-02-02,243.48,243.48,243.48,243.48
2007-02-05,243.48,243.48,243.48,243.48
2007-02-06,243.48,243.48,243.48,243.48
2007-02-07,30.94,30.94,30.94,30.94
2007-02-08,-212.54,-212.54,-212.54,-212.54
2007-02-09,-212.54,-212.54,-212.54,-212.54
2007-02-12,-212.54,-212.54,-212.54,-212.54
2007-02-13,-212.54,-212.54,-212.54,-212.54
2007-02-14,-212.54,-212.54,-212.54,-212.54
2007-02-15,-212.54,-212.54,-212.54,-212.54
2007-02-16,-212.54,-212.54,-212.54,-212.54
2007-02-20,-212.54,-212.54,-212.54,-212.54
2007-02-21,-212.54,-212.54,-212.54,-212.54
2007-02-22,-212.54,-212.54,-212.54,-212.54
2007-02-23,-212.54,-212.54,-212.54,-212.54
2007-02-26,-212.54,-212.54,-212.54,-212.54
2007-02-27,-212.54,-212.54,-212.54,-212.54
2007-02-28,0.00,22.09,0.00,22.09
2007-03-01,0.00,22.09,0.00,22.09
2007-03-02,0.00,22.09,0.00,22.09
2007-03-05,0.00,22.09,0.00,22.09
2007-03-06,0.00,22.09,0.00,22.09
2007-03-07,0.00,22.09,0.00,22.09
2007-03-08,0.00,22.09,0.00,22.09
2007-03-09,0.00,22.09,0.00,22.09
2007-03-12,0.00,22.09,0.00,22.09
2007-03-13,41.68,63.77,41.68,63.77
2007-03-14,41.68,63.77,41.68,63.77
2007-03-15,41.68,63.77,41.68,63.77
2007-03-16,41.68,63.77,41.68,63.77
2007-03-19,41.68,63.77,41.68,63.77
2007-03-20,41.68,63.77,41.68,63.77
2007-03-21,41.68,63.77,41.68,63.77
2007-03-22,41.68,63.77,41.68,63.77
2007-03-23,41.68,63.77,41.68,63.77
2007-03-26,41.68,63.77,41.68,63.77
2007-03-27,41.68,63.77,41.68,63.77
2007-03-28,41.68,63.77,41.68,63.77
2007-03-29,41.68,63.77,41.68,63.77
2007-03-30,41.68,63.77,41.68,63.77
2007-04-02,41.68,41.68,41.68,41.68
2007-04-03,41.68,41.68,41.68,41.68
2007-04-04,41.68,41.68,41.68,41.68
2007-04-05,41.68,41.68,41.68,41.68
2007-04-09,41.68,41.68,41.68,41.68
2007-04-10,41.68,41.68,41.68,41.68
2007-04-11,41.68,41.68,41.68,41.68
2007-04-12,41.68,41.68,41.68,41.68
2007-04-13,41.68,41.68,41.68,41.68
2007-04-16,41.68,41.68,41.68,41.68
2007-04-17,398.17,398.17,398.17,398.17
2007-04-18,356.50,356.50,356.50,356.50
2007-04-19,356.50,356.50,356.50,356.50
2007-04-20,356.50,356.50,356.50,356.50
2007-04-23,356.50,356.50,356.50,356.50
2007-04-24,356.50,356.50,356.50,356.50
2007-04-25,356.50,356.50,356.50,356.50
2007-04-26,356.50,356.50,356.50,356.50
2007-04-27,356.50,356.50,356.50,356.50
2007-04-30,356.50,356.50,356.50,356.50
2007-05-01,356.50,356.50,356.50,356.50
2007-05-02,356.50,356.50,356.50,356.50
2007-05-03,356.50,356.50,356.50,356.50
2007-05-04,356.50,356.50,356.50,356.50
2007-05-07,356.50,356.50,356.50,356.50
2007-05-08,356.50,356.50,356.50,356.50
2007-05-09,356.50,356.50,356.50,356.50
2007-05-10,356.50,356.50,356.50,356.50
2007-05-11,356.50,356.50,356.50,356.50
2007-05-14,356.50,356.50,356.50,356.50
2007-05-15,356.50,356.50,356.50,356.50
2007-05-16,356.50,356.50,356.50,356.50
2007-05-17,356.50,356.50,356.50,356.50
2007-05-18,356.50,356.50,356.50,356.50
2007-05-21,254.55,254.55,254.55,254.55
2007-05-22,-101.95,-101.95,-101.95,-101.95
2007-05-23,-101.95,-101.95,-101.95,-101.95
2007-05-24,-101.95,-101.95,-101.95,-101.95
2007-05-25,-101.95,-101.95,-101.95,-101.95
2007-05-29,-101.95,-101.95,-101.95,-101.95
2007-05-30,-101.95,-101.95,-101.95,-101.95
2007-05-31,-101.95,-101.95,-101.95,-101.95
2007-06-01,-101.95,-101.95,-101.95,-101.95
2007-06-04,-101.95,-101.95,-101.95,-101.95
2007-06-05,-101.95,-101.95,-101.95,-101.95
2007-06-06,-101.95,-101.95,-101.95,-101.95
2007-06-07,-101.95,-101.95,-101.95,-101.95
2007-06-08,-101.95,-101.95,-101.95,-101.95
2007-06-11,-101.95,-101.95,-101.95,-101.95
2007-06-12,-101.95,-101.95,-101.95,-101.95
2007-06-13,-101.95,-101.95,-101.95,-101.95
2007-06-14,-101.95,-101.95,-101.95,-101.95
2007-06-15,-101.95,-101.95,-101.95,-101.95
2007-06-18,-101.95,-101.95,-101.95,-101.95
2007-06-19,-101.95,-101.95,-101.95,-101.95
2007-06-20,-101.95,-101.95,-101.95,-101.95
2007-06-21,-101.95,-101.95,-101.95,-101.95
2007-06-22,-182.35,-182.35,-182.35,-182.35
2007-06-25,-182.35,-182.35,-182.35,-182.35
2007-06-26,-80.40,-80.40,-80.40,-80.40
2007-06-27,-80.40,-80.40,-80.40,-80.40
2007-06-28,-80.40,-80.40,-80.40,-80.40
2007-06-29,-80.40,-80.40,-80.40,-80.40
2007-07-02,-80.40,-80.40,-80.40,-80.40
2007-07-03,-80.40,-80.40,-80.40,-80.40
2007-07-05,-80.40,-80.40,-80.40,-80.40
2007-07-06,-80.40,-80.40,-80.40,-80.40
2007-07-09,-80.40,-80.40,-80.40,-80.40
2007-07-10,-80.40,-80.40,-80.40,-80.40
2007-07-11,-80.40,-80.40,-80.40,-80.40
2007-07-12,-80.40,-80.40,-80.40,-80.40
2007-07-13,-80.40,-80.40,-80.40,-80.40
2007-07-16,-80.40,-80.40,-80.40,-80.40
2007-07-17,-80.40,-80.40,-80.40,-80.40
2007-07-18,-80.40,-80.40,-80.40,-80.40
2007-07-19,-80.40,-80.40,-80.40,-80.40
2007-07-20,-80.40,-80.40,-80.40,-80.40
2007-07-23,-80.40,-80.40,-80.40,-80.40
2007-07-24,-80.40,-80.40,-80.40,-80.40
2007-07-25,-80.40,-80.40,-80.40,-80.40
2007-07-26,-80.40,-80.40,-80.40,-80.40
2007-07-27,-80.40,-153.87,-80.40,-153.87
2007-07-30,0.00,-73.47,0.00,-73.47
2007-07-31,0.00,-73.47,0.00,-73.47
2007-08-01,0.00,-73.47,0.00,-73.47
2007-08-02,0.00,-73.47,0.00,-73.47
2007-08-03,0.00,-73.47,0.00,-73.47
2007-08-06,0.00,-73.47,0.00,-73.47
2007-08-07,0.00,-73.47,0.00,-73.47
2007-08-08,77.68,4.21,77.68,4.21
2007-08-09,77.68,4.21,77.68,4.21
2007-08-10,77.68,4.21,77.68,4.21
2007-08-13,77.68,4.21,77.68,4.21
2007-08-14,77.68,4.21,77.68,4.21
2007-08-15,77.68,4.21,77.68,4.21
2007-08-16,77.68,4.21,77.68,4.21
2007-08-17,77.68,4.21,77.68,4.21
2007-08-20,146.45,72.98,146.45,72.98
2007-08-21,209.22,135.75,209.22,135.75
2007-08-22,209.22,135.75,209.22,135.75
2007-08-23,209.22,135.75,209.22,135.75
2007-08-24,209.22,135.75,209.22,135.75
2007-08-27,209.22,135.75,209.22,135.75
2007-08-28,209.22,209.22,209.22,209.22
2007-08-29,209.22,209.22,209.22,209.22
2007-08-30,209.22,209.22,209.22,209.22
2007-08-31,209.22,209.22,209.22,209.22
2007-09-04,209.22,209.22,209.22,209.22
2007-09-05,209.22,209.22,209.22,209.22
2007-09-06,209.22,209.22,209.22,209.22
2007-09-07,209.22,209.22,209.22,209.22
2007-09-10,209.22,209.22,209.22,209.22
2007-09-11,209.22,209.22,209.22,209.22
2007-09-12,209.22,209.22,209.22,209.22
2007-09-13,131.54,131.54,131.54,131.54
2007-09-14,131.54,131.54,131.54,131.54
2007-09-17,131.54,131.54,131.54,131.54
2007-09-18,131.54,131.54,131.54,131.54
2007-09-19,62.77,62.77,62.77,62.77
2007-09-20,62.77,62.77,62.77,62.77
2007-09-21,0.00,0.00,0.00,0.00
2007-09-24,0.00,0.00,0.00,0.00
2007-09-25,0.00,0.00,0.00,0.00
2007-09-26,0.00,0.00,0.00,0.00
2007-09-27,0.00,0.00,0.00,0.00
2007-09-28,0.00,0.00,0.00,0.00
2007-10-01,0.00,0.00,0.00,0.00
2007-10-02,0.00,0.00,0.00,0.00
2007-10-03,0.00,0.00,0.00,0.00
2007-10-04,0.00,0.00,0.00,0.00
2007-10-05,0.00,0.00,0.00,0.00
2007-10-08,0.00,0.00,0.00,0.00
2007-10-09,0.00,0.00,0.00,0.00
2007-10-10,0.00,0.00,0.00,0.00
2007-10-11,0.00,0.00,0.00,0.00
2007-10-12,0.00,0.00,0.00,0.00
2007-10-15,0.00,0.00,0.00,0.00
2007-10-16,0.00,0.00,0.00,0.00
2007-10-17,0.00,0.00,0.00,0.00
2007-10-18,0.00,0.00,0.00,0.00
2007-10-19,0.00,0.00,0.00,0.00
2007-10-22,0.00,-80.59,0.00,-80.59
2007-10-23,0.00,-80.59,0.00,-80.59
2007-10-24,0.00,-80.59,0.00,-80.59
2007-10-25,0.00,-80.59,0.00,-80.59
2007-10-26,0.00,-80.59,0.00,-80.59
2007-10-29,0.00,-80.59,0.00,-80.59
2007-10-30,0.00,-80.59,0.00,-80.59
2007-10-31,0.00,-80.59,0.00,-80.59
2007-11-01,0.00,-80.59,0.00,-80.59
2007-11-02,160.61,80.02,160.61,80.02
2007-11-05,160.61,80.02,160.61,80.02
2007-11-06,160.61,80.02,160.61,80.02
2007-11-07,160.61,80.02,160.61,80.02
2007-11-08,160.61,80.02,160.61,80.02
2007-11-09,160.61,80.02,160.61,80.02
2007-11-12,160.61,80.02,160.61,80.02
2007-11-13,247.72,167.13,247.72,167.13
2007-11-14,247.72,167.13,247.72,167.13
2007-11-15,247.72,167.13,247.72,167.13
2007-11-16,247.72,167.13,247.72,167.13
2007-11-19,247.72,167.13,247.72,167.13
2007-11-20,247.72,167.13,247.72,167.13
2007-11-21,247.72,167.13,247.72,167.13
2007-11-23,247.72,247.72,247.72,247.72
2007-11-26,247.72,247.72,247.72,247.72
2007-11-27,247.72,247.72,247.72,247.72
2007-11-28,247.72,247.72,247.72,247.72
2007-11-29,247.72,247.72,247.72,247.72
2007-11-30,247.72,247.72,247.72,247.72
2007-12-03,247.72,247.72,247.72,247.72
2007-12-04,247.72,247.72,247.72,247.72
2007-12-05,247.72,247.72,247.72,247.72
2007-12-06,139.55,139.55,139.55,139.55
2007-12-07,-108.17,-108.17,-108.17,-108.17
2007-12-10,-108.17,-108.17,-108.17,-108.17
2007-12-11,184.00,184.00,184.00,184.00
2007-12-12,-58.09,-58.09,-58.09,-58.09
2007-12-13,-58.09,-58.09,-58.09,-58.09
2007-12-14,-58.09,-58.09,-58.09,-58.09
2007-12-17,-58.09,-58.09,-58.09,-58.09
2007-12-18,-58.09,-58.09,-58.09,-58.09
2007-12-19,-58.09,-58.09,-58.09,-58.09
2007-12-20,-58.09,-58.09,-58.09,-58.09
2007-12-21,-58.09,-58.09,-58.09,-58.09
2007-12-24,-58.09,-58.09,-58.09,-58.09
2007-12-26,-58.09,-58.09,-58.09,-58.09
2007-12-27,-350.26,-350.26,-350.26,-350.26
2007-12-28,-350.26,-350.26,-350.26,-350.26
2007-12-31,-530.39,-530.39,-530.39,-530.39
2008-01-02,-530.39,-530.39,-530.39,-530.39
2008-01-03,-530.39,-530.39,-530.39,-530.39
