split,group,n_trades,n_days,total_pnl,ann_roe_pct,sharpe,max_dd,cvar_5pct_daily,worst_trade,worst_20d_window,avg_bp_pct,peak_bp_pct,dollar_per_bp_day
full,A_main_only,254,4869,452205.0,8.17,6.24,-14057.0,-499.0,-13235.0,-11041.0,14.14,57.0,0.0066
full,B_main_plus_dd,294,4869,570420.0,9.46,7.1,-17178.0,-514.0,-13235.0,-14470.0,15.55,67.9,0.0075
full,C_main_plus_aftermath,282,4869,505217.0,8.42,6.73,-15669.0,-500.0,-13235.0,-11041.0,15.12,57.0,0.0069
full,D_main_plus_dd_plus_aftermath,322,4869,623432.0,9.59,7.49,-17178.0,-516.0,-13235.0,-14470.0,16.53,67.9,0.0077
post2020,A_main_only,90,1597,150864.0,15.09,6.36,-14057.0,-494.0,-9380.0,-10037.0,14.13,57.0,0.0067
post2020,B_main_plus_dd,108,1597,233929.0,19.61,8.03,-17178.0,-522.0,-9380.0,-14470.0,16.36,67.9,0.009
post2020,C_main_plus_aftermath,107,1597,185487.0,15.74,7.17,-15669.0,-498.0,-9380.0,-10037.0,15.93,57.0,0.0073
post2020,D_main_plus_dd_plus_aftermath,125,1597,268553.0,19.58,8.62,-17178.0,-526.0,-9380.0,-14470.0,18.16,67.9,0.0093
recent2y,A_main_only,44,591,94130.0,27.08,9.19,-10508.0,-536.0,-9380.0,-10037.0,17.66,57.0,0.009
recent2y,B_main_plus_dd,52,591,147856.0,36.35,11.84,-17178.0,-654.0,-9380.0,-14470.0,20.94,67.9,0.0119
recent2y,C_main_plus_aftermath,45,591,97586.0,27.8,9.45,-10508.0,-536.0,-9380.0,-10037.0,17.85,57.0,0.0093
recent2y,D_main_plus_dd_plus_aftermath,53,591,151312.0,36.88,11.97,-17178.0,-654.0,-9380.0,-14470.0,21.13,67.9,0.0121
