date,spx_pm_bp_pct,es_span_bp_pct,short_vol_bp_dollar,combined_bp_dollar,combined_bp_pct,short_vol_bp_pct,stress_episode,second_leg
2007-01-03,15.000,3.541,3541.500,18541.500,9.271,1.771,False,False
2007-01-04,15.000,3.541,3541.500,18541.500,9.271,1.771,False,False
2007-01-05,15.000,3.541,3541.500,18541.500,9.271,1.771,False,False
2007-01-08,15.000,3.541,3541.500,18541.500,9.271,1.771,False,False
2007-01-09,15.000,3.541,3541.500,18541.500,9.271,1.771,False,False
2007-01-10,15.000,7.079,7078.625,22078.625,11.039,3.539,False,False
2007-01-11,15.000,7.079,7078.625,22078.625,11.039,3.539,False,False
2007-01-12,15.000,7.079,7078.625,22078.625,11.039,3.539,False,False
2007-01-16,15.000,7.079,7078.625,22078.625,11.039,3.539,False,False
2007-01-17,15.000,7.079,7078.625,22078.625,11.039,3.539,False,False
2007-01-18,15.000,10.645,10644.550,25644.550,12.822,5.322,False,False
2007-01-19,15.000,10.645,10644.550,25644.550,12.822,5.322,False,False
2007-01-22,15.000,10.645,10644.550,25644.550,12.822,5.322,False,False
2007-01-23,15.000,10.645,10644.550,25644.550,12.822,5.322,False,False
2007-01-24,15.000,10.645,10644.550,25644.550,12.822,5.322,False,False
2007-01-25,15.000,14.204,14204.300,29204.300,14.602,7.102,False,False
2007-01-26,15.000,14.204,14204.300,29204.300,14.602,7.102,False,False
2007-01-29,15.000,14.204,14204.300,29204.300,14.602,7.102,False,False
2007-01-30,15.000,14.204,14204.300,29204.300,14.602,7.102,False,False
2007-01-31,15.000,14.204,14204.300,29204.300,14.602,7.102,False,False
2007-02-01,15.000,14.204,14204.300,29204.300,14.602,7.102,False,False
2007-02-02,15.000,17.825,17825.275,32825.275,16.413,8.913,False,False
2007-02-05,15.000,14.284,14283.775,29283.775,14.642,7.142,False,False
2007-02-06,15.000,14.284,14283.775,29283.775,14.642,7.142,False,False
2007-02-07,30.000,14.284,14283.775,44283.775,22.142,7.142,False,False
2007-02-08,15.000,10.747,10746.650,25746.650,12.873,5.373,False,False
2007-02-09,15.000,14.342,14341.800,29341.800,14.671,7.171,False,False
2007-02-12,15.000,14.342,14341.800,29341.800,14.671,7.171,False,False
2007-02-13,15.000,14.342,14341.800,29341.800,14.671,7.171,False,False
2007-02-14,15.000,14.342,14341.800,29341.800,14.671,7.171,False,False
2007-02-15,15.000,14.342,14341.800,29341.800,14.671,7.171,False,False
2007-02-16,15.000,14.342,14341.800,29341.800,14.671,7.171,False,False
2007-02-20,15.000,14.342,14341.800,29341.800,14.671,7.171,False,False
2007-02-21,15.000,14.342,14341.800,29341.800,14.671,7.171,False,False
2007-02-22,15.000,17.983,17982.750,32982.750,16.491,8.991,False,False
2007-02-23,15.000,14.417,14416.825,29416.825,14.708,7.208,False,False
2007-02-26,15.000,14.417,14416.825,29416.825,14.708,7.208,False,False
2007-02-27,15.000,14.417,14416.825,29416.825,14.708,7.208,True,False
2007-02-28,3.220,14.417,14416.825,17636.825,8.818,7.208,True,False
2007-03-01,3.220,14.417,14416.825,17636.825,8.818,7.208,True,False
2007-03-02,3.220,14.417,14416.825,17636.825,8.818,7.208,True,False
2007-03-05,3.220,14.417,14416.825,17636.825,8.818,7.208,True,False
2007-03-06,3.220,14.417,14416.825,17636.825,8.818,7.208,True,False
2007-03-07,3.220,14.417,14416.825,17636.825,8.818,7.208,True,False
2007-03-08,3.220,10.857,10857.075,14077.075,7.039,5.429,True,False
2007-03-09,3.220,10.857,10857.075,14077.075,7.039,5.429,True,False
2007-03-12,3.220,10.857,10857.075,14077.075,7.039,5.429,True,False
2007-03-13,18.220,10.857,10857.075,29077.075,14.539,5.429,True,False
2007-03-14,18.220,10.857,10857.075,29077.075,14.539,5.429,True,False
2007-03-15,18.220,10.857,10857.075,29077.075,14.539,5.429,True,False
2007-03-16,18.220,7.236,7236.100,25456.100,12.728,3.618,True,False
2007-03-19,18.220,7.236,7236.100,25456.100,12.728,3.618,True,False
2007-03-20,18.220,7.236,7236.100,25456.100,12.728,3.618,True,False
2007-03-21,18.220,7.236,7236.100,25456.100,12.728,3.618,True,False
2007-03-22,18.220,7.236,7236.100,25456.100,12.728,3.618,True,False
2007-03-23,18.220,7.231,7231.225,25451.225,12.726,3.616,True,False
2007-03-26,18.220,7.231,7231.225,25451.225,12.726,3.616,True,False
2007-03-27,18.220,7.231,7231.225,25451.225,12.726,3.616,True,False
2007-03-28,18.220,7.231,7231.225,25451.225,12.726,3.616,True,False
2007-03-29,18.220,7.231,7231.225,25451.225,12.726,3.616,True,False
2007-03-30,18.220,7.231,7231.225,25451.225,12.726,3.616,True,False
2007-04-02,15.000,7.231,7231.225,22231.225,11.116,3.616,True,False
2007-04-03,15.000,10.826,10825.650,25825.650,12.913,5.413,True,False
2007-04-04,15.000,7.185,7184.700,22184.700,11.092,3.592,False,False
2007-04-05,15.000,7.185,7184.700,22184.700,11.092,3.592,False,False
2007-04-09,15.000,7.185,7184.700,22184.700,11.092,3.592,False,False
2007-04-10,15.000,7.185,7184.700,22184.700,11.092,3.592,False,False
2007-04-11,15.000,10.782,10781.875,25781.875,12.891,5.391,False,False
2007-04-12,15.000,10.782,10781.875,25781.875,12.891,5.391,False,False
2007-04-13,15.000,10.782,10781.875,25781.875,12.891,5.391,False,False
2007-04-16,15.000,10.782,10781.875,25781.875,12.891,5.391,False,False
2007-04-17,30.000,10.782,10781.875,40781.875,20.391,5.391,False,False
2007-04-18,15.000,14.463,14463.125,29463.125,14.732,7.232,False,False
2007-04-19,15.000,14.463,14463.125,29463.125,14.732,7.232,False,False
2007-04-20,15.000,14.463,14463.125,29463.125,14.732,7.232,False,False
2007-04-23,15.000,10.873,10872.850,25872.850,12.936,5.436,False,False
2007-04-24,15.000,10.873,10872.850,25872.850,12.936,5.436,False,False
2007-04-25,15.000,14.611,14611.400,29611.400,14.806,7.306,False,False
2007-04-26,15.000,14.611,14611.400,29611.400,14.806,7.306,False,False
2007-04-27,15.000,11.017,11016.975,26016.975,13.008,5.508,False,False
2007-04-30,15.000,11.017,11016.975,26016.975,13.008,5.508,False,False
2007-05-01,15.000,11.017,11016.975,26016.975,13.008,5.508,False,False
2007-05-02,15.000,14.757,14756.775,29756.775,14.878,7.378,False,False
2007-05-03,15.000,14.757,14756.775,29756.775,14.878,7.378,False,False
2007-05-04,15.000,11.160,11159.600,26159.600,13.080,5.580,False,False
2007-05-07,15.000,11.160,11159.600,26159.600,13.080,5.580,False,False
2007-05-08,15.000,11.160,11159.600,26159.600,13.080,5.580,False,False
2007-05-09,15.000,14.941,14941.050,29941.050,14.971,7.471,False,False
2007-05-10,15.000,14.941,14941.050,29941.050,14.971,7.471,False,False
