sleeve,bucket_key,n,median_dpbp,tail_per_bp
Bear_Call_Spread_High_Vol,"('in_aftermath', 'vix_22to26')",2,0.006886045095457537,0.26258571428571426
Bear_Call_Spread_High_Vol,"('not_aftermath', 'vix_22to26')",6,-0.0016142933795139675,0.3556639285714286
Bear_Call_Spread_High_Vol,"('not_aftermath', 'vix_26to30')",1,0.009220816326530611,0.2581828571428571
Bull_Call_Diagonal,"('LOW_VOL', 'ivp_high')",5,-0.004854780952380953,0.4112322666666666
Bull_Call_Diagonal,"('LOW_VOL', 'ivp_low')",27,0.008264838095238095,0.6148260666666667
Bull_Call_Diagonal,"('LOW_VOL', 'ivp_mid_low')",11,0.004110971428571429,0.554867
Bull_Call_Diagonal,"('LOW_VOL', 'ivp_sweet')",5,0.011594419047619047,0.250178
Bull_Call_Diagonal,"('NEUTRAL', 'ivp_high')",5,-0.014550555555555554,0.6699485333333333
Bull_Call_Diagonal,"('NEUTRAL', 'ivp_low')",11,0.005381529411764706,0.4459816666666666
Bull_Call_Diagonal,"('NEUTRAL', 'ivp_mid_low')",6,0.00243892380952381,0.6799541666666666
Bull_Call_Diagonal,"('NEUTRAL', 'ivp_sweet')",2,-0.009290264705882354,0.48730266666666666
Bull_Put_Spread,"('NEUTRAL', 'ivp_mid_low')",1,0.03241758333333333,0.5186813333333333
Bull_Put_Spread,"('NEUTRAL', 'ivp_sweet')",37,0.016247641025641024,0.9613349333333333
Bull_Put_Spread_High_Vol,"('in_aftermath', 'vix_22to26')",6,0.011752977591036412,0.41065714285714283
Bull_Put_Spread_High_Vol,"('in_aftermath', 'vix_26to30')",4,0.01533366758241758,0.25059571428571425
Bull_Put_Spread_High_Vol,"('in_aftermath', 'vix_30to40')",5,0.018105649350649348,0.17915828571428566
Bull_Put_Spread_High_Vol,"('not_aftermath', 'vix_22to26')",11,0.010865884353741495,0.6262989285714284
Bull_Put_Spread_High_Vol,"('not_aftermath', 'vix_30to40')",2,0.013026206349206348,0.09477714285714285
DD_Overlay_A,"('dd_2to5', 'vix_15to18')",4,0.006258092865336508,0.31559006211180124
DD_Overlay_A,"('dd_2to5', 'vix_18to22')",14,0.010743917656236161,0.0
DD_Overlay_A,"('dd_2to5', 'vix_22to26')",5,0.015715650303643726,0.04623181427343079
DD_Overlay_A,"('dd_2to5', 'vix_26to30')",3,0.016905039932236205,0.9193027139874739
DD_Overlay_A,"('dd_5to10', 'vix_18to22')",1,0.006529369873130589,0.4048209321340965
DD_Overlay_A,"('dd_5to10', 'vix_22to26')",4,0.0,0.0
DD_Overlay_A,"('dd_5to10', 'vix_26to30')",3,0.0,0.0
DD_Overlay_A,"('dd_5to10', 'vix_30to40')",1,0.0,0.0
DD_Overlay_B,"('dd_gt10', 'vix_22to26')",1,0.006401443494776829,1.1522598290598292
DD_Overlay_B,"('dd_gt10', 'vix_26to30')",1,0.003702834933699131,0.6665102880658436
DD_Overlay_B,"('dd_gt10', 'vix_30to40')",1,0.01071569962502467,1.9288259325044406
DD_Overlay_B,"('dd_gt10', 'vix_gte40')",2,0.011590645572457757,1.540709470304976
HV_Ladder,"('vix_15to18', 'falling')",60,0.006845759356897059,7.771020720193879
HV_Ladder,"('vix_15to18', 'flat')",50,0.006857772660763275,2.0035269364172175
HV_Ladder,"('vix_15to18', 'rising')",23,0.008055213269262033,0.9482715883493358
HV_Ladder,"('vix_18to22', 'falling')",50,0.008535988244946505,5.3106751681419215
HV_Ladder,"('vix_18to22', 'flat')",19,0.012701505396886033,9.535444890185246
HV_Ladder,"('vix_18to22', 'rising')",19,0.011232843731899821,4.390252447709448
HV_Ladder,"('vix_22to26', 'falling')",26,0.011551303595615446,2.299415792487956
HV_Ladder,"('vix_22to26', 'flat')",10,0.013170125681169651,0.5986030801917962
HV_Ladder,"('vix_22to26', 'rising')",6,0.012846695454700591,1.7009411410725925
HV_Ladder,"('vix_26to30', 'falling')",12,0.01569132770410673,0.05669279374947743
HV_Ladder,"('vix_26to30', 'flat')",4,0.0190375650826361,1.0064359535518617
HV_Ladder,"('vix_26to30', 'rising')",3,0.031110190743898793,0.8557060257168739
HV_Ladder,"('vix_30to40', 'falling')",8,0.02296039264570406,0.5643767150445003
HV_Ladder,"('vix_30to40', 'flat')",2,0.019189593820693365,1.2066986040728551
HV_Ladder,"('vix_30to40', 'rising')",4,0.02109158556959273,1.1907800265838229
HV_Ladder,"('vix_gte40', 'falling')",3,-0.0059256153077497905,2.6502715204789427
HV_Ladder,"('vix_gte40', 'rising')",1,0.02913461553698108,1.6315384700709405
HV_Ladder,"('vix_lt15', 'falling')",101,0.005659849983371415,6.870250275731268
HV_Ladder,"('vix_lt15', 'flat')",130,0.0045292213404239355,2.0390807064682863
HV_Ladder,"('vix_lt15', 'rising')",26,0.004106234732965372,1.710340188397439
Iron_Condor,"('LOW_VOL', 'ivp_low')",5,0.0019730666666666666,1.6370281333333332
Iron_Condor,"('LOW_VOL', 'ivp_mid_low')",2,0.008109349206349207,0.5140053333333333
Iron_Condor,"('NEUTRAL', 'ivp_extreme')",34,0.007193019707207206,0.49379639999999997
Iron_Condor,"('NEUTRAL', 'ivp_low')",2,0.0028591274509803923,0.04242
Iron_Condor,"('NEUTRAL', 'ivp_mid_low')",7,0.005778823529411764,1.3913198
Iron_Condor,"('NEUTRAL', 'ivp_sweet')",8,0.006086809523809524,1.2799650666666667
Iron_Condor_High_Vol,"('in_aftermath', 'vix_22to26')",16,0.004474632781012091,0.08728285714285713
Iron_Condor_High_Vol,"('in_aftermath', 'vix_26to30')",17,0.0049326785714285705,0.15573685714285712
Iron_Condor_High_Vol,"('in_aftermath', 'vix_30to40')",15,0.006434999999999999,0.25210921428571426
Iron_Condor_High_Vol,"('not_aftermath', 'vix_22to26')",25,0.00737205357142857,0.8304628571428571
Iron_Condor_High_Vol,"('not_aftermath', 'vix_26to30')",2,0.00620379831932773,0.2564685714285714
Iron_Condor_High_Vol,"('not_aftermath', 'vix_30to40')",2,0.010032268089053801,0.4731685714285713
