allocator,cap,split,n_entered,n_blocked,total_pnl,ann_roe_pct,sharpe,max_dd,worst_trade,worst_20d,avg_spx_bp,peak_spx_bp,avg_es_bp,peak_es_bp,avg_combined_bp,blocked_pnl_total,blocked_worst_trade
main-first,default,full,872,7,742193.0,8.65,3.36,-174959.0,-52967.0,-117471.0,16.39,56.7,20.2,79.98,18.3,12931.0,-4124.0
main-first,default,post2020,310,7,340136.0,18.3,3.05,-174959.0,-52967.0,-117471.0,17.74,56.0,34.97,79.98,26.35,12931.0,-4124.0
main-first,default,recent2y,122,5,287705.0,35.06,10.05,-59014.0,-20879.0,-42961.0,20.54,54.82,44.63,79.98,32.58,7994.0,-4124.0
main-first,default,stress_2008,62,0,2823.0,0.8,0.22,-51400.0,-21938.0,-24571.0,10.45,45.43,5.55,17.24,8.0,0.0,0.0
main-first,default,stress_2022,36,1,-163065.0,-160.88,-8.85,-174959.0,-36356.0,-58745.0,19.75,54.26,21.79,52.23,20.77,1807.0,1807.0
sleeve-first,default,full,872,7,742193.0,8.65,3.36,-174959.0,-52967.0,-117471.0,16.39,56.7,20.2,79.98,18.3,12931.0,-4124.0
sleeve-first,default,post2020,310,7,340136.0,18.3,3.05,-174959.0,-52967.0,-117471.0,17.74,56.0,34.97,79.98,26.35,12931.0,-4124.0
sleeve-first,default,recent2y,122,5,287705.0,35.06,10.05,-59014.0,-20879.0,-42961.0,20.54,54.82,44.63,79.98,32.58,7994.0,-4124.0
sleeve-first,default,stress_2008,62,0,2823.0,0.8,0.22,-51400.0,-21938.0,-24571.0,10.45,45.43,5.55,17.24,8.0,0.0,0.0
sleeve-first,default,stress_2022,36,1,-163065.0,-160.88,-8.85,-174959.0,-36356.0,-58745.0,19.75,54.26,21.79,52.23,20.77,1807.0,1807.0
FCFS,default,full,872,7,742193.0,8.65,3.36,-174959.0,-52967.0,-117471.0,16.39,56.7,20.2,79.98,18.3,12931.0,-4124.0
FCFS,default,post2020,310,7,340136.0,18.3,3.05,-174959.0,-52967.0,-117471.0,17.74,56.0,34.97,79.98,26.35,12931.0,-4124.0
FCFS,default,recent2y,122,5,287705.0,35.06,10.05,-59014.0,-20879.0,-42961.0,20.54,54.82,44.63,79.98,32.58,7994.0,-4124.0
FCFS,default,stress_2008,62,0,2823.0,0.8,0.22,-51400.0,-21938.0,-24571.0,10.45,45.43,5.55,17.24,8.0,0.0,0.0
FCFS,default,stress_2022,36,1,-163065.0,-160.88,-8.85,-174959.0,-36356.0,-58745.0,19.75,54.26,21.79,52.23,20.77,1807.0,1807.0
static-cap,default,full,803,76,640732.0,8.18,2.99,-173585.0,-52967.0,-117263.0,13.56,56.7,19.05,59.94,16.3,114392.0,-10088.0
static-cap,default,post2020,270,47,276511.0,16.73,2.57,-173585.0,-52967.0,-117263.0,13.69,54.33,31.45,59.94,22.57,76556.0,-10088.0
static-cap,default,recent2y,105,22,257463.0,32.88,9.68,-55495.0,-20879.0,-39468.0,19.43,45.0,35.14,59.94,27.28,38236.0,-10088.0
static-cap,default,stress_2008,56,6,-1050.0,-0.3,-0.08,-53194.0,-21938.0,-24571.0,7.01,31.43,5.55,17.24,6.28,6778.0,-1104.0
static-cap,default,stress_2022,28,9,-163331.0,-163.37,-9.09,-173585.0,-36356.0,-59034.0,10.88,40.26,21.79,52.23,16.33,3879.0,-5708.0
priority,default,full,872,7,742193.0,8.65,3.36,-174959.0,-52967.0,-117471.0,16.39,56.7,20.2,79.98,18.3,12931.0,-4124.0
priority,default,post2020,310,7,340136.0,18.3,3.05,-174959.0,-52967.0,-117471.0,17.74,56.0,34.97,79.98,26.35,12931.0,-4124.0
priority,default,recent2y,122,5,287705.0,35.06,10.05,-59014.0,-20879.0,-42961.0,20.54,54.82,44.63,79.98,32.58,7994.0,-4124.0
priority,default,stress_2008,62,0,2823.0,0.8,0.22,-51400.0,-21938.0,-24571.0,10.45,45.43,5.55,17.24,8.0,0.0,0.0
priority,default,stress_2022,36,1,-163065.0,-160.88,-8.85,-174959.0,-36356.0,-58745.0,19.75,54.26,21.79,52.23,20.77,1807.0,1807.0
main-first,B_tight,full,842,37,693805.0,8.19,3.23,-163139.0,-52967.0,-117471.0,15.7,45.43,18.89,59.94,17.3,61318.0,-15771.0
main-first,B_tight,post2020,283,34,294537.0,16.81,2.74,-163139.0,-52967.0,-117471.0,16.25,45.0,30.96,59.94,23.6,58529.0,-15771.0
main-first,B_tight,recent2y,105,22,250865.0,32.07,9.4,-55495.0,-20879.0,-39468.0,19.55,45.0,35.14,59.94,27.35,44834.0,-10088.0
main-first,B_tight,stress_2008,62,0,2823.0,0.8,0.22,-51400.0,-21938.0,-24571.0,10.45,45.43,5.55,17.24,8.0,0.0,0.0
main-first,B_tight,stress_2022,33,4,-151490.0,-148.07,-8.51,-163139.0,-36356.0,-59320.0,16.52,43.0,20.6,47.14,18.56,-11407.0,-15771.0
sleeve-first,B_tight,full,842,37,693805.0,8.19,3.23,-163139.0,-52967.0,-117471.0,15.7,45.43,18.89,59.94,17.3,61318.0,-15771.0
sleeve-first,B_tight,post2020,283,34,294537.0,16.81,2.74,-163139.0,-52967.0,-117471.0,16.25,45.0,30.96,59.94,23.6,58529.0,-15771.0
sleeve-first,B_tight,recent2y,105,22,250865.0,32.07,9.4,-55495.0,-20879.0,-39468.0,19.55,45.0,35.14,59.94,27.35,44834.0,-10088.0
sleeve-first,B_tight,stress_2008,62,0,2823.0,0.8,0.22,-51400.0,-21938.0,-24571.0,10.45,45.43,5.55,17.24,8.0,0.0,0.0
sleeve-first,B_tight,stress_2022,33,4,-151490.0,-148.07,-8.51,-163139.0,-36356.0,-59320.0,16.52,43.0,20.6,47.14,18.56,-11407.0,-15771.0
FCFS,B_tight,full,842,37,693805.0,8.19,3.23,-163139.0,-52967.0,-117471.0,15.7,45.43,18.89,59.94,17.3,61318.0,-15771.0
FCFS,B_tight,post2020,283,34,294537.0,16.81,2.74,-163139.0,-52967.0,-117471.0,16.25,45.0,30.96,59.94,23.6,58529.0,-15771.0
FCFS,B_tight,recent2y,105,22,250865.0,32.07,9.4,-55495.0,-20879.0,-39468.0,19.55,45.0,35.14,59.94,27.35,44834.0,-10088.0
FCFS,B_tight,stress_2008,62,0,2823.0,0.8,0.22,-51400.0,-21938.0,-24571.0,10.45,45.43,5.55,17.24,8.0,0.0,0.0
FCFS,B_tight,stress_2022,33,4,-151490.0,-148.07,-8.51,-163139.0,-36356.0,-59320.0,16.52,43.0,20.6,47.14,18.56,-11407.0,-15771.0
static-cap,B_tight,full,801,78,633630.0,8.13,2.96,-174978.0,-52967.0,-117263.0,13.48,45.0,19.05,59.94,16.26,121494.0,-10088.0
static-cap,B_tight,post2020,269,48,273028.0,16.67,2.54,-174978.0,-52967.0,-117263.0,13.54,45.0,31.45,59.94,22.49,80038.0,-10088.0
static-cap,B_tight,recent2y,105,22,257463.0,32.88,9.68,-55495.0,-20879.0,-39468.0,19.43,45.0,35.14,59.94,27.28,38236.0,-10088.0
static-cap,B_tight,stress_2008,56,6,-1050.0,-0.3,-0.08,-53194.0,-21938.0,-24571.0,7.01,31.43,5.55,17.24,6.28,6778.0,-1104.0
static-cap,B_tight,stress_2022,28,9,-164970.0,-167.71,-9.2,-174978.0,-36356.0,-59034.0,10.44,40.26,21.79,52.23,16.11,3879.0,-5708.0
priority,B_tight,full,842,37,693805.0,8.19,3.23,-163139.0,-52967.0,-117471.0,15.7,45.43,18.89,59.94,17.3,61318.0,-15771.0
priority,B_tight,post2020,283,34,294537.0,16.81,2.74,-163139.0,-52967.0,-117471.0,16.25,45.0,30.96,59.94,23.6,58529.0,-15771.0
priority,B_tight,recent2y,105,22,250865.0,32.07,9.4,-55495.0,-20879.0,-39468.0,19.55,45.0,35.14,59.94,27.35,44834.0,-10088.0
priority,B_tight,stress_2008,62,0,2823.0,0.8,0.22,-51400.0,-21938.0,-24571.0,10.45,45.43,5.55,17.24,8.0,0.0,0.0
priority,B_tight,stress_2022,33,4,-151490.0,-148.07,-8.51,-163139.0,-36356.0,-59320.0,16.52,43.0,20.6,47.14,18.56,-11407.0,-15771.0
