year,days,spx_active,hv_active,spx_pct,hv_pct
2000,252,141,129,55.952380952380956,51.19047619047619
2001,248,179,135,72.17741935483872,54.43548387096774
2002,252,205,116,81.34920634920636,46.03174603174603
2003,252,13,88,5.158730158730158,34.92063492063492
2004,252,156,0,61.904761904761905,0.0
2005,252,209,0,82.93650793650794,0.0
2006,251,219,0,87.25099601593625,0.0
2007,251,202,0,80.47808764940238,0.0
2008,253,160,23,63.24110671936759,9.090909090909092
2009,252,89,230,35.317460317460316,91.26984126984127
2010,252,166,122,65.87301587301587,48.41269841269841
2011,252,183,83,72.61904761904762,32.93650793650794
2012,250,173,23,69.19999999999999,9.2
2013,252,235,0,93.25396825396825,0.0
2014,252,219,0,86.90476190476191,0.0
2015,252,229,0,90.87301587301587,0.0
2016,252,215,0,85.31746031746032,0.0
2017,251,237,0,94.42231075697211,0.0
2018,251,229,0,91.23505976095618,0.0
2019,252,225,0,89.28571428571429,0.0
2020,253,190,173,75.09881422924902,68.37944664031622
2021,252,120,93,47.61904761904761,36.904761904761905
2022,251,161,141,64.14342629482071,56.17529880478087
2023,250,161,11,64.4,4.3999999999999995
2024,252,213,22,84.52380952380952,8.73015873015873
2025,250,210,28,84.0,11.200000000000001
2026,93,90,0,96.7741935483871,0.0
