date,spx_pnl,hv_pnl,q42a_pnl,cash_pnl,total_pnl,equity_start,daily_ret_pct
2000-03-20,3058.0,-237.0,0.0,38.14,2859.0,902986.0,0.317
2000-03-21,-16874.0,910.0,0.0,38.14,-15926.0,905845.0,-1.758
2000-03-22,-23891.0,146.0,0.0,38.14,-23706.0,889920.0,-2.664
2000-03-23,-13263.0,225.0,0.0,38.14,-13000.0,866213.0,-1.501
2000-03-24,-1732.0,-90.0,0.0,38.14,-1784.0,853213.0,-0.209
2000-03-27,-1027.0,-422.0,0.0,38.14,-1411.0,851429.0,-0.166
2000-03-28,3963.0,-606.0,0.0,38.14,3395.0,850018.0,0.399
2000-03-29,2980.0,365.0,0.0,38.14,3383.0,853413.0,0.396
2000-03-30,944.0,-1236.0,0.0,38.14,-254.0,856796.0,-0.03
2000-03-31,3487.0,1018.0,0.0,38.14,4543.0,856542.0,0.53
2000-04-03,-211.0,583.0,0.0,38.14,410.0,861086.0,0.048
2000-04-04,-5086.0,-2144.0,0.0,38.14,-7192.0,861496.0,-0.835
2000-04-05,-1194.0,-1064.0,0.0,38.14,-2219.0,854303.0,-0.26
2000-04-06,2730.0,1787.0,0.0,38.14,4556.0,852084.0,0.535
2000-04-07,4698.0,2266.0,0.0,38.14,7002.0,856640.0,0.817
2000-04-10,530.0,-1734.0,0.0,38.14,-1166.0,863642.0,-0.135
2000-04-11,-918.0,-976.0,0.0,38.14,-1856.0,862476.0,-0.215
2000-04-12,-9301.0,-4385.0,0.0,38.14,-13648.0,860621.0,-1.586
2000-04-13,-681.0,-3433.0,0.0,38.14,-4076.0,846973.0,-0.481
2000-04-14,-29743.0,-18035.0,0.0,38.14,-47740.0,842897.0,-5.664
