year,n_normal,n_blocked,avg_vix,avg_ivp252,block_pct,blocked_p_stress_10d,blocked_p_stress_20d,passed_p_stress_10d,passed_p_stress_20d,fp_rate_10d,block_lift_10d
2001,7,0,20.41428565979004,22.026180990324416,0.0,,,1.0,1.0,,
2002,28,0,19.307857172829763,4.93739328400683,0.0,,,0.5714285714285714,0.9285714285714286,,
2003,164,0,18.73249998325255,6.6660188514235745,0.0,,,0.18292682926829268,0.36585365853658536,,
2004,193,3,14.815803137467933,10.269801622525442,1.5544041450777202,0.3333333333333333,0.3333333333333333,0.23157894736842105,0.47368421052631576,0.6666666666666667,0.10175438596491226
2005,193,20,12.199015553133476,21.49536568750903,10.362694300518134,0.15,0.2,0.1791907514450867,0.31213872832369943,0.85,-0.029190751445086704
2006,196,36,11.853214273647387,32.510773233596225,18.367346938775512,0.1111111111111111,0.1388888888888889,0.0375,0.09375,0.8888888888888888,0.0736111111111111
2007,154,112,14.198181790190858,60.588813576861384,72.72727272727273,0.25,0.42857142857142855,0.23809523809523808,0.47619047619047616,0.75,0.011904761904761918
2008,34,0,18.998529153711655,29.44691820951488,0.0,,,0.29411764705882354,0.5882352941176471,,
2009,12,0,20.4333332379659,1.5272244355909692,0.0,,,0.4166666666666667,1.0,,
2010,105,0,18.186476171584356,11.181938911022577,0.0,,,0.34285714285714286,0.5523809523809524,,
2011,109,6,17.452110028048175,20.78292335246171,5.5045871559633035,1.0,1.0,0.3592233009708738,0.5631067961165048,0.0,0.6407766990291262
2012,172,2,16.91319765601047,22.106921152598908,1.1627906976744187,1.0,1.0,0.3176470588235294,0.5058823529411764,0.0,0.6823529411764706
2013,234,46,13.982008546845526,29.3152177614329,19.65811965811966,0.41304347826086957,0.5,0.05851063829787234,0.2074468085106383,0.5869565217391304,0.3545328399629972
2014,227,85,13.591585923921695,41.39214068834793,37.44493392070485,0.3176470588235294,0.4,0.07746478873239436,0.22535211267605634,0.6823529411764706,0.24018227009113502
2015,185,90,14.832756769334948,53.28093033272316,48.64864864864865,0.34444444444444444,0.43333333333333335,0.17894736842105263,0.30526315789473685,0.6555555555555556,0.1654970760233918
2016,194,22,14.054329891794735,26.204460508481535,11.34020618556701,0.5909090909090909,0.7727272727272727,0.040697674418604654,0.13372093023255813,0.40909090909090906,0.5502114164904863
2017,251,30,11.0902390499039,21.177441627910667,11.952191235059761,0.0,0.0,0.0,0.0,1.0,0.0
2018,129,86,12.910852742749592,57.93261064270052,66.66666666666666,0.1744186046511628,0.2441860465116279,0.13953488372093023,0.46511627906976744,0.8255813953488372,0.034883720930232565
2019,190,26,14.273315755944504,33.03837282449151,13.684210526315791,0.5769230769230769,0.6153846153846154,0.12804878048780488,0.3048780487804878,0.42307692307692313,0.448874296435272
2020,43,15,15.660465151764626,40.45214490873715,34.883720930232556,0.4,1.0,0.42857142857142855,0.4642857142857143,0.6,-0.028571428571428525
2021,175,5,17.927085718427385,15.332953898690949,2.857142857142857,1.0,1.0,0.3235294117647059,0.5941176470588235,0.0,0.6764705882352942
2022,25,5,19.60280014038086,36.97211155378486,20.0,1.0,1.0,0.95,1.0,0.0,0.050000000000000044
2023,169,0,15.560828383857682,6.317923571984253,0.0,,,0.20118343195266272,0.3431952662721893,,
2024,212,84,14.795377339956895,44.459896264000605,39.62264150943396,0.6071428571428571,0.8690476190476191,0.1328125,0.328125,0.3928571428571429,0.4743303571428571
2025,176,53,16.709943251176313,42.31935892792466,30.113636363636363,0.49056603773584906,0.7169811320754716,0.10569105691056911,0.24390243902439024,0.5094339622641509,0.38487498082527993
2026,66,38,17.868484887209807,52.08257877580587,57.57575757575758,0.30303030303030304,0.72,0.0,0.09523809523809523,0.696969696969697,0.30303030303030304
