crisis,trigger_date,variant,booster_days_20d,incremental_pnl_20d_usd,incremental_pct_nlv
DotCom_2000_03,2000-03-01,B4_current,0,0.0,0.0
DotCom_2000_03,2000-03-01,B4_F,0,0.0,0.0
DotCom_2000_03,2000-03-01,B4_F2,0,0.0,0.0
PreGFC_2007_07,2007-07-26,B4_current,0,0.0,0.0
PreGFC_2007_07,2007-07-26,B4_F,2,513.0,0.057
PreGFC_2007_07,2007-07-26,B4_F2,0,0.0,0.0
Vol_2018_02,2018-02-05,B4_current,6,3597.0,0.402
Vol_2018_02,2018-02-05,B4_F,12,6049.0,0.677
Vol_2018_02,2018-02-05,B4_F2,12,6049.0,0.677
COVID_2020_02,2020-02-24,B4_current,4,1031.0,0.115
COVID_2020_02,2020-02-24,B4_F,6,805.0,0.09
COVID_2020_02,2020-02-24,B4_F2,4,1031.0,0.115
Bear_2022_01,2022-01-18,B4_current,10,6009.0,0.672
Bear_2022_01,2022-01-18,B4_F,10,6009.0,0.672
Bear_2022_01,2022-01-18,B4_F2,10,6009.0,0.672
