crisis,trigger_date,candidate,booster_days_in_20d,incremental_pnl_20d,incremental_pct_nlv
DotCom_2000_03,2000-03-01,B1_strict_85,0,0.0,0.0
DotCom_2000_03,2000-03-01,B2_moderate_85,0,0.0,0.0
DotCom_2000_03,2000-03-01,B3_strict_90,0,0.0,0.0
DotCom_2000_03,2000-03-01,B4_moderate_90,0,0.0,0.0
PreGFC_2007_07,2007-07-26,B1_strict_85,0,0.0,0.0
PreGFC_2007_07,2007-07-26,B2_moderate_85,0,0.0,0.0
PreGFC_2007_07,2007-07-26,B3_strict_90,0,0.0,0.0
PreGFC_2007_07,2007-07-26,B4_moderate_90,0,0.0,0.0
Vol_2018_02,2018-02-05,B1_strict_85,6,1798.0,0.201
Vol_2018_02,2018-02-05,B2_moderate_85,6,1798.0,0.201
Vol_2018_02,2018-02-05,B3_strict_90,6,3597.0,0.402
Vol_2018_02,2018-02-05,B4_moderate_90,6,3597.0,0.402
COVID_2020_02,2020-02-24,B1_strict_85,4,516.0,0.058
COVID_2020_02,2020-02-24,B2_moderate_85,4,516.0,0.058
COVID_2020_02,2020-02-24,B3_strict_90,4,1031.0,0.115
COVID_2020_02,2020-02-24,B4_moderate_90,4,1031.0,0.115
Bear_2022_01,2022-01-18,B1_strict_85,9,1897.0,0.212
Bear_2022_01,2022-01-18,B2_moderate_85,10,3004.0,0.336
Bear_2022_01,2022-01-18,B3_strict_90,9,3794.0,0.424
Bear_2022_01,2022-01-18,B4_moderate_90,10,6009.0,0.672
