candidate,trigger_date,lookback_days,booster_active_in_window,vix_20_22_booster_days,incremental_pnl_usd,incremental_pct_nlv,has_second_leg_next_20d,severity,failed_benign,window_type
B1_strict_85,2013-08-28,10,2,0,-281.0,-0.031,False,mild,True,10d_primary
B1_strict_85,2013-08-27,10,3,0,-165.0,-0.018,False,mild,True,10d_primary
B1_strict_85,2014-01-31,10,4,0,-101.0,-0.011,False,mild,True,10d_primary
B1_strict_85,2024-12-23,10,5,0,-95.0,-0.011,False,mild,True,10d_primary
B1_strict_85,2024-12-19,10,7,0,-89.0,-0.01,False,mild,True,10d_primary
B2_moderate_85,2014-01-31,10,5,0,-652.0,-0.073,False,mild,True,10d_primary
B2_moderate_85,2014-02-03,10,4,0,-572.0,-0.064,False,mild,True,10d_primary
B2_moderate_85,2014-02-06,10,1,0,-551.0,-0.062,False,mild,True,10d_primary
B2_moderate_85,2014-02-05,10,2,0,-516.0,-0.058,False,mild,True,10d_primary
B2_moderate_85,2013-08-28,10,2,0,-281.0,-0.031,False,mild,True,10d_primary
B3_strict_90,2013-08-28,10,2,0,-562.0,-0.063,False,mild,True,10d_primary
B3_strict_90,2013-08-27,10,3,0,-330.0,-0.037,False,mild,True,10d_primary
B3_strict_90,2014-01-31,10,4,0,-202.0,-0.023,False,mild,True,10d_primary
B3_strict_90,2024-12-23,10,5,0,-191.0,-0.021,False,mild,True,10d_primary
B3_strict_90,2024-12-19,10,7,0,-177.0,-0.02,False,mild,True,10d_primary
B4_moderate_90,2014-01-31,10,5,0,-1304.0,-0.146,False,mild,True,10d_primary
B4_moderate_90,2014-02-03,10,4,0,-1144.0,-0.128,False,mild,True,10d_primary
B4_moderate_90,2014-02-06,10,1,0,-1102.0,-0.123,False,mild,True,10d_primary
B4_moderate_90,2014-02-05,10,2,0,-1031.0,-0.115,False,mild,True,10d_primary
B4_moderate_90,2013-08-28,10,2,0,-562.0,-0.063,False,mild,True,10d_primary
