candidate,trigger_date,lookback_days,booster_active_in_window,vix_20_22_booster_days,incremental_pnl_usd,incremental_pct_nlv,has_second_leg_next_20d,severity,failed_benign,window_type
B1_strict_85,2000-01-24,10,0,0,0.0,0.0,True,acute,False,10d_primary
B1_strict_85,2000-01-25,10,0,0,0.0,0.0,True,acute,False,10d_primary
B1_strict_85,2000-01-26,10,0,0,0.0,0.0,True,acute,False,10d_primary
B1_strict_85,2000-01-27,10,0,0,0.0,0.0,True,acute,False,10d_primary
B1_strict_85,2000-01-28,10,0,0,0.0,0.0,True,acute,False,10d_primary
B1_strict_85,2000-01-31,10,0,0,0.0,0.0,True,acute,False,10d_primary
B1_strict_85,2000-02-01,10,0,0,0.0,0.0,True,acute,False,10d_primary
B1_strict_85,2000-02-02,10,0,0,0.0,0.0,True,acute,False,10d_primary
B1_strict_85,2000-02-03,10,0,0,0.0,0.0,True,acute,False,10d_primary
B1_strict_85,2000-02-04,10,0,0,0.0,0.0,True,acute,False,10d_primary
B1_strict_85,2000-02-07,10,0,0,0.0,0.0,True,acute,False,10d_primary
B1_strict_85,2000-02-08,10,0,0,0.0,0.0,True,acute,False,10d_primary
B1_strict_85,2000-02-09,10,0,0,0.0,0.0,True,acute,False,10d_primary
B1_strict_85,2000-02-10,10,0,0,0.0,0.0,True,acute,False,10d_primary
B1_strict_85,2000-02-11,10,0,0,0.0,0.0,True,acute,False,10d_primary
B1_strict_85,2000-02-14,10,0,0,0.0,0.0,True,acute,False,10d_primary
B1_strict_85,2000-02-15,10,0,0,0.0,0.0,True,acute,False,10d_primary
B1_strict_85,2000-02-16,10,0,0,0.0,0.0,True,acute,False,10d_primary
B1_strict_85,2000-02-17,10,0,0,0.0,0.0,True,acute,False,10d_primary
B1_strict_85,2000-02-18,10,0,0,0.0,0.0,True,acute,False,10d_primary
B1_strict_85,2000-02-22,10,0,0,0.0,0.0,True,acute,False,10d_primary
B1_strict_85,2000-02-23,10,0,0,0.0,0.0,True,acute,False,10d_primary
B1_strict_85,2000-02-24,10,0,0,0.0,0.0,True,acute,False,10d_primary
B1_strict_85,2000-02-25,10,0,0,0.0,0.0,True,acute,False,10d_primary
B1_strict_85,2000-02-28,10,0,0,0.0,0.0,False,mild,False,10d_primary
B1_strict_85,2000-02-29,10,0,0,0.0,0.0,False,mild,False,10d_primary
B1_strict_85,2000-03-01,10,0,0,0.0,0.0,False,mild,False,10d_primary
B1_strict_85,2000-03-02,10,0,0,0.0,0.0,False,mild,False,10d_primary
B1_strict_85,2000-03-03,10,0,0,0.0,0.0,False,mild,False,10d_primary
B1_strict_85,2000-03-06,10,0,0,0.0,0.0,False,mild,False,10d_primary
B1_strict_85,2000-03-07,10,0,0,0.0,0.0,False,mild,False,10d_primary
B1_strict_85,2000-03-08,10,0,0,0.0,0.0,False,mild,False,10d_primary
B1_strict_85,2000-03-09,10,0,0,0.0,0.0,False,mild,False,10d_primary
B1_strict_85,2000-03-10,10,0,0,0.0,0.0,False,mild,False,10d_primary
B1_strict_85,2000-03-13,10,0,0,0.0,0.0,False,mild,False,10d_primary
B1_strict_85,2000-03-14,10,0,0,0.0,0.0,False,mild,False,10d_primary
B1_strict_85,2000-03-15,10,0,0,0.0,0.0,False,mild,False,10d_primary
B1_strict_85,2000-03-16,10,0,0,0.0,0.0,False,mild,False,10d_primary
B1_strict_85,2000-03-17,10,0,0,0.0,0.0,True,acute,False,10d_primary
B1_strict_85,2000-03-20,10,0,0,0.0,0.0,True,acute,False,10d_primary
B1_strict_85,2000-03-21,10,0,0,0.0,0.0,True,acute,False,10d_primary
B1_strict_85,2000-03-22,10,0,0,0.0,0.0,True,acute,False,10d_primary
B1_strict_85,2000-03-23,10,0,0,0.0,0.0,True,acute,False,10d_primary
B1_strict_85,2000-03-24,10,0,0,0.0,0.0,True,acute,False,10d_primary
B1_strict_85,2000-03-27,10,0,0,0.0,0.0,True,acute,False,10d_primary
B1_strict_85,2000-03-28,10,0,0,0.0,0.0,True,acute,False,10d_primary
B1_strict_85,2000-03-29,10,0,0,0.0,0.0,True,acute,False,10d_primary
B1_strict_85,2000-03-30,10,0,0,0.0,0.0,True,acute,False,10d_primary
B1_strict_85,2000-03-31,10,0,0,0.0,0.0,True,acute,False,10d_primary
B1_strict_85,2000-04-03,10,0,0,0.0,0.0,True,acute,False,10d_primary
B1_strict_85,2000-04-04,10,0,0,0.0,0.0,True,acute,False,10d_primary
