,sample,type,vix,ivp_252,vix_5d_change,ddath,ddath_change_5d,above_ma50,ma50_slope_5d,year,bk_vix,bk_ivp,bk_vix5d,bk_ddath,is_first_in_cluster,h1_cash,h2_bps_nnb_counterfactual,h3_short_dte_bps,h4_small_ic,h5_bcs,credit_est,max_loss,sigma_14d,fwd_ret,spx_fwd_5d,spx_fwd_10d,spx_fwd_20d,vix_fwd_5d,vix_fwd_10d,vix_fwd_20d,stress_in_next_5d,stress_in_next_10d,stress_in_next_20d,second_leg_in_next_20d,second_leg_in_next_60d
2007-07-02,primary,C_high_vol_controlled,15.399999618530273,90.0398406374502,-1.25,-0.012831507238144857,0.014091959822548406,1,3.2066015625000546,2007,1_15-17,3_85+,1_falling,1_0_to_-2,True,3.1050796812748995,5103.727252118756,1150.1992031872512,670.1195219123507,910.159362549801,1200.1992031872512,1299.8007968127488,55.15249575240305,0.014571182479938605,-0.006127336083034396,0.01970471844566135,-0.04222638220363484,2.1700000762939453,0.23000049591064453,8.120000839233398,0.0,0.0,1.0,0.0,1.0
2007-07-05,primary,C_high_vol_controlled,15.479999542236328,90.43824701195219,-0.05000019073486328,-0.008952837755174636,0.0123832546736794,1,3.7967993164061227,2007,1_15-17,3_85+,2_flat,1_0_to_-2,False,3.100320938468348,2968.1062221512634,1152.191235059761,671.3147410358566,911.7529880478089,1202.191235059761,1297.808764940239,55.656826540477354,-0.004792223991577527,0.014619068048316253,0.018146014945330524,-0.034876145529513014,0.06000041961669922,-0.25,5.739999771118164,0.0,0.0,1.0,0.0,1.0
2007-07-09,primary,C_high_vol_controlled,15.15999984741211,87.64940239043824,-1.0699996948242188,-0.004762326608460987,0.01851635221706971,1,3.932597656249982,2007,1_15-17,3_85+,1_falling,1_0_to_-2,True,3.1336321381142094,-11348.645446946237,-678.0782767680221,57.506444264577,900.5976095617531,1188.2470119521913,1311.7529880478087,54.73677152686045,-0.047589532640869736,0.01153510084337972,0.006345249768605399,-0.04189700862584533,0.43000030517578125,1.6499996185302734,7.780000686645508,0.0,0.0,1.0,0.0,1.0
2007-07-12,primary,C_high_vol_controlled,15.539999961853027,90.0398406374502,0.06000041961669922,0.0,0.008952837755174636,1,3.729196777343759,2007,1_15-17,3_85+,2_flat,1_0_to_-2,False,3.1050796812748995,-9396.392111524954,-1349.8007968127488,-163.2138114209826,910.159362549801,1200.1992031872512,1299.8007968127488,56.68935683191559,-0.05291070308306223,0.003476129128736405,-0.04202359568658065,-0.061129410309748056,-0.3100004196166992,5.199999809265137,10.9399995803833,0.0,1.0,1.0,0.0,1.0
2007-07-13,primary,C_high_vol_controlled,15.149999618530273,86.05577689243027,0.42999935150146484,0.0,0.005678420977204834,1,4.160397949218805,2007,1_15-17,3_85+,2_flat,1_0_to_-2,False,3.152667109340416,-8779.016585545953,-1355.9205850905332,-170.5658258402707,894.2231075697212,1180.2788844621514,1319.7211155378486,55.43805413259819,-0.05172305882648953,-0.011851867577496011,-0.06025768040458934,-0.06367792937298711,1.8000011444091797,9.020000457763672,13.149999618530273,0.0,1.0,1.0,0.0,1.0
2007-07-16,primary,C_high_vol_controlled,15.59000015258789,91.23505976095618,0.43000030517578125,-0.0019194721215780586,0.0028428544868829286,1,4.350998535156123,2007,1_15-17,3_85+,2_flat,1_0_to_-2,False,3.0908034528552455,-9157.255891644752,-1343.8247011952192,-159.62815405046484,914.9402390438247,1206.1752988047808,1293.8247011952192,56.93863591670917,-0.07515873268467399,-0.005130668298556462,-0.04879574603652781,-0.06234186997800795,1.2199993133544922,5.280000686645508,10.979999542236328,0.0,1.0,1.0,0.0,1.0
2007-07-17,primary,C_high_vol_controlled,15.630000114440918,91.63346613545816,-1.9399995803833008,-0.0020161062047101552,0.016864114159169108,1,4.904997558593777,2007,1_15-17,3_85+,1_falling,1_0_to_-2,False,3.0860447100486943,-9494.35061812998,-1303.9078878218581,-145.79134109334183,916.5338645418326,1208.1673306772907,1291.8326693227093,57.07919898688346,-0.052731078715446245,-0.02473905921470254,-0.060734347433144986,-0.07927735559729698,2.919999122619629,7.890000343322754,12.050000190734863,0.0,1.0,1.0,1.0,1.0
2007-07-18,primary,C_high_vol_controlled,16.0,93.22709163346613,-0.6399993896484375,-0.004077266379830968,0.009189566110676006,1,4.9109985351562955,2007,1_15-17,3_85+,1_falling,1_0_to_-2,False,3.0670097388224877,-10066.831121116451,51.099546405997216,308.0026376466206,922.9083665338645,1216.1354581673306,1283.8645418326694,58.30972389019907,-0.04492396116443531,-0.018161054299919654,-0.05197357539440517,-0.09020359262526922,2.1000003814697266,7.670000076293945,14.670000076293945,0.0,1.0,1.0,1.0,1.0
2007-07-19,primary,C_high_vol_controlled,15.229999542236328,87.25099601593625,-0.3100004196166992,0.0,0.0,1,4.590200195312491,2007,1_15-17,3_85+,2_flat,1_0_to_-2,False,3.138390880920761,-10601.654918475968,1136.2549800796812,661.7529880478087,899.0039840637451,1186.2549800796812,1313.7450199203188,55.75161500614787,-0.03579337020196216,-0.045342109786729035,-0.05207716741659152,-0.09130884470602496,5.510000228881836,5.989999771118164,15.600000381469727,1.0,1.0,1.0,1.0,1.0
2007-07-23,primary,C_high_vol_controlled,16.809999465942383,96.01593625498009,1.2199993133544922,-0.007411086416222901,-0.005491614294644842,1,3.948400878906341,2007,1_15-17,3_85+,3_rising,1_0_to_-2,True,3.0336985391766267,-23414.2705857691,-1319.9203187250996,-145.2855245683931,934.0637450199204,1230.0796812749004,1269.9203187250996,61.0793887224685,-0.057039209834295224,-0.043890264124731404,-0.04793807930781557,-0.06228708447001119,4.060001373291016,6.130001068115234,9.520000457763672,1.0,1.0,1.0,1.0,1.0
