,sample,type,vix,ivp_252,vix_5d_change,ddath,ddath_change_5d,above_ma50,ma50_slope_5d,year,bk_vix,bk_ivp,bk_vix5d,bk_ddath,is_first_in_cluster,h1_cash,h2_bps_nnb_counterfactual,h3_short_dte_bps,h4_small_ic,h5_bcs,credit_est,max_loss,sigma_14d,fwd_ret,spx_fwd_5d,spx_fwd_10d,spx_fwd_20d,vix_fwd_5d,vix_fwd_10d,vix_fwd_20d,stress_in_next_5d,stress_in_next_10d,stress_in_next_20d,second_leg_in_next_20d,second_leg_in_next_60d
2004-10-14,secondary,D_trend_deteriorated,16.43000030517578,56.97211155378486,1.9300003051757812,-0.2776962622409165,-0.017912080218960402,0,1.564401855468759,2004,1_15-17,1_55-70,3_rising,2_-2_to_-4,True,3.500055334218681,-8250.541152145453,984.8605577689243,570.9163346613547,777.8884462151395,1034.8605577689243,1465.1394422310757,42.72587997736472,0.03617354521145466,0.0029003716688986714,0.021888987925850367,0.06361875746280887,-1.890000343322754,-1.0399999618530273,-3.390000343322754,0.0,1.0,1.0,0.0,0.0
2004-10-29,secondary,D_trend_deteriorated,16.270000457763672,55.37848605577689,0.9900007247924805,-0.26007883671255194,0.022560303915494906,1,3.5335986328125273,2004,1_15-17,1_55-70,3_rising,2_-2_to_-4,True,3.5190903054448865,45781.391355748165,976.8924302788844,232.5243821080357,-229.31928395477735,1026.8924302788844,1473.1075697211156,43.34176537447109,0.04720412312965738,0.0318263089076769,0.0477526943064166,0.042797732442860115,-2.4300003051757812,-2.940000534057617,-2.9700002670288086,0.0,0.0,0.0,0.0,0.0
2004-11-01,secondary,D_trend_deteriorated,16.270000457763672,55.37848605577689,-0.3099994659423828,-0.2598758470423286,0.02337865597182831,1,3.5767993164063228,2004,1_15-17,1_55-70,2_flat,2_-2_to_-4,False,3.5190903054448865,37745.48564800243,976.8924302788844,566.1354581673306,771.5139442231075,1026.8924302788844,1473.1075697211156,43.35365573671073,0.03523184731725193,0.030411057474794223,0.04714690570424507,0.03831008673016201,-2.4700002670288086,-2.890000343322754,-3.030000686645508,0.0,0.0,0.0,0.0,0.0
2006-08-07,secondary,D_trend_deteriorated,15.229999542236328,82.86852589641434,0.2799997329711914,-0.16477678488657188,-0.0005826762541724095,1,1.3320043945313955,2006,1_15-17,2_70-85,2_flat,2_-2_to_-4,True,3.1907370517928286,4753.14040556791,1114.3426294820717,648.6055776892431,881.4741035856574,1164.3426294820717,1335.6573705179283,45.796894543649294,0.015143753179088781,-0.005925878863753065,0.017048527294905025,0.02937832046133293,-0.9699993133544922,-3.0099992752075195,-2.59999942779541,0.0,0.0,0.0,0.0,0.0
2006-08-08,secondary,D_trend_deteriorated,15.229999542236328,82.47011952191235,0.17999935150146484,-0.16758539471740963,0.00036658016429691465,1,1.080603027343841,2006,1_15-17,2_70-85,2_flat,2_-2_to_-4,False,3.19549579459938,8955.426769460952,1112.3505976095619,647.4103585657372,879.8804780876495,1162.3505976095619,1337.6494023904381,45.64289306726593,0.023830535512603612,0.011089420047918797,0.02150247447091802,0.02263506287080097,-1.8099994659423828,-3.0399999618530273,-1.489999771118164,0.0,0.0,0.0,0.0,0.0
2006-08-09,secondary,D_trend_deteriorated,15.199999809265137,82.07171314741036,0.8599996566772461,-0.17120580339475444,-0.00750270599615499,1,0.8954003906251273,2006,1_15-17,2_70-85,3_rising,2_-2_to_-4,False,3.2002545374059315,10652.673920547923,1110.358565737052,646.2151394422312,878.2868525896416,1160.358565737052,1339.641434262948,45.354863716769636,0.03027771997583173,0.02328694156650757,0.021359485055052474,0.02217312646000802,-2.7899999618530273,-2.8000001907348633,-1.3199996948242188,0.0,0.0,0.0,0.0,0.0
2007-03-29,secondary,D_trend_deteriorated,15.140000343322754,80.87649402390437,2.2100000381469727,-0.06869570026321525,-0.007862732950625895,0,0.20120117187502728,2007,1_15-17,2_70-85,3_rising,2_-2_to_-4,True,3.214530765825587,-356.9912311897549,1104.3824701195217,642.629482071713,873.5059760956174,1154.3824701195217,1345.6175298804783,50.76344361974503,0.033883257421074786,0.014924100041138422,0.021314099291140476,0.050290619894715505,-1.9100008010864258,-2.940000534057617,-2.690000534057617,0.0,0.0,0.0,0.0,0.0
2007-06-07,secondary,B_transition_warning,17.059999465942383,92.82868525896414,4.0099992752075195,-0.031484349664599676,-0.031484349664599676,1,8.855397949218741,2007,2_17-19,3_85+,3_rising,2_-2_to_-4,True,3.071768481629039,-13836.899739963368,1164.1434262948208,678.4860557768925,921.3147410358566,1214.1434262948208,1285.8565737051792,59.94304910447846,0.010478155135883904,0.021633841790412722,0.021110585033808693,0.026644823631356118,-3.419999122619629,-2.84999942779541,-2.339999198913574,0.0,0.0,0.0,0.0,1.0
2007-06-12,secondary,B_transition_warning,16.670000076293945,92.82868525896414,3.0399999618530273,-0.030003022453155004,-0.02465595307084334,1,7.823200683593768,2007,1_15-17,3_85+,3_rising,2_-2_to_-4,True,3.071768481629039,-7768.447291963434,1164.1434262948208,678.4860557768925,921.3147410358566,1214.1434262948208,1285.8565737051792,58.66230951272425,0.017702648165396795,0.027260516525033474,-7.366734866876001e-05,0.017253857847036258,-3.8199996948242188,2.219999313354492,-0.030000686645507812,0.0,0.0,0.0,0.0,1.0
2007-06-22,secondary,D_trend_deteriorated,15.75,91.63346613545816,1.8100004196166992,-0.023791885185165507,-0.019718275008024033,0,7.578198242187682,2007,1_15-17,3_85+,3_rising,2_-2_to_-4,True,3.0860447100486943,-13656.099500401622,1158.1673306772907,674.9003984063744,916.5338645418326,1208.1673306772907,1291.8326693227093,55.77969634501408,0.03323656922771456,0.0005257140888776934,0.019493341929772923,0.025962281821747535,0.4799995422363281,-0.5900001525878906,1.0599994659423828,0.0,0.0,0.0,0.0,1.0
