crisis,candidate,n_ic_trades_in_window,baseline_cum_pnl,ic_cum_pnl,combined_cum_pnl,delta_pnl
DotCom_2000_03,IC_w25,0,-4721.073523082583,0.0,-4721.073523082583,0.0
DotCom_2000_03,IC_w35,0,-4721.073523082583,0.0,-4721.073523082583,0.0
PreGFC_2007_07,IC_w25,3,13003.310937201573,246.16999308343225,13249.480930285006,246.16999308343225
PreGFC_2007_07,IC_w35,3,13003.310937201573,404.6379903168049,13407.948927518379,404.6379903168049
Vol_2018_02,IC_w25,1,100455.41980728149,511.5082403393458,100966.92804762084,511.5082403393458
Vol_2018_02,IC_w35,1,100455.41980728149,736.1115364750839,101191.53134375658,736.1115364750839
COVID_2020_02,IC_w25,0,-33110.35763907582,-293.54409152373887,-33403.90173059956,-293.54409152373887
COVID_2020_02,IC_w35,0,-33110.35763907582,-390.9617281332343,-33501.31936720905,-390.9617281332343
Bear_2022_01,IC_w25,0,53492.233812685656,0.0,53492.233812685656,0.0
Bear_2022_01,IC_w35,0,53492.233812685656,0.0,53492.233812685656,0.0
