date,vix,regime,ivr,ivp,spx,trend,trend_gap,vix_5d_avg,strategy,strategy_key,hv_spell_age,bearish_streak,ivp63,ivp252,regime_decay,local_spike,iv_signal
2000-01-03,24.21,HIGH_VOL,43.6,51.8,1455.22,BULLISH,3.98,23.93,Reduce / Wait,,0,0,85.5,51.8,False,False,NEUTRAL
2000-01-04,27.01,HIGH_VOL,61.6,80.9,1399.42,NEUTRAL,-0.15,24.74,Reduce / Wait,,1,0,96.8,80.9,False,False,HIGH
2000-01-05,26.41,HIGH_VOL,57.8,76.1,1402.11,NEUTRAL,-0.11,25.41,Reduce / Wait,,2,0,93.5,76.1,False,False,HIGH
2000-01-06,25.73,HIGH_VOL,53.4,70.9,1403.45,NEUTRAL,-0.19,25.6,Reduce / Wait,,3,0,88.7,70.9,False,False,HIGH
2000-01-07,21.72,NORMAL,27.6,16.3,1441.47,BULLISH,2.31,25.02,Reduce / Wait,,0,0,32.3,16.3,False,False,LOW
2000-01-10,21.71,NORMAL,27.6,16.3,1457.6,BULLISH,3.28,24.52,Reduce / Wait,,0,0,30.6,16.3,False,False,LOW
2000-01-11,22.5,HIGH_VOL,32.6,27.9,1438.56,BULLISH,1.82,23.61,Bull Put Spread (High Vol),bull_put_spread_hv,0,0,53.2,27.9,False,True,LOW
2000-01-12,22.84,HIGH_VOL,34.8,33.5,1432.25,BULLISH,1.26,22.9,Bull Put Spread (High Vol),bull_put_spread_hv,1,0,59.7,33.5,False,True,LOW
2000-01-13,21.71,NORMAL,29.5,16.3,1449.68,BULLISH,2.35,22.1,Reduce / Wait,,0,0,30.6,16.3,False,False,LOW
2000-01-14,19.66,NORMAL,15.4,2.8,1465.15,BULLISH,3.28,21.68,Reduce / Wait,,0,0,3.2,2.8,False,False,LOW
2000-01-18,21.5,NORMAL,28.1,14.7,1455.14,BULLISH,2.44,21.64,Reduce / Wait,,0,0,27.4,14.7,False,False,LOW
2000-01-19,21.72,NORMAL,29.6,17.9,1455.9,BULLISH,2.37,21.49,Reduce / Wait,,0,0,37.1,17.9,False,False,LOW
