variant,entry_date,exit_date,exit_reason,strategy,kind,credit,max_loss,pnl,spx_entry,vix_entry,ivp_entry
V1a_weekly_strict,2000-02-07,2000-02-08,ic_combined,Iron Condor (High Vol),ic,621.0,522.8333333333334,403.2761013729646,1424.239990234375,22.790000915527344,36.3
V1a_weekly_strict,2000-03-20,2000-03-21,ic_combined,Iron Condor (High Vol),ic,648.6666666666666,509.0,423.4703667588777,1456.6300048828125,22.959999084472656,44.6
V1a_weekly_strict,2000-03-27,2000-03-28,stress_force,Bull Put Spread (High Vol),put,1110.5,1389.5,593.9936160622822,1523.8599853515625,24.530000686645508,72.1
V1a_weekly_strict,2000-04-17,2000-04-18,ic_combined,Iron Condor (High Vol),ic,829.3333333333334,418.6666666666667,555.3413527729125,1401.43994140625,28.950000762939453,98.8
V1a_weekly_strict,2000-04-24,2000-04-25,ic_combined,Iron Condor (High Vol),ic,810.6666666666666,428.0,541.7163062474771,1429.8599853515625,27.3700008392334,93.2
V1a_weekly_strict,2000-05-01,2000-05-02,stress_force,Bull Put Spread (High Vol),put,1148.5000000000002,1351.4999999999998,616.0303179176328,1468.25,25.8799991607666,79.7
V1a_weekly_strict,2000-05-08,2000-05-09,ic_combined,Iron Condor (High Vol),ic,818.6666666666666,424.0,547.5556119012352,1424.1700439453125,28.200000762939453,95.6
V1a_weekly_strict,2000-05-15,2000-05-16,ic_combined,Iron Condor (High Vol),ic,732.3333333333334,467.1666666666667,484.5397717210967,1452.3599853515625,24.860000610351562,69.7
V1a_weekly_strict,2000-05-22,2000-05-23,ic_combined,Iron Condor (High Vol),ic,768.3333333333334,449.1666666666667,510.8166471630078,1400.719970703125,26.0,80.5
V1a_weekly_strict,2000-06-05,2000-06-06,stress_force,Bull Put Spread (High Vol),put,939.0,1561.0,494.538501109845,1467.6300048828125,22.709999084472656,37.8
V1a_weekly_strict,2000-06-12,2000-06-13,ic_combined,Iron Condor (High Vol),ic,610.3333333333333,528.1666666666666,395.49036050128717,1446.0,22.31999969482422,33.1
V1a_weekly_strict,2000-06-26,2000-06-27,stress_force,Bull Put Spread (High Vol),put,935.4999999999999,1564.5,492.50880488632583,1455.31005859375,22.450000762939453,37.1
V1a_weekly_strict,2000-10-16,2000-10-17,ic_combined,Iron Condor (High Vol),ic,804.0,431.3333333333333,536.8502182026788,1374.6199951171875,26.790000915527344,91.2
V1a_weekly_strict,2000-10-23,2000-10-24,ic_combined,Iron Condor (High Vol),ic,767.0,449.8333333333333,509.84342955404816,1395.780029296875,24.690000534057617,80.1
V1a_weekly_strict,2000-10-30,2000-10-31,ic_combined,Iron Condor (High Vol),ic,775.0,445.8333333333333,515.6827352078061,1398.6600341796875,25.459999084472656,82.5
V1a_weekly_strict,2000-11-06,2000-11-07,ic_combined,Iron Condor (High Vol),ic,755.0,455.8333333333333,501.084471073411,1432.18994140625,24.520000457763672,76.5
V1a_weekly_strict,2000-12-11,2000-12-12,ic_combined,Iron Condor (High Vol),ic,684.6666666666666,491.0,449.7472422007886,1380.199951171875,23.510000228881836,55.4
V1a_weekly_strict,2001-01-22,2001-01-23,ic_combined,Iron Condor (High Vol),ic,655.3333333333334,505.6666666666667,428.33645480367596,1342.9000244140625,23.25,46.6
V1a_weekly_strict,2001-01-29,2001-01-30,ic_combined,Iron Condor (High Vol),ic,639.3333333333334,513.6666666666666,416.65784349616,1364.1700439453125,22.610000610351562,41.8
