entry_date,exit_date,strategy,exit_pnl,contracts,total_bp,entry_spx,entry_vix,dte_at_entry,hold_days,exit_reason,spread_width,pnl_per_contract,bp_per_contract
2000-01-11,2000-02-01,Bull Put Spread (High Vol),-622.1789433398072,5.139,21000.0,1438.56005859375,22.5,35,14,roll_21dte,49.0,-121.0700415138757,4086.3981319322825
2000-02-03,2000-03-03,Iron Condor (High Vol),3520.07650146722,4.1842,21000.0,1424.969970703125,22.010000228881836,45,20,50pct_profit,63.0,841.2782614280437,5018.880550642895
2000-02-07,2000-03-03,Iron Condor (High Vol),3508.9152385125717,4.0486,21000.0,1424.239990234375,22.790000915527344,45,18,50pct_profit,65.0,866.6984237792252,5186.978214691498
2000-02-29,2000-03-22,Bear Call Spread (High Vol),-6211.891364925099,3.5763,21000.0,1366.4200439453125,23.3700008392334,45,16,stop_loss,67.0,-1736.9603682367529,5871.990604815032
2000-03-09,2000-04-12,Iron Condor (High Vol),10.410651362965211,4.3442,21000.0,1401.68994140625,22.209999084472656,45,24,roll_21dte,61.0,2.3964484514905418,4834.031582339671
2000-03-23,2000-04-12,Bull Put Spread (High Vol),-3986.997960917984,4.9324,21000.0,1527.3499755859375,22.260000228881836,35,14,roll_21dte,51.0,-808.328189302973,4257.562241505149
2000-03-15,2000-04-18,Iron Condor (High Vol),1526.204804497126,4.2592,21000.0,1392.1400146484375,22.34000015258789,45,24,roll_21dte,62.0,358.33133088305925,4930.503380916604
2000-04-12,2000-05-03,Bull Put Spread (High Vol),-1651.693517334185,3.9562,21000.0,1467.1700439453125,28.979999542236328,35,14,roll_21dte,64.0,-417.49494902537407,5308.123957332794
2000-04-13,2000-05-12,Iron Condor (High Vol),3344.3385540549984,3.048,21000.0,1440.510009765625,29.399999618530273,45,20,50pct_profit,86.0,1097.223935057414,6889.763779527559
2000-04-18,2000-05-15,Iron Condor (High Vol),1330.6034824747749,2.1054,21000.0,1441.6099853515625,26.1200008392334,45,18,50pct_profit,110.0,631.995574463178,9974.351667141636
2000-06-05,2000-06-23,Bull Put Spread (High Vol),20.273104922234307,5.0329,21000.0,1467.6300048828125,22.709999084472656,35,14,roll_21dte,50.0,4.028115981289973,4172.544656162451
2000-06-06,2000-06-29,Iron Condor (High Vol),3347.363034559007,3.9389,21000.0,1457.8399658203125,23.049999237060547,45,17,50pct_profit,67.0,849.8217864274308,5331.4377110360765
2000-06-08,2000-06-30,Iron Condor (High Vol),3362.373159998394,4.0724,21000.0,1461.6700439453125,22.770000457763672,45,16,50pct_profit,65.0,825.6490423333646,5156.664374815833
2000-06-26,2000-07-11,Bull Put Spread (High Vol),2609.9534200690846,5.0333,21000.0,1455.31005859375,22.450000762939453,35,10,50pct_profit,50.0,518.5372260880704,4172.213061013649
2000-10-03,2000-11-06,Iron Condor,2801.694654546973,4.5845,22500.0,1426.4599609375,21.850000381469727,45,24,roll_21dte,62.0,611.1232750675042,4907.841640309739
2000-10-16,2000-11-14,Iron Condor (High Vol),1400.178637801279,2.1288,21000.0,1374.6199951171875,26.790000915527344,45,21,50pct_profit,109.0,657.731415727771,9864.712514092447
2000-10-19,2000-11-16,Iron Condor (High Vol),1380.2535037487348,2.3236,21000.0,1388.760009765625,25.09000015258789,45,20,50pct_profit,100.0,594.015107483532,9037.700120502668
2001-01-24,2001-02-13,Bull Put Spread (High Vol),-1734.661594170072,5.4713,21000.0,1364.300048828125,22.030000686645508,35,14,roll_21dte,46.0,-317.0474282474132,3838.210297369912
2001-01-25,2001-03-01,Iron Condor (High Vol),-3975.909610870268,4.4226,21000.0,1357.510009765625,22.63999938964844,45,24,roll_21dte,60.0,-898.9982387894604,4748.338081671415
2001-01-26,2001-03-02,Iron Condor (High Vol),-4089.814278960625,4.3316,21000.0,1354.949951171875,22.56999969482422,45,24,roll_21dte,61.0,-944.1809675317724,4848.093083387201
2001-02-16,2001-03-09,Bear Call Spread (High Vol),2139.162881949754,3.9953,21000.0,1301.530029296875,22.1200008392334,45,14,50pct_profit,60.0,535.4198387980263,5256.176006807999
2001-03-09,2001-03-23,Bear Call Spread (High Vol),2089.1274460917316,3.5677,21000.0,1233.4200439453125,25.6200008392334,45,10,50pct_profit,67.0,585.5670168712985,5886.145135521485
2001-03-06,2001-04-09,Iron Condor (High Vol),-3206.2626484498433,4.0466,21000.0,1253.800048828125,25.88999938964844,45,24,roll_21dte,65.0,-792.3349598304363,5189.541837592053
2001-05-23,2001-06-13,Bull Put Spread (High Vol),-2177.2528274225388,5.7184,21000.0,1289.050048828125,22.079999923706055,35,14,roll_21dte,44.0,-380.7451083209532,3672.3559037493005
2001-05-30,2001-06-21,Iron Condor (High Vol),3338.277293722904,4.7293,21000.0,1248.0799560546875,22.760000228881836,45,16,50pct_profit,56.0,705.8713326967846,4440.403442369907
2001-05-29,2001-07-02,Iron Condor (High Vol),3647.815871631022,4.816,21000.0,1267.9300537109375,22.13999938964844,45,24,50pct_profit,55.0,757.4368504217239,4360.46511627907
2001-06-14,2001-07-06,Bear Call Spread (High Vol),2162.1011980350636,3.9942,21000.0,1219.8699951171875,23.1200008392334,45,15,50pct_profit,60.0,541.3101992977477,5257.6235541535225
2001-07-09,2001-08-08,Bear Call Spread (High Vol),2155.7830993736143,4.2824,21000.0,1198.780029296875,22.479999542236328,45,22,50pct_profit,56.0,503.40535666299604,4903.792266019055
