variant,entry_date,strategy,pnl,bp_per_contract,pnl_source,expiry_proxy
V1b_weekly_catchup,2000-01-11,Bull Put Spread (High Vol),-121.0700415138757,4086.3981319322825,engine_exact_d+0,2000-02-15
V1b_weekly_catchup,2000-02-07,Iron Condor (High Vol),866.6984237792252,5186.978214691498,engine_exact_d+0,2000-03-13
V1b_weekly_catchup,2000-02-29,Bear Call Spread (High Vol),-1736.9603682367529,5871.990604815032,engine_exact_d+0,2000-04-04
V1b_weekly_catchup,2000-03-15,Iron Condor (High Vol),358.33133088305925,4930.503380916604,engine_exact_d+0,2000-04-19
V1b_weekly_catchup,2000-03-20,Iron Condor (High Vol),594.015107483532,9037.700120502668,bootstrap,2000-04-24
V1b_weekly_catchup,2000-03-27,Bull Put Spread (High Vol),1540.9659001601206,10188.239860275567,bootstrap,2000-05-01
V1b_weekly_catchup,2000-04-12,Bull Put Spread (High Vol),-417.49494902537407,5308.123957332794,engine_exact_d+0,2000-05-17
V1b_weekly_catchup,2000-04-17,Iron Condor (High Vol),631.995574463178,9974.351667141636,engine_exact_d+1,2000-05-22
V1b_weekly_catchup,2000-04-24,Iron Condor (High Vol),1722.1329616608414,20354.754289037508,bootstrap,2000-05-29
V1b_weekly_catchup,2000-05-01,Bull Put Spread (High Vol),488.16988458942603,3411.9157094347597,bootstrap,2000-06-05
V1b_weekly_catchup,2000-05-08,Iron Condor (High Vol),469.3697041165647,7250.630114283741,bootstrap,2000-06-12
V1b_weekly_catchup,2000-05-15,Iron Condor (High Vol),322.8278898398661,14722.378014582166,bootstrap,2000-06-19
V1b_weekly_catchup,2000-05-22,Iron Condor (High Vol),594.015107483532,9037.700120502668,bootstrap,2000-06-26
V1b_weekly_catchup,2000-05-30,Bear Call Spread (High Vol),460.5150379692778,5261.31182041389,bootstrap,2000-07-04
V1b_weekly_catchup,2000-06-05,Bull Put Spread (High Vol),4.028115981289973,4172.544656162451,engine_exact_d+0,2000-07-10
V1b_weekly_catchup,2000-06-12,Iron Condor (High Vol),496.49199278151787,7627.765064836003,bootstrap,2000-07-17
V1b_weekly_catchup,2000-06-26,Bull Put Spread (High Vol),518.5372260880704,4172.213061013649,engine_exact_d+0,2000-07-31
V1b_weekly_catchup,2000-10-03,Iron Condor,611.1232750675042,4907.841640309739,engine_exact_d+0,2000-11-02
V1b_weekly_catchup,2000-10-16,Iron Condor (High Vol),657.731415727771,9864.712514092447,engine_exact_d+0,2000-11-20
V1b_weekly_catchup,2000-10-23,Iron Condor (High Vol),-898.9982387894604,4748.338081671415,bootstrap,2000-11-27
V1b_weekly_catchup,2000-10-30,Iron Condor (High Vol),621.2647860480108,10070.010549534862,bootstrap,2000-12-04
V1b_weekly_catchup,2000-11-06,Iron Condor (High Vol),3877.276113707635,23232.658479920345,bootstrap,2000-12-11
V1b_weekly_catchup,2000-11-15,Iron Condor (High Vol),2783.0291584927463,16112.944065065603,bootstrap,2000-12-20
V1b_weekly_catchup,2000-12-05,Iron Condor (High Vol),2459.5631713762286,15434.367190945171,bootstrap,2001-01-09
V1b_weekly_catchup,2000-12-11,Iron Condor (High Vol),2559.3205874410437,15548.645046645936,bootstrap,2001-01-15
V1b_weekly_catchup,2000-12-27,Iron Condor (High Vol),2032.432388057376,33018.8679245283,bootstrap,2001-01-31
V1b_weekly_catchup,2001-01-03,Iron Condor (High Vol),657.3120407561075,10642.610987228867,bootstrap,2001-02-07
V1b_weekly_catchup,2001-01-10,Iron Condor (High Vol),757.4368504217239,4360.46511627907,bootstrap,2001-02-14
V1b_weekly_catchup,2001-01-16,Bear Call Spread (High Vol),-616.0662929758884,4827.3642591145235,bootstrap,2001-02-20
V1b_weekly_catchup,2001-01-22,Iron Condor (High Vol),679.7089466194193,3889.9694359544314,bootstrap,2001-02-26
V1b_weekly_catchup,2001-01-29,Iron Condor (High Vol),712.8280569678668,10721.396844846071,bootstrap,2001-03-05
V1b_weekly_catchup,2001-02-05,Bull Put Spread (High Vol),76.94073863740304,3475.785361978218,bootstrap,2001-03-12
V1b_weekly_catchup,2001-02-20,Bear Call Spread (High Vol),541.3101992977477,5257.6235541535225,bootstrap,2001-03-27
V1b_weekly_catchup,2001-03-06,Iron Condor (High Vol),-792.3349598304363,5189.541837592053,engine_exact_d+0,2001-04-10
V1b_weekly_catchup,2001-03-26,Iron Condor (High Vol),2668.2497166645376,38982.736216818266,bootstrap,2001-04-30
V1b_weekly_catchup,2001-04-10,Iron Condor (High Vol),2712.64579892393,16356.414050938545,bootstrap,2001-05-15
V1b_weekly_catchup,2001-04-16,Bear Call Spread (High Vol),526.5242068002814,5519.634127109289,bootstrap,2001-05-21
V1b_weekly_catchup,2001-04-23,Iron Condor (High Vol),656.3134536310115,8806.50842908664,bootstrap,2001-05-28
V1b_weekly_catchup,2001-04-30,Iron Condor (High Vol),1872.0917259655862,27526.54345261502,bootstrap,2001-06-04
V1b_weekly_catchup,2001-05-07,Iron Condor (High Vol),842.2715549987942,5242.267655208568,bootstrap,2001-06-11
V1b_weekly_catchup,2001-05-14,Iron Condor (High Vol),761.5688509395495,4468.845760980592,bootstrap,2001-06-18
V1b_weekly_catchup,2001-05-23,Bull Put Spread (High Vol),-380.7451083209532,3672.3559037493005,engine_exact_d+0,2001-06-27
V1b_weekly_catchup,2001-05-29,Iron Condor (High Vol),757.4368504217239,4360.46511627907,engine_exact_d+0,2001-07-03
V1b_weekly_catchup,2001-07-09,Bear Call Spread (High Vol),503.40535666299604,4903.792266019055,engine_exact_d+0,2001-08-13
V1b_weekly_catchup,2001-07-18,Bear Call Spread (High Vol),-11.330252822181645,4735.8094851498545,bootstrap,2001-08-22
V1b_weekly_catchup,2001-07-30,Bear Call Spread (High Vol),503.40535666299604,4903.792266019055,bootstrap,2001-09-03
V1b_weekly_catchup,2001-08-08,Bear Call Spread (High Vol),416.1799238963593,4812.098991750688,engine_exact_d+0,2001-09-12
V1b_weekly_catchup,2001-08-28,Bear Call Spread (High Vol),410.4525118415133,4641.704610759913,engine_exact_d+0,2001-10-02
V1b_weekly_catchup,2001-10-01,Iron Condor (High Vol),-898.9982387894604,4748.338081671415,bootstrap,2001-11-05
V1b_weekly_catchup,2001-10-10,Iron Condor (High Vol),663.1600209354706,4695.255556052408,bootstrap,2001-11-14
