variant,entry_date,exit_date,strategy,pnl,max_loss,n_contracts,pnl_source
V1b_weekly_catchup,2000-01-11,2000-01-25,Bull Put Spread (High Vol),-1868.364762077037,63061.69699830063,3,engine_d+0
V1b_weekly_catchup,2000-02-07,2000-02-21,Iron Condor (High Vol),13509.454263204985,80850.78157874351,3,engine_d+0
V1b_weekly_catchup,2000-02-29,2000-03-14,Bear Call Spread (High Vol),-28220.107239878278,95401.25820352134,3,engine_d+0
V1b_weekly_catchup,2000-03-15,2000-03-29,Iron Condor (High Vol),5714.192151579531,78625.1195315223,3,engine_d+0
V1b_weekly_catchup,2000-03-20,2000-04-03,Iron Condor (High Vol),9495.618604657218,144472.00471233318,3,bootstrap
V1b_weekly_catchup,2000-03-27,2000-04-10,Bull Put Spread (High Vol),9562.147183755427,63221.02849727942,3,bootstrap
V1b_weekly_catchup,2000-04-12,2000-04-26,Bull Put Spread (High Vol),-6317.187231713119,80318.12831722485,3,engine_d+0
V1b_weekly_catchup,2000-04-17,2000-05-01,Iron Condor (High Vol),9732.383859467378,153599.52363020327,3,engine_d+1
V1b_weekly_catchup,2000-04-24,2000-05-08,Iron Condor (High Vol),15361.17394469649,181561.4288770812,3,bootstrap
V1b_weekly_catchup,2000-05-01,2000-05-15,Bull Put Spread (High Vol),9928.97006371827,69395.53218732412,3,bootstrap
V1b_weekly_catchup,2000-05-08,2000-05-22,Iron Condor (High Vol),9736.049924211855,150398.49431170197,3,bootstrap
V1b_weekly_catchup,2000-05-15,2000-05-29,Iron Condor (High Vol),1740.0881745535798,79355.7083843951,3,bootstrap
V1b_weekly_catchup,2000-05-22,2000-06-05,Iron Condor (High Vol),9495.618604657218,144472.00471233318,3,bootstrap
V1b_weekly_catchup,2000-05-30,2000-06-13,Bear Call Spread (High Vol),8113.836383268226,92699.30350253044,3,bootstrap
V1b_weekly_catchup,2000-06-05,2000-06-19,Bull Put Spread (High Vol),60.93100746586178,63115.69745686876,3,engine_d+0
V1b_weekly_catchup,2000-06-12,2000-06-26,Iron Condor (High Vol),12260.97042175804,188369.2047481395,3,bootstrap
V1b_weekly_catchup,2000-06-26,2000-07-10,Bull Put Spread (High Vol),7910.016392162247,63644.94590520712,3,engine_d+0
V1b_weekly_catchup,2000-10-03,2000-10-17,Iron Condor,9510.91308415142,76380.7519303025,3,engine_d+0
V1b_weekly_catchup,2000-10-16,2000-10-30,Iron Condor (High Vol),10622.308333229006,159314.296744376,3,engine_d+0
V1b_weekly_catchup,2000-10-23,2000-11-06,Iron Condor (High Vol),-14701.741245040059,77651.80709886998,3,bootstrap
V1b_weekly_catchup,2000-10-30,2000-11-13,Iron Condor (High Vol),11342.076248964546,183842.4292599055,3,bootstrap
V1b_weekly_catchup,2000-11-06,2000-11-20,Iron Condor (High Vol),12900.215620540523,77298.15856285725,3,bootstrap
V1b_weekly_catchup,2000-11-15,2000-11-29,Iron Condor (High Vol),16695.242443606865,96660.68601028915,3,bootstrap
V1b_weekly_catchup,2000-12-05,2000-12-19,Iron Condor (High Vol),14288.74638783856,89665.41742645777,3,bootstrap
V1b_weekly_catchup,2000-12-11,2000-12-25,Iron Condor (High Vol),16185.081066951054,98329.25261341788,3,bootstrap
V1b_weekly_catchup,2000-12-27,2001-01-10,Iron Condor (High Vol),10180.849537021822,165397.9380557523,3,bootstrap
V1b_weekly_catchup,2001-01-03,2001-01-17,Iron Condor (High Vol),12068.651720333533,195404.8571088294,3,bootstrap
V1b_weekly_catchup,2001-01-10,2001-01-24,Iron Condor (High Vol),13261.849918414959,76346.73955245194,3,bootstrap
V1b_weekly_catchup,2001-01-16,2001-01-30,Bear Call Spread (High Vol),-12846.891425964413,100665.50502358458,3,bootstrap
V1b_weekly_catchup,2001-01-22,2001-02-05,Iron Condor (High Vol),13460.06264274487,77031.84215350104,3,bootstrap
