metric,mean,median,p5,p95,worst_seed,best_seed,std
ann_roe_pct,10.016332551415129,10.033883508498231,9.822174911323838,10.181208344941895,9.711096813551713,10.215520332492446,0.12302507209506754
max_dd_pct,-7.396632972826774,-7.238945964007501,-9.353352618650817,-5.39474886668241,-10.26325559167228,-4.8004947963701,1.4661521604988865
w20d_pct,-5.8809269976625655,-5.797126971785818,-7.8418136658667725,-3.906435334703552,-8.812439167388096,-3.5796405176680346,1.3633667295830985
w63d_pct,-5.0639193881012465,-4.564730675591546,-8.149000674121508,-3.0383938031916875,-8.753760437911518,-2.7144755592859373,1.791164723518196
sharpe,3.2111711072639046,3.2209868774307973,3.011525676715029,3.375725994632603,2.945353052684185,3.4599246229013247,0.12868908822905137
delta_roe_pp,1.8020435822688383,1.819594539351943,1.6078859421775504,1.966919375795607,1.4968078444054242,2.0012313633461574,0.12302507209506751
delta_max_dd_pp,1.3183393000268808,1.4760263088461527,-0.6383803457971624,3.3202234061712437,-1.5482833188186262,3.9144774764835537,1.4661521604988863
delta_w20d_pp,1.161138379518357,1.2449384053951063,-0.7997482886858487,3.1356300424773718,-1.770373790207172,3.4624248595128893,1.3633667295830987
delta_w63d_pp,3.592352618727946,4.0915413312376465,0.5072713327076841,5.617878203637504,-0.09748843108232563,5.941796447543256,1.791164723518196
delta_sharpe,1.1957509487289422,1.205566718895835,0.9961055181800667,1.3603058360976408,0.9299328941492226,1.4445044643663625,0.12868908822905137
bp_mean_pct,8.74879165055944,8.759427614575138,8.640172961335656,8.841899061222904,8.600774449867018,8.854149878668863,0.06434339027609554
bp_p95_pct,27.051896796774464,26.99533172693867,25.864998791980934,28.322569132870427,25.82623044225934,29.165276611057095,0.8802743067742813
