year,days_primary,days_extended,max_consec_streak,trigger_span_days,spx_fwd_30d_mean_pct,spx_fwd_60d_mean_pct,spx_fwd_90d_mean_pct,days_vix_in_14_16,vix_15_crossings_in_band
2000,0,0,0,0,,,,0,0
2001,0,0,0,0,,,,0,0
2002,0,0,0,0,,,,0,0
2003,0,0,0,0,,,,2,0
2004,8,15,2,113,3.22,4.68,7.01,108,32
2005,0,1,0,0,,,,41,13
2006,0,0,0,0,,,,32,7
2007,0,0,0,0,,,,33,11
2008,0,0,0,0,,,,0,0
2009,0,0,0,0,,,,0,0
2010,0,0,0,0,,,,5,0
2011,0,0,0,0,,,,24,4
2012,3,14,1,12,4.8,8.18,10.8,67,15
2013,3,4,2,8,3.51,9.75,8.48,61,17
2014,0,0,0,0,,,,65,25
2015,0,0,0,0,,,,69,28
2016,3,3,1,53,1.27,5.57,5.02,58,20
2017,0,0,0,0,,,,14,6
2018,0,0,0,0,,,,33,7
2019,4,4,3,35,1.62,5.6,11.48,74,21
2020,0,0,0,0,,,,12,3
2021,0,2,0,0,,,,17,0
2022,0,1,0,0,,,,0,0
2023,2,3,1,7,9.33,13.56,19.93,43,13
2024,0,0,0,0,,,,70,20
2025,11,46,3,148,2.56,4.13,5.46,61,16
2026,4,11,2,9,-1.49,0.56,7.81,11,3
