year,n_days,ann_roe_pct,max_vix,mean_vix,cum_pnl,regime
2000,252,11.633008633157015,33.4900016784668,23.31500001937624,103999.09718042372,stress
2001,248,11.502540315440683,43.7400016784668,25.749677481189853,101200.44517527717,stress
2002,252,15.331757088846512,45.08000183105469,27.29246031291901,137065.90837428783,stress
2003,252,1.8971588073165406,34.689998626708984,21.982857121361626,16960.599737409873,stress
2004,252,10.362370411767717,21.579999923706055,15.480357132260762,92639.59148120339,normal
2005,252,12.290547316223014,17.739999771118164,12.807063496302044,109877.49300703374,benign
2006,251,36.78130568942441,23.809999465942383,12.806533843872556,327520.0122568532,elevated
2007,251,24.379774545868823,31.09000015258789,17.535936215009347,217090.28291451145,stress
2008,253,-0.8182545163501016,80.86000061035156,32.69260867122605,-7344.223929249947,stress
2009,252,11.555232726391749,56.650001525878906,31.478571460360573,103303.78057394223,stress
2010,252,16.90731994365641,45.790000915527344,22.5488888574025,151151.44029628832,stress
2011,252,8.33703925036433,48.0,24.20257932799203,74533.1308982571,stress
2012,250,27.15188190729486,26.65999984741211,17.798879981994627,240811.3335825556,elevated
2013,252,65.74428845826111,20.489999771118164,14.230119050495208,587753.9388168544,normal
2014,252,20.044064730259294,25.270000457763672,14.174246072769165,179193.93868851807,elevated
2015,252,18.139159442437943,40.7400016784668,16.674127011072066,162164.0854153952,stress
2016,252,33.28165080386915,28.139999389648438,15.8256349109468,297537.95818659023,stress
2017,251,52.40719204851552,16.040000915527344,11.0902390499039,466661.0893862934,benign
2018,251,45.91829395839053,37.31999969482422,16.639840619972503,408880.54184520175,stress
2019,252,67.46998279317,25.450000762939453,15.387857088966975,603181.6461709398,elevated
2020,253,27.429974913081104,82.69000244140625,29.251304385219168,246197.08673771867,stress
2021,252,35.64660772443441,37.209999084472656,19.656388876930116,318680.67305644363,stress
2022,251,9.579193036329185,36.45000076293945,25.623904467578903,85298.1524680179,stress
2023,250,18.36269765331682,26.520000457763672,16.870040000915527,162859.63990144082,elevated
2024,252,57.76365875664959,38.56999969482422,15.607579352363707,516407.1092844474,stress
2025,250,48.03042540193052,52.33000183105469,18.961120071411134,425984.1300528362,stress
