entry,exit,hold_days,vix,ivp,iv_signal,trend,debit,pnl,bcd_period_roe,qqq_in_close,qqq_out_close,qqq_return,spx_in_close,spx_out_close,spx_return,bcd_minus_qqq,bcd_minus_spx
2023-06-02,2023-07-10,38,14.6,0.0,LOW,BULLISH,20096.71,4513.64,0.2246,348.47,360.47,0.0344,4282.37,4409.53,0.0297,0.1902,0.1949
2023-07-11,2023-08-14,34,14.84,8.8,LOW,BULLISH,21314.09,1829.72,0.0858,362.25,364.39,0.0059,4439.26,4489.72,0.0114,0.0799,0.0745
2023-08-14,2023-08-17,3,14.82,14.3,LOW,BULLISH,21370.96,-2390.98,-0.1119,364.39,352.81,-0.0318,4489.72,4370.36,-0.0266,-0.0801,-0.0853
2023-08-29,2023-09-15,17,14.45,12.7,LOW,BULLISH,21104.41,-1746.69,-0.0828,368.74,364.85,-0.0106,4497.63,4450.32,-0.0105,-0.0722,-0.0722
2023-11-08,2023-12-12,34,14.45,17.9,LOW,BULLISH,20564.73,7644.04,0.3717,367.47,392.83,0.069,4382.78,4643.7,0.0595,0.3027,0.3122
2023-12-12,2024-01-18,37,12.07,0.0,LOW,BULLISH,18339.57,5180.74,0.2825,392.83,407.96,0.0385,4643.7,4780.94,0.0296,0.244,0.2529
2024-01-18,2024-02-22,35,14.13,31.1,LOW,BULLISH,21892.69,7827.71,0.3575,407.96,432.74,0.0607,4780.94,5087.03,0.064,0.2968,0.2935
2024-02-22,2024-03-27,34,14.54,45.0,NEUTRAL,BULLISH,23864.07,4704.77,0.1971,432.74,440.0,0.0168,5087.03,5248.49,0.0317,0.1804,0.1654
2024-03-27,2024-04-15,19,12.78,8.0,LOW,BULLISH,21914.11,-2544.79,-0.1161,440.0,426.38,-0.031,5248.49,5061.82,-0.0356,-0.0852,-0.0806
2024-05-06,2024-06-10,35,13.49,26.3,LOW,BULLISH,22661.98,5356.23,0.2364,435.47,459.78,0.0558,5180.74,5360.79,0.0348,0.1805,0.2016
2024-06-10,2024-07-16,36,12.74,12.4,LOW,BULLISH,22243.38,7712.54,0.3467,459.78,491.73,0.0695,5360.79,5667.2,0.0572,0.2772,0.2896
2024-07-16,2024-08-02,17,13.19,32.7,LOW,BULLISH,24270.84,-3248.08,-0.1338,491.73,444.58,-0.0959,5667.2,5346.56,-0.0566,-0.0379,-0.0772
2024-08-16,2024-09-06,21,14.8,65.3,NEUTRAL,BULLISH,26401.3,-879.5,-0.0333,470.62,444.52,-0.0554,5554.25,5408.42,-0.0263,0.0221,-0.0071
2024-11-08,2024-12-13,35,14.94,60.6,NEUTRAL,BULLISH,28846.33,1255.23,0.0435,510.08,526.34,0.0319,5995.54,6051.09,0.0093,0.0116,0.0342
2024-12-13,2024-12-18,5,13.81,40.2,NEUTRAL,BULLISH,27018.39,661.91,0.0245,526.34,512.39,-0.0265,6051.09,5872.16,-0.0296,0.051,0.0541
2024-12-24,2024-12-31,7,14.27,45.0,NEUTRAL,BULLISH,27943.25,-2436.51,-0.0872,526.62,508.01,-0.0353,6040.04,5881.63,-0.0262,-0.0519,-0.061
2025-02-14,2025-02-25,11,14.77,42.2,NEUTRAL,BULLISH,29062.9,-1824.29,-0.0628,534.76,510.09,-0.0461,6114.63,5955.25,-0.0261,-0.0166,-0.0367
2025-07-25,2025-08-28,34,14.93,9.6,LOW,BULLISH,30704.04,2704.13,0.0881,564.27,574.95,0.0189,6388.64,6501.86,0.0177,0.0692,0.0703
2025-08-28,2025-10-02,35,14.43,6.8,LOW,BULLISH,30208.58,5061.19,0.1675,574.95,604.19,0.0509,6501.86,6715.35,0.0328,0.1167,0.1347
2025-12-11,2025-12-17,6,14.85,6.8,LOW,BULLISH,33126.42,-2442.31,-0.0737,623.99,598.88,-0.0402,6901.0,6721.43,-0.026,-0.0335,-0.0477
2025-12-19,2026-01-20,32,14.91,6.0,LOW,BULLISH,32860.4,775.61,0.0236,615.48,607.29,-0.0133,6834.5,6796.86,-0.0055,0.0369,0.0291
