entry_date,exit_date,hold_days,entry_spx,exit_spx,entry_vix,exit_vix,long_strike,short_strike,long_entry_prem,short_entry_prem,long_exit_prem,short_exit_prem,entry_debit_per_share,entry_debit_usd,pnl_per_share,pnl_usd,period_roe,ivp,iv_signal,regime,trend
2004-01-21,2004-02-17,27,1147.62,1156.99,14.34,15.4,1120,1185,54.26,10.76,56.08,6.25,43.5,4349.87,6.33,633.34,0.1456,0.0,LOW,LOW_VOL,BULLISH
2004-02-25,2004-03-22,26,1143.67,1095.4,14.93,21.58,1115,1180,56.0,11.82,33.73,1.75,44.18,4417.92,-12.19,-1219.05,-0.2759,1.6,LOW,LOW_VOL,BULLISH
2004-04-05,2004-04-29,24,1150.57,1113.89,14.97,16.6,1120,1190,57.56,11.12,31.95,1.05,46.44,4643.62,-15.53,-1553.25,-0.3345,4.8,LOW,LOW_VOL,BULLISH
2004-06-16,2004-07-12,26,1133.56,1114.35,14.79,14.96,1105,1170,55.32,11.39,36.58,1.52,43.93,4393.03,-8.87,-886.75,-0.2019,4.4,LOW,LOW_VOL,BULLISH
2004-09-02,2004-09-27,25,1118.31,1103.52,14.28,14.62,1090,1155,53.68,10.33,38.41,1.86,43.35,4335.39,-6.81,-680.58,-0.157,1.6,LOW,LOW_VOL,BULLISH
2004-09-28,2004-10-22,24,1110.06,1095.74,13.83,15.28,1085,1145,50.41,10.06,37.97,2.59,40.35,4034.58,-4.96,-496.24,-0.123,2.0,LOW,LOW_VOL,BULLISH
2004-11-03,2004-11-29,26,1143.2,1178.57,14.04,13.3,1115,1180,53.91,10.42,74.87,14.68,43.49,4348.89,16.71,1670.66,0.3842,6.8,LOW,LOW_VOL,BULLISH
2004-11-30,2004-12-27,27,1173.82,1204.92,13.24,12.14,1145,1210,53.66,10.01,70.81,11.58,43.65,4364.89,15.58,1557.7,0.3569,4.8,LOW,LOW_VOL,BULLISH
2004-12-28,2005-01-21,24,1213.54,1167.87,12.0,14.36,1190,1245,48.69,10.22,22.03,0.6,38.47,3847.4,-17.05,-1704.6,-0.4431,2.0,LOW,LOW_VOL,BULLISH
2005-02-04,2005-02-28,24,1203.03,1203.6,11.21,12.08,1180,1235,46.43,8.73,43.14,4.13,37.7,3769.86,1.32,131.54,0.0349,0.0,LOW,LOW_VOL,BULLISH
2005-03-01,2005-03-28,27,1210.41,1174.28,12.04,13.75,1185,1245,49.94,9.32,25.18,0.46,40.62,4062.27,-15.9,-1590.06,-0.3914,9.2,LOW,LOW_VOL,BULLISH
2005-05-18,2005-06-13,26,1185.56,1200.82,13.63,11.65,1155,1225,55.96,9.87,58.59,4.78,46.09,4609.16,7.72,772.41,0.1676,38.6,LOW,LOW_VOL,BULLISH
2005-06-14,2005-07-08,24,1203.91,1211.86,11.79,11.45,1180,1235,48.24,9.86,48.12,5.55,38.38,3838.41,4.18,418.47,0.109,7.6,LOW,LOW_VOL,BULLISH
2005-07-11,2005-08-04,24,1219.44,1235.86,11.28,12.52,1195,1250,47.95,9.49,57.05,9.83,38.46,3846.35,8.76,875.66,0.2277,3.2,LOW,LOW_VOL,BULLISH
2005-08-05,2005-08-29,24,1226.42,1212.28,12.48,13.52,1200,1260,51.98,10.53,38.8,2.61,41.46,4145.54,-5.27,-527.19,-0.1272,32.7,LOW,LOW_VOL,BULLISH
2005-09-06,2005-09-30,24,1233.39,1228.81,12.93,11.92,1205,1270,54.45,10.45,43.56,2.55,44.0,4400.37,-2.99,-299.33,-0.068,44.6,NEUTRAL,LOW_VOL,BULLISH
2005-11-03,2005-11-28,25,1219.94,1257.46,13.0,11.84,1190,1255,55.26,10.77,78.27,16.51,44.49,4449.23,17.27,1726.94,0.3881,53.8,NEUTRAL,LOW_VOL,BULLISH
2005-11-29,2005-12-23,24,1257.48,1268.66,11.89,10.27,1230,1290,52.3,10.44,52.59,5.39,41.86,4186.15,5.34,534.28,0.1276,24.3,LOW,LOW_VOL,BULLISH
2005-12-27,2006-01-20,24,1256.54,1261.49,11.57,14.56,1230,1290,50.95,9.65,54.38,7.76,41.3,4130.24,5.32,531.68,0.1287,20.3,LOW,LOW_VOL,BULLISH
2006-01-26,2006-02-21,26,1273.83,1283.03,12.42,12.41,1245,1310,54.8,10.46,55.25,5.54,44.33,4433.46,5.37,537.35,0.1212,50.6,NEUTRAL,LOW_VOL,BULLISH
2006-02-22,2006-03-20,26,1292.67,1305.08,11.88,11.79,1265,1330,53.35,9.6,56.24,5.67,43.75,4374.96,6.82,681.93,0.1559,28.7,LOW,LOW_VOL,BULLISH
2006-03-21,2006-04-17,27,1297.23,1285.33,11.62,12.58,1270,1330,52.6,10.56,39.8,2.23,42.03,4203.28,-4.47,-446.7,-0.1063,25.9,LOW,LOW_VOL,BULLISH
2006-04-18,2006-05-12,24,1307.28,1291.24,11.4,14.19,1280,1340,52.41,10.38,41.63,3.54,42.03,4202.99,-3.94,-393.59,-0.0936,21.9,LOW,LOW_VOL,BULLISH
